 Title,Principle Authors,Contributors/Co-Authors, Language,Year,Type, Topics,Copyright,Publisher,Abstract,Link
Islamic Principles and Land: Opportunities for Engagement,"Siraj Sait,Britta Peters","Åsa Jonsson,Solomon Haile",ENG,2011,Publication ,"Islamic Aspects,Land policy and legislation",UN-Habitat,UN-Habitat,"This booklet arises from GLTN's work on Islamic dimensions of land which began in 2004 with the commissioning of research leading to Sait and Lim’s “Land, Law and Islam: Property and Human Rights in the Muslim World” (London: Zed Press/UN-Habitat, 2006). Based on this research a training course on ""Islamic Land, Principles and Housing Rights in the Muslim World"" has been produced in 2010.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/23-islamic-principles-and-land-opportunities-for-engagement-eng-2011
Islamic Principles and Land: Opportunities for Engagement - AR - 2011,"Siraj Sait,Britta Peters","Åsa Jonsson,Solomon Haile",ARB,2011,Publication ,"Islamic Aspects,Land policy and legislation",UN-Habitat,UN-Habitat,"This booklet arises from GLTN's work on Islamic dimensions of land which began in 2004 with the commissioning of research leading to Sait and Lim’s “Land, Law and Islam: Property and Human Rights in the Muslim World” (London: Zed Press/UN-Habitat, 2006). Based on this research a training course on ""Islamic Land, Principles and Housing Rights in the Muslim World"" has been produced in 2010. THi sis the first transaltion in Arabic in 2011",http://issuu.com/landgltn/docs/land_law_and_islam_arabic_2013
Islamic Principles and Land: Opportunities for Management - AR-2015,"Siraj Sait,Britta Peters","Åsa Jonsson,Solomon Haile",ARB,2015,Guide,"Islamic Aspects,Land policy and legislation",UN-Habitat/GLTN,UN-Habitat/GLTN,"This booklet arises from GLTN's work on Islamic dimensions of land which began in 2004 with the commissioning of research leading to Sait and Lim’s “Land, Law and Islam: Property and Human Rights in the Muslim World” (London: Zed Press/UN-Habitat, 2006). Based on this research a training course on ""Islamic Land, Principles and Housing Rights in the Muslim World"" has been produced in 2010. This booklet was translated into Arabic language in 2014.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/1011-islamic-principles-and-land-opportunities-for-engagement-ar-2014
Land Access and Youth Livelihood: Opportunities in Southern Ethiopia,"Sosina Bezu,Stein Holden","Toril Iren Pedersen,Solomon Haile,Douglas Ragan",ENG,2014,Report,Capacity Development,UN-Habitat/GLTN,UN-Habitat/GLTN,"This study aims to examine current land access and youth livelihood opportunities in Southern Ethiopia. We used survey data from the relatively land abundant districts of Oromia Region and from the land scarce districts of Southern Nations, Nationalities and Peoples' (SNNP) Region. Although access to agricultural land is a constitutional right for rural residents of Ethiopia, we found that youth in the rural south have limited potential to obtain agricultural land that can be a basis for viable livelihood. The law prohibits the purchase and sale of land in Ethiopia. We found that land access through allocation from authorities is virtually nonexistent while land that can be obtained from parents through inheritance or gift is too small to establish a meaningful livelihood. The land rental market has restrictions, including on the number of years land can be rented out.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/272-land-access-and-youth-livelihood-opportunities-in-southern-ethiopia-summary-report-eng-2014
Land and Natural Disasters: Guidance for Practitioners,UN-Habitat,,ENG,2010,Guide,Land Administration,UN-Habitat/GLTN,UN-Habitat/GLTN,"The main purpose of the Guidelines is to provide a holistic approach to addressing land issues from the immediate aftermath of a natural disaster through early recovery and reconstruction phases. It is targeted at humanitarians and land professionals, as well as government officials. The Guidelines take an inter-disciplinary approach to land, one that also brings together humanitarian emergency relief and early recovery perspectives.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/78-land-and-natural-disasters-guidance-for-practitioners-eng-2010
Land and Natural Resources Tenure Security Learning Initiative for East and Southern Africa (TSLI-ESA) - Phase 1,Simon Norfolk,"Dr. Clarissa Augustinus,Flavia Della Rosa,Steven Jonckheere, Harold Liversage, Danilo Antonio",ENG,2013,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This report provides an overview of the achievements and learning from the Phase 1 of the Tenure Security Learning Initiative - East & Southern Africa (TSLI-ESA) Project. It also looks ahead to strategies for scaling up the initiatives, and to the second phase of the TSLI-ESA project.  The main objective of the TSLI-ESA Phase 1 Project has been to identify common land and natural resources tenure issues and to enhance lesson sharing and knowledge management on land-related tools and approaches amongst the various projects, country stakeholders and partners. Building from the learning and experience from Phase 1, the goal of the second phase is to contribute to the development and integration of pro-poor land tools and approaches for securing land and natural resource rights into development programmes in the select countries in East and Southern Africa. ",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/131-land-and-natural-resources-tenure-security-learning-initiative-for-east-and-southern-africa-tsli-esa-phase-1-eng-2013
Land and Property Tax: A policy guide,Lawrence Walters,"Remy Sietchiping, Solomon Haile",ENG,2011,Guide,Land policy and legistlation,UN-Habitat/GLTN,UN-Habitat/GLTN,"Land and Property Tax: a Policy Guide is a companion for government officials and land and property professionals seeking to understand how to establish a viable and vibrant land-based taxation system. Using various examples, alternatives and illustrations around the World, the Guide provides a compelling case for generating local revenue through land and its improvements.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/71-land-and-property-tax-a-policy-guide-eng-2011
Land Inventory in Botswana: Processes and Lessons,"Remy Sietchiping,Chukwudozie Ezigbalike,Dr. Boipuso Nkwae ","Dr. Clarissa Augustinus,Guglielma da Passano",ENG,2010,Report,Land Administration,UN-Habitat/GLTN,UN-Habitat/GLTN,"Tribal land management constitutes the largest of the three main tenure types that prevail in Botswana (tribal, State, and freehold). The land inventory is a means to support land administration, land development, land use planning, land transactions and natural resources management in Botswana. The land inventory is currently web based and GIS-enabled through the Tribal Land Information Management Systems and the State Land Information Management System. These systems now play a key role in land-related policy and management decisions. ",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/77-land-inventory-in-botswana-processes-and-lessons-eng-2010
"Land Tenure in Asia and The Pacific: Challenges,Opportunities and Way Forward",David Mitchell,"Danilo Antonio,Teo CheeHai,Lowie Rosales-Kawasaki, Donovan Storey",ENG,2015,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication provides an overview of the findings of a review of land tenure security in Asia and the Pacific region in collaboration with key partners. It highlights the major land challenges, barriers and opportunities as the basis for future decisions about partnerships and engagement in the land sector at sub-regional and country level. The findings are based on an extensive literature review, interviews, a questionnaire, validation at several multi-stakeholder meetings and peer review. It is aimed at a general audience involved in policy and decision-making in the land sector, as well as the broader development sector.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/2219-land-tenure-in-asia-and-the-pacific-challenges-opportunities-and-way-forward
Land Tenure Security in Selected Countries - Synthesis Report,"Akhter Washim,Antonio Danilo,Beyene Adugna Mekonnen,Chigbu Uchendu Eugene,Rhea Lyn Dealca ,Ding Rui,Duut Nelson Namikat,Espinoza Jorge,Kariuki Judy Wambui,Mabikke Samuel,Mohiuddin Taufique,Mushinge Anthony,Nyadimo Eric,Palacios Turian,Quaye Benjamin,Rudiarto Iwan,Rukundo Bruce,Salán Reyes Mario,Sewornu Rita Esinu,Tawee Duangkaew,Wald Ilana,Wanyonyi Agatha,Zhang Xiuzhi",,ENG,2014,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"In this synthesis report, the issue of tenure security is addressed and assessed in several countries where government, civil society, the private sector and development cooperation initiatives have been implemented for decades.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/275-land-tenure-security-in-selected-countries-eng-2014
"Land,Environment and Climate Change: Challenges,Responses and Tools","Stein Holden,Remy Sietchiping","Sharif Ahmed,Dr. Clarissa Augustinus,Raf Tuts, Humphrey Ngoiya",ENG,2010,Guide,Land and Climate Change,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication provides an overview of some the most important land-related environmental and climate change problems that the world is facing. land, Environment and climate change offers an overview of the relationship between land tenure, land management approaches and the environment. this document identifies clear linkages between land, environment and climate change, moving from a scientific framework to a country level implementation framework. the implications this has in urban and rural areas are presented, and illustrated with 20 brief cases.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/76-land-environment-and-climate-change-challenges-responses-and-tools-eng-2010
"Land,Law and Islam","Siraj Sait,Hilary Lim",,ENG,2006,Book,"Islamic Aspects,Land policy and legislation",Siraj Sait and Hilary Lim,"UN Habitat,Zed Books","This book is a cross-cultural endeavor to promote global strategies for enhancing security of tenure in the Muslim world. This collaborative venture between UN-Habitat, academics and civil society makes a vital and timely contribution to the Global Land Tool Network (GLTN) and other global campaigns.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/66-land-law-and-islam-property-human-rights-in-the-muslim-world-eng-2006
"Land,Law and Islam","Siraj Sait,Hilary Lim",,ARB,2006,Book,"Islamic Aspects,Land policy and legislation",Siraj Sait and Hilary Lim,"UN Habitat,Zed Books","????? ???????? ????????
???? ??????? ????? ??????? ?? ?????? ????????
???? ??? ?????? ?????? ?????? ?? ??? ?? ???????? ????
????????????? ???????? ?????? ???? ??????? ?? ?????? ????????. ???
????? ???????? ??? ?????? ????? ??????? )??????(? ???????????? ???????? ??????
???? ?????? ???? ???? ?? ????? ???? ?????? ???????? ?????? ???????
???????? ???????? ??????.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/65-land-law-and-islam-ar-2013
Les critères d’évaluation du genre pour les outils fonciers à grande échelle: Comment décider si un outil foncier correspond bien aux besoins des femmes comme à ceux des hommes?  ,"Diane Dumashie,Åsa Jonsson,Silvia Mantilla,Siraj Sait,Birte Scholz,Jude Wallace",,FR,2012,Guide,"Gender,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"Comment décider si un outil foncier correspond bien aux besoins des femmes comme à ceux des hommes? En dépit des avancées dans le domaine des droits des femmes, ceux qui concernent la terre et la sécurité du régime foncier ne sont pas également répartis entre les deux sexes dans bien des régions du monde. Cela va à l’encontre des droits humains reconnus par les conventions internationales, tout en ayant des effets néfastes sur les ménages et sur l’économie. Lorsqu’elles touchent à la terre, les questions d’égalité des sexes deviennent plus complexes. Elles font intervenir les sphères sociale et culturelle et remettent en cause des structures de pouvoir profondément enracinées. Dans le même temps, nous savons bien que si un outil foncier doit produire tous ses effets, il doit dépasser le domaine purement technique pour prendre aussi en compte certaines dimensions sociales, comme celle du genre. La présente brochure expose les travaux que le Réseau mondial des outils fonciers (GLTN) a pour le moment réalisés en rapport avec la conception de nouveaux instruments, ou l’évaluation de ceux qui existent, et ce dans la perspective de l’égalité des sexes. Le cadre d’évaluation de la dimension du genre détaille les moyens de décider si un outil foncier de grande échelle favorise suffisamment l’égalité des sexes, en signalant les aspects sur lesquels il faut encore travailler ainsi que les points d’accès qui permettent à un outil donné de bénéficier autant aux femmes qu’aux hommes.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/245-gender-evaluation-criteria-for-large-scale-land-tools-fr
"Les Registres Fonciers Urbains: systèmes D’Informations foncières,Outils De Gestion Municipale,taxation foncière et De Renforcement De La maîtrise D’ouvrage Locale (Benin Guide)","René Perier,David Houssou",,FR,2012,Guide,"Land Management and Planning,Land Governance",UN-Habitat/GLTN,UN-Habitat/GLTN,"Cette publication, Guide du maitre d'ouvrage les registres fonciers urbains (RFU) propose des suggestions concretes pour developper et mettre en oeuvre un systeme d'information fonciere urbaine. Basees sur des leçons apprises dans le contexte des communes du Benin, le Guide demontre comment les autorites communales peuvent mobiliser les recettes fiscales a travers le foncier. Le Guide presente comment les autres composantes du systeme RFU, encore moins exploitees dans le cas du Benin, peuvent etre mieux mises en oeuvre afin de mettre a la disposition des municipalites un systeme d'information fonciere qui contribue au renforcement de la securite des droits fonciers des populations urbaines.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/37-guide-du-maitre-d-ouvrage-les-registres-fonciers-urbains-fr-2012
Managing Urban Land Information: Learning from emergent practices,"Jan Turkstra,Remy Sietchiping","Clarisssa Augustinus,Chukwudozie Ezigbalike",ENG,2012,Report,Land administration and information,UN-Habitat/GLTN,UN-Habitat/GLTN,"Managing Urban Land Information draws lessons from various experiences in post-conflict and developing countries. It is intended for land experts, government officials, donors and others involved in land information projects to avoid the costly development of an urban land information system that is too complicated, cannot be sustained or fails to support urban land management.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/68-managing-urban-land-information-learning-from-emergent-practices-eng-2012
Mexico Case Study of Ejido Land Tenure & Registration System,"Grenville Barnes,Maria DiGiano,Dr. Clarissa Augustinus",,ENG,2015,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This report summarizes a case study of the Mexican ejidocommunity tenure system. Mexico was selected for this case study because of the rich history and extensive scale of the country’s community land tenure and registration systems. This community system covers 52% of the area of Mexico, roughly equivalent to the size of Egypt, and comprises over 30 000 communities. The ejido system emanated from the Mexican revolution (1910-1917) and represents a case where the customary system of land has been largely integrated into the statutory system. The case study is particularly relevant to countries which are trying to accommodate customary land systems within a formal land ",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/2204-ejido-land-tenure-and-registration-system-mexico-case-study-synthesis-report
Mobilisation des ressources financières locales: Documentation des registres fonciers urbains des communes du Benin,"René Perier,David Houssou",,FR,2012,Report,Resource Mobilization,UN-Habitat/GLTN,UN-Habitat/GLTN,"Cette publication, Mobilisation des ressources financieres locales: documentation des registres fonciers urbains des communes du Benin, retrace le parcours des Registres Fonciers Urbains (RFU) tels qu'experimentes dans les communes beninoises depuis plus de deux decennies. Ce document constitue une contribution majeure a la connaissance des RFU. Il ressort de cette publication que les RFU mis en place dans presque 20 communes au Benin ont prouve leur valeur et leur popularite dans leur capacite a mobiliser les ressources financieres necessaires au meilleur fonctionnement des communes. Neanmoins, a la suite d'un diagnostic detaille, il est souligne que le plein potentiel du RFU reste largement sous-exploite par les communes beninoises.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/36-mobilisation-des-ressources-financieres-locales-fr-2012
"Monitoring Security of Tenure in Cities: People,Land and Policies","Nefise Bazoglu,Remy Sietchiping,Gora Mboup,Dr. Clarissa Augustinus",,ENG,2012,Guide,Land  management and planning,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication, Monitoring Security of Tenure in Cities: People, Land and Policies, presents an innovative method to ascertain the extent to which security of tenure can be measured at three main levels. Targeting cities in developing countries, the methodological framework presented in this publication is entrusted in the concept of continuum of land rights where tenure can be realised at various levels: individual, household, settlement or community, city and national levels. Various options to measure tenure security at each of these levels are presented. You will also find in this publication a review of the experience of several agencies and individual academics in measuring tenure security. From these reviews, lessons are drawn and gaps are identified, which then formed the basis of the range of methods presented in this report.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/26-monitoring-security-of-tenure-in-cities-people-land-and-policies-eng-2011
Not about Us without Us: Working with grassroots organisations in the land field,Malcolm Langford,"Dr. Clarissa Augustinus,Ulrik Westman,Asa Jonsson ,Hakijamii,Huairou Commission,SDI,COHRE,Birte Scholz,Violet Shivutse,Maria-Guglielma daPassano",ENG,2009,Guide,"Grassroots,Access to Land and Tenure Security",UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication, from the Global Land Tool Network, presents a the grassroots mechanism it plans to promote for the effective inclusion of local community groups (grassroots). The involvement of the grassroots is crucial at all stages of land-related processes. However, many pro-poor land policies are developed and implemented with weak grassroots participation, leading to project failure or outcomes that do not assist women or people living in poverty.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/82-not-about-us-without-us-working-with-grassroots-organisations-in-the-land-field-eng-2009
Option for Global Reporting on GLTN/GLII Land Indicators in the Context of Sustainable Development Goals,GLTN,,ENG,2015,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"The Feasibility Study is designed to provide a business case with respect to the feasibility of data collection for global land indicators. It gives a concrete analysis of the possibility of having land indicators in the post-2015 framework that are relevant, disaggregated by gender and include outcome indicators going beyond the legal framework. This report demonstrates that it is feasible to collect the data required using available methodologies and data sources, and that countries are able to produce these data regularly and at a reasonable cost.",http://www.gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/651-options-for-global-reporting-on-gltn-glii-land-indicators-in-the-context-of-the-sustainable-development-goals
"Property Theory,Metaphors and the Continuum of Land Rights",Michael Barry,,ENG,2015,Report,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"The following recommendations are made in this report:
1. The continuum of land rights is a metaphor, not a theory. A metaphor can be applied in a number of theoretical contexts, whereas a theory has an ideological perspective.
2. When applying the continuum, establish a position on the role of the state and then define the terms formal and informal. The state cannot always be the sole steward and arbiter over land tenure, but a number of documents imply this. Associated with this issue is that the rights recognized by the state are considered formal rights and other rights, such as customary rights, are often considered to be informal. Customary systems are hardly informal and a number of countries recognize customary tenure systems.
3. When using the continuum of land rights for analysis purposes consider also adopting the metaphors of a constellation of land interests and the bundle of rights to complement the continuum of land rights metaphor in order to develop a broader analytical framework based on three main sub-systems, the ideological, legal and actual relations. Further, develop frameworks for specific applications or purposes of the continuum, particularly at country level. 4. The current graphic needs to be revised. What might be considered is having no standard graphic at all, but to use graphical aids that are suited to a particular situation.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/2233-property-theory-metaphors-and-the-continuum-of-land-rights
Regional Learning Workshop on Land and Natural Resources Tenure Security,Simon Norfolk,"Danilo Antonio,Dr. Clarissa Augustinus,Flavia Della Rosa,Steven Jonckheere,Harold Liversage",ENG,2012,Report,"Access to Land and Tenure Security,Land and Natural Resources",UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication is the summary of the proceedings of the Regional Learning Workshop on 'Land and Natural Resources Tenure Security' held in Nairobi, Kenya from 29-31 May 2012 as jointly organized by UN-Habitat/Global Land Tool Network and International Fund for Agricultural Development (IFAD). The aim of the workshop was to deepen the understanding of land and natural resources tenure security issues and to identify opportunities to strengthen land tenure security and land access of the rural poor and marginalized groups in sub-Saharan Africa.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/62-regional-learning-workshop-on-land-and-natural-resources-tenure-security
Secure Land Rights for All,UN-Habitat,"Julian Quan,Geoffrey Payne,Remy Sietchiping,Dr. Clarissa Augustinus,Rachael
M’Rabu,Erika Lind,Ulrik Westman,Asa Jonsson,Solomon Haile and Szilard Fricska",ENG,2008,Book,Access to Land and Tenure Security,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication on Secure Land Rights for All demonstrates how secure land rights are particularly important in helping to reverse three types of phenomena: gender discrimination; social exclusion of vulnerable groups; and wider social and economic inequalities linked to inequitable and insecure rights to land. It argues that policymakers should adopt and implement the continuum of land rights because, no single form of tenure can meet the different needs of all social groups.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/83-secure-land-rights-for-all-eng-2008
"Strategic Citywide Spatial Planning: A situational analysis of metropolitan Port-Au-Prince,Haiti",Åsa Forsman,"Remy Sietchiping,Dr. Clarissa Augustinus,Leslie Voltaire,Filiep Decorte,Alberto Paranhos,Maria- Guglielma da Passano,Ulrik Westman,Mohamed El-Sioufi, Claude Ngomsi",ENG,2010,Report,Land policy and legistlation,UN-Habitat/GLTN,UN-Habitat/GLTN,"This situational analysis of metropolitan Port-au-Prince gives in-depth background to the city’s condition in terms of urban development and planning. The report maps a way forward for future planning of the metropolitan area. It argues that the main stakeholder for any urban development intervention should be the state, and more precisely the municipalities. The municipalities in Port-au-Prince need support in planning and delivering basic services.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/20-a-situational-analysis-of-metropolitan-port-au-prince-haiti-strategic-citywide-spatial-planning-summary-eng-2010
Sustaining Urban Land Information: A framework based on experiences in post-conflict and developing countries,"Jan Turkstra,Remy Sietchiping","Clarisssa Augustinus,Chukwudozie Ezigbalike",ENG,2012,Guide,"Land administration and information,Land and Conflict",UN-Habitat/GLTN,UN-Habitat/GLTN,"This guide will assist land experts, government officials, donors and others involved in land information projects to avoid the costly development of an urban land information system that is too complicated, cannot be sustained or fails to support urban land management. The framework is based on various case studies that are contained in Urban Land Information Management, a report that is available at www.gltn.net. The framework draws on UN-Habitat's operational experiences in a number of post-conflict and developing countries as well as other well-known cases.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/67-sustaining-urban-land-information-a-framework-based-on-experiences-in-post-conflict-and-developing-countries-eng-2012
Tapping the potential: The role of grassroots in land policy implementation,Tim Bending,"Danilo Antonio,Katja Arujo,Armando Jorilla,Ndinini Kimesera,Keya Kunte,Jack Makau,Lucy Meija,Esupat Ngulupa,Sheela Patel,Ayse Yonder",ENG,2012,Report,"Grassroots,Access to Land and Tenure Security,Land Policy Implementation
",UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication describes four pilot projects supported by Global Land Tool Network (GLTN) partners to strengthen grassroots organization engagement with formal land policy implementation processes in India, Tanzania, Peru and the Philippines. The premise is that land policy implementation and any land interventions will be far more effective in helping poor rural and urban communities when those communities are meaningfully involved.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/29-tapping-the-potential-the-role-of-grassroots-in-land-policy-implementation-eng-2012
The Social Tenure Domain Model: A pro poor land rights recording system,"Harry Uitermark,Christiaan Lemmen",,ENG,2010,Guide,Access to Land and Tenure Security,FIG/ UN-Habitat/GLTN,UN-Habitat/GLTN/FIG,"Most developing countries have less than 30 percent cadastral coverage. This means that over 70 percent of the land in many countries is generally outside the land register. This has caused enormous problems for example in cities, where over one billion people live in slums without proper water, sanitation, community facilities, security of tenure or quality of life. This has also caused problems for countries with regard to food security and rural land management issues.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/73-the-social-tenure-domain-model-a-pro-poor-land-rights-recording-system-eng-2010
"Training Package Toolkit: Tools to support Transparency
in Land Administration","Seth Asiama,Solomon Haile,Melissa Permezel,Chris Paresi,Wilbard Kombe,Jane Gold,Arbind Tuladhar","Åsa Jonson,Remy Sietchiping,Danilo Antonio,Dr. Clarissa Augustinus,Jaap Zevenbergen / Nfally Badiane,Roch Mongbo,Alain Bagré,Fidelis Kanyongolo,Augustine Mulolwa,Raynold Moyo,Lajana Manandhar,Reshma Shrestha,Buddhi N Shrestha,Muhammad Ayaz Raja Khan,Muzaffarabad,Salma A. Shafi,Shyamalie Perera,Trias Aditya,Floradema C. Eleazar",ENG,2013,Guide,Land administration and information,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication forms a part of a two volume training package on Tools to Improve Transparency in Land Administration. The training package comprises a Training Toolkit and a Trainers' Guide. The first provides content and the latter training methods. The publication is a product of a series of training workshops implemented across Sub-Sahara Africa, South and South East Asia. Under the leadership of the GLTN/UN-Habitat, the training brought together six universities from the global South and one from Europe. Much of the content compiled in the publication was produced by highly experienced experts drawn from these universities. ",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/107-training-package-toolkit-tools-to-support-transparency-in-land-administration-eng-2013
"Training Package Trainers Guide: Tools to support Transparency
in Land Administration","Chris Paresi,Solomon Haile,Melissa Permezel,Seth Asiama,Wilbard Kombe,Jane Gold,Arbind Tuladhar","Åsa Jonson,Remy Sietchiping,Danilo Antonio,Dr. Clarissa Augustinus,Jaap Zevenbergen/Nfally Badiane,Roch Mongbo,Alain Bagré,Fidelis Kanyongolo,Augustine Mulolwa,Raynold Moyo,Lajana  Manandhar,Reshma Shrestha,Buddhi N Shrestha,Muhammad Ayaz Raja Khan,Muzaffarabad,Salma A. Shafi, Shyamalie Perera,Trias Aditya, Floradema C. Eleazar",ENG,2013,Guide,Land administration and information,UN-Habitat/GLTN,UN-Habitat/GLTN,"This publication forms a part of a two volume training package on Tools to Improve Transparency in Land Administration. The training package comprises a Training Toolkit and a Trainers' Guide. The first provides content and the latter training methods. The publication is a product of a series of training workshops implemented across Sub-Sahara Africa, South and South East Asia. Under the leadership of the GLTN/UN-Habitat, the training brought together six universities from the global South and one from Europe. Much of the content compiled in the publication was produced by highly experienced experts drawn from these universities. The content was used, critiqued and revised in the course of implementing the training. Practitioners from each region were also identified to write region specific case studies that facilitated problem based learning and contextualized the training.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/108-training-package-trainers-guide-tools-to-support-transparency-in-land-administration-eng-2013
Urban Land Markets: Economic concepts and tools for engaging in Africa,"Caroline Wanjiku Kihato; Lucille Gavera,Yunus Momoniat","Rob McGaffin,Szilard Fricska,Joseph Maseland,Remy Sietchiping,Alain Durand-Lasserve,Clement Leduka,Mark Napier,Stephen Berrisford,Abueng Matlapeng,Kecia Rust,Jonathan Diederiks,Lauren Roysten",ENG,2010,Guide,Land Markets,UN-Habitat/GLTN,UN-Habitat/GLTN,"This Handbook introduces key economic and related concepts explaining the functioning of urban land markets. You will find in this Handbook tools for engaging in a critical analysis of conventional economics, particularly in the understanding of how African urban land markets work. Of great importance is the understanding of how land use, supply and demand unfold in African context. It provides a basis for strengthening urban policy in ways that enable poorer people in African cities to access well-located living and work spaces.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/15-urban-land-markets-economic-concepts-and-tools-for-engaging-in-africa-eng-2010
What Land Means to Youth,"Siraj Sait, Toril Iren Pedersen,Jon-Andreas Solberg",,ENG,2013,Brief,"Youth,Land Management and Planning",UN-Habitat/GLTN,UN-Habitat/GLTN,"In order to build on the momentum and to be able to move from individuals action to change towards a youth responsive land sector at scale, there is a need to strengthen the knowledge base and to broaden the understanding of how youth’s land rights and needs are intricately linked to sustainable development in rural and urban areas.",http://gltn.net/index.php/publications/publications/publications-list/send/2-gltn-documents/89-what-land-means-to-youth-eng-2013
