Title;ID;Authors;Corporate authors;Abstract/Description;Link to the publication;Resource types;Related Concepts;Themes;Overarching Categories;Publicaton date (YYYY/MM);Thumbnail;Language;Publishers;Geographical focus;Copyright owner;Data provider
19. Re-Establishing an Asset Base and Protecting Access to Productive Resources in Post-Conflict Areas of Northern Uganda - PPT;GLTN-2309;Edmond M. Owor, Samuel Mabikke, Lowie Rosales-Kawasaki, Rebecca Apio, Danilo Antonio;;Re-Establishing an Asset Base and Protecting Access to Productive Resources in Post-Conflict Areas of Northern Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2309-19-re-establishing-an-asset-base-and-protecting-access-to-productive-resources-in-post-conflict-areas-of-northern-uganda-ppt;Multimedia;land conflicts, natural resources management, land rights, land ownership;Land Conflicts;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
20. Costing and Financing of Land Administration Services - Challenges in Implementation - Paper;GLTN-2310;Kate Fairlie, Tony Burns, Rebecca Ochong, Clarissa Augustinus;;Costing and Financing of Land Administration Services – Challenges in Implementation;http://gltn.net/index.php/publications/publications/download/3-other-documents/2310-20-costing-and-financing-of-land-administration-services-challenges-in-implementation-paper;Policy Papers & Briefs;land administration, land governance, land information systems, geographical information systems, cadastres;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
20. Costing and Financing of Land Administration Services - Challenges in Implementation - PPT ;GLTN-2311;Kate Fairlie, Tony Burns, Rebecca Ochong, Clarissa Augustinus;;Costing and Financing of Land Administration Services – Challenges in Implementation;http://gltn.net/index.php/publications/publications/download/3-other-documents/2311-20-costing-and-financing-of-land-administration-services-challenges-in-implementation-ppt;Multimedia;land administration, land governance, land information systems, geographical information systems, cadastres;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
21. Land and conflicts in South Sudan: Taking the land question seriously in the peace building process - PPT;GLTN-2312;Francesca Marzatico;;Land and conflicts in South Sudan: Taking the land question seriously in the peace building process;http://www.gltn.net/index.php/publications/publications/download/3-other-documents/2313-21-land-and-conflicts-in-south-sudan-taking-the-land-question-seriously-in-the-peace-building-process-ppt;Multimedia;land conflicts, land ownership, security of tenure (land);Land Conflicts;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;South Sudan;Global Land Tool Network;Global Land Tool Network
22. Participatory And Inclusive Land Readjustment: A Pro-Poor Land Management Strategy For City Redevelopment. The Case Of Medellin, Colombia - PPT;GLTN-2314;Maria Buhigas, Robert Lewis-Lettington, Rebecca Ochong;;Participatory And Inclusive Land Readjustment: A Pro-Poor Land Management Strategy For City Redevelopment. The Case Of Medellin, Colombia;http://gltn.net/index.php/publications/publications/download/3-other-documents/2315-22-participatory-and-inclusive-land-readjustment-a-pro-poor-land-management-strategy-for-city-redevelopment-the-case-of-medellin-colombia-paper;Multimedia;land readjustment, land use planning, poverty, sustainable development, land development (urbanization), housing rights;Urbanization;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Colombia;Global Land Tool Network;Global Land Tool Network
22. Participatory And Inclusive Land Readjustment: A Pro-Poor Land Management Strategy For City Redevelopment. The Case Of Medellin, Colombia - Paper ;GLTN-2315;Maria Buhigas, Robert Lewis-Lettington, Rebecca Ochong;;Participatory And Inclusive Land Readjustment: A Pro-Poor Land Management Strategy For City Redevelopment. The Case Of Medellin, Colombia;http://gltn.net/index.php/publications/publications/send/3-other-documents/2314-22-participatory-and-inclusive-land-readjustment-a-pro-poor-land-management-strategy-for-city-redevelopment-the-case-of-medellin-colombia-ppt;Policy Papers & Briefs;land readjustment, land use planning, poverty, sustainable development, land development (urbanization), housing rights;Urbanization;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Colombia;Global Land Tool Network;Global Land Tool Network
23. Alternatives to Eviction: Scenarios for Access to Land by the Urban Poor in Informal Settlements, Kenya - Paper ;GLTN-2316;Philip Olale, Jack Makau, Danilo Antonio, Rebecca Ochong, Solomon Mkumbwa ;;Alternatives to Eviction: Scenarios for Access to Land by the Urban Poor in Informal Settlements, Kenya;http://gltn.net/index.php/publications/publications/download/3-other-documents/2316-23-alternatives-to-eviction-scenarios-for-access-to-land-by-the-urban-poor-in-informal-settlements-kenya-paper;Policy Papers & Briefs;eviction, housing rights, land rights, security of tenure (land), expropriation, compensation, informal settlements, poverty, slums, land development (urbanization);Urbanization;"Access to Land & Tenure Security; Land policy & Legislation";2016/03;;English;Global Land Tool Network;Kenya;Global Land Tool Network;Global Land Tool Network
23. Alternatives to Eviction: Scenarios for Access to Land by the Urban Poor in Informal Settlements, Kenya - PPT;GLTN-2317;Philip Olale, Jack Makau, Danilo Antonio, Rebecca Ochong, Solomon Mkumbwa ;;Alternatives to Eviction: Scenarios for Access to Land by the Urban Poor in Informal Settlements, Kenya;http://gltn.net/index.php/publications/publications/download/3-other-documents/2317-23-alternatives-to-eviction-scenarios-for-access-to-land-by-the-urban-poor-in-informal-settlements-kenya-ppt;Multimedia;eviction, housing rights, land rights, security of tenure (land), expropriation, compensation, informal settlements, poverty, slums, land development (urbanization);Urbanization;"Access to Land & Tenure Security; Land policy & Legislation";2016/03;;English;Global Land Tool Network;Kenya;Global Land Tool Network;Global Land Tool Network
24. Scaling Up Pro-Poor Land Recordation: Findings And Consequences Of Four Cases. - Paper;GLTN-2318;Bob Hendriks, Jaap Zevenbergen, Rohan Bennett, Solomon Mkumbwa, Danilo Antonio, Sam Mabikke, Clarissa Augustinus, Harold Liversage;;Scaling Up Pro-Poor Land Recordation: Findings And Consequences Of Four Cases.;http://gltn.net/index.php/publications/publications/download/3-other-documents/2318-24-scaling-up-pro-poor-land-recordation-findings-and-consequences-of-four-cases-paper;Reports & Research;land administration, land information systems, geographical information systems, poverty, cadastres, sustainable development, land use mapping;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Kenya, Uganda, United Republic of Tanzania, Mexico;Global Land Tool Network;Global Land Tool Network
24. Scaling Up Pro-Poor Land Recordation: Findings And Consequences Of Four Cases. - PPT;GLTN-2319;Bob Hendriks, Jaap Zevenbergen, Rohan Bennett, Solomon Mkumbwa, Danilo Antonio, Sam Mabikke, Clarissa Augustinus, Harold Liversage;;Scaling Up Pro-Poor Land Recordation: Findings And Consequences Of Four Cases.;http://gltn.net/index.php/publications/publications/download/3-other-documents/2319-24-scaling-up-pro-poor-land-recordation-findings-and-consequences-of-four-cases-ppt;Multimedia;land administration, land information systems, geographical information systems, poverty, cadastres, sustainable development, land use mapping;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Kenya, Uganda, United Republic of Tanzania, Mexico;Global Land Tool Network;Global Land Tool Network
25. The Continuum Of Land Rights Approach To Tenure Security: Consolidating Advances In Theory And Practice - Paper;GLTN-2320;Jean du Plessis, Clarissa Augustinus, Michael Barry, Christiaan Lemmen, Lauren Royston;;The Continuum Of Land Rights Approach To Tenure Security: Consolidating Advances In Theory And Practice;http://gltn.net/index.php/publications/publications/download/3-other-documents/2320-25-the-continuum-of-land-rights-approach-to-tenure-security-consolidating-advances-in-theory-and-practice-paper;Policy Papers & Briefs;continuum of land rights, security of tenure (land), land rights, land ownership, land tenure systems;;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
25. The Continuum Of Land Rights Approach To Tenure Security: Consolidating Advances In Theory And Practice - PPT;GLTN-2321;Jean du Plessis, Clarissa Augustinus, Michael Barry, Christiaan Lemmen, Lauren Royston;;The Continuum Of Land Rights Approach To Tenure Security: Consolidating Advances In Theory And Practice;gltn.net/index.php/publications/publications/download/3-other-documents/2321-25-the-continuum-of-land-rights-approach-to-tenure-security-consolidating-advances-in-theory-and-practice-ppt;Multimedia;continuum of land rights, security of tenure (land), land rights, land ownership, land tenure systems;;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
26. Handling Land in the New Urban Agenda - Paper ;GLTN-2322;Oumar Sylla, Lowie Rosales-Kawasaki, Jane Katz, Teo Chee-hai;;Handling Land in the New Urban Agenda;gltn.net/index.php/publications/publications/download/3-other-documents/2322-26-handling-land-in-the-new-urban-agenda-paper;Policy Papers & Briefs;land development (urbanization), land use planning, housing rights, slums, informal settlements, sustainable development;Urbanization;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
26. Handling Land in the New Urban Agenda - PPT;GLTN-2323;Oumar Sylla, Lowie Rosales-Kawasaki, Jane Katz, Teo Chee-hai;;Handling Land in the New Urban Agenda;gltn.net/index.php/publications/publications/download/3-other-documents/2323-26-handling-land-in-the-new-urban-agenda-ppt;Multimedia;land development (urbanization), land use planning, housing rights, slums, informal settlements, sustainable development;Urbanization;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
27. Community sourced land information influencing national upgrading projects in Colombia, Kenya, Philippines and Uganda: Evidences where the top-down and bottom-up approaches meet - Paper;GLTN-2324;Steve Ouma, Lutwama Muhammed, Susana Rojas, Rahael Borchers, Ruby Haddad, Cyprian Selebalo, John Gitau, Danilo Antonio, Rhea Lyn Dealca;;Community sourced land information influencing national upgrading projects in Colombia, Kenya, Philippines and Uganda: Evidences where the top-down and bottom-up approaches meet;http://gltn.net/index.php/publications/publications/download/3-other-documents/2324-27-community-sourced-land-information-influencing-national-upgrading-projects-in-colombia-kenya-philippines-and-uganda-evidences-where-the-top-down-and-bottom-up-approaches-meet-paper;Reports & Research;land information systems, land administration, geographical information systems, surveyors, cadastres, land tenure systems;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Colombia, Kenya, Philippines, Uganda;Global Land Tool Network;Global Land Tool Network
27. Community sourced land information influencing national upgrading projects in Colombia, Kenya, Philippines and Uganda: Evidences where the top-down and bottom-up approaches meet - PPT;GLTN-2325;Steve Ouma, Lutwama Muhammed, Susana Rojas, Rahael Borchers, Ruby Haddad, Cyprian Selebalo, John Gitau, Danilo Antonio, Rhea Lyn Dealca;;Community sourced land information influencing national upgrading projects in Colombia, Kenya, Philippines and Uganda: Evidences where the top-down and bottom-up approaches meet;gltn.net/index.php/publications/publications/download/3-other-documents/2325-27-community-sourced-land-information-influencing-national-upgrading-projects-in-colombia-kenya-philippines-and-uganda-evidences-where-the-top-down-and-bottom-up-approaches-meet-ppt;Multimedia;land information systems, land administration, geographical information systems, surveyors, cadastres, land tenure systems;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Colombia, Kenya, Philippines, Uganda;Global Land Tool Network;Global Land Tool Network
28. Application of Geomatics for Mapping Land and Natural Resource Use and Rights: A Case Study of IFAD Programmes in East and Southern Africa - Paper;GLTN-2326;Steven Jonckheere, Harold Liversage, Solomon Mkumbwa, John Gitau, Danilo Antonio, Solomon Njogu;;Application of Geomatics for Mapping Land and Natural Resource Use and Rights: A Case Study of IFAD Programmes in East and Southern Africa;http://gltn.net/index.php/publications/publications/download/3-other-documents/2326-28-application-of-geomatics-for-mapping-land-and-natural-resource-use-and-rights-a-case-study-of-ifad-programmes-in-east-and-southern-africa-paper;Reports & Research;land information systems, land administration, geographical information systems, surveyors, cadastres, land tenure systems, land use mapping;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;East Africa, Southern Africa;Global Land Tool Network, IFAD;Global Land Tool Network
28. Application of Geomatics for Mapping Land and Natural Resource Use and Rights: A Case Study of IFAD Programmes in East and Southern Africa - PPT ;GLTN-2327;Steven Jonckheere, Harold Liversage, Solomon Mkumbwa, John Gitau, Danilo Antonio, Solomon Njogu;;Application of Geomatics for Mapping Land and Natural Resource Use and Rights: A Case Study of IFAD Programmes in East and Southern Africa;http://gltn.net/index.php/publications/publications/download/3-other-documents/2327-28-application-of-geomatics-for-mapping-land-and-natural-resource-use-and-rights-a-case-study-of-ifad-programmes-in-east-and-southern-africa-ppt;Multimedia;land information systems, land administration, geographical information systems, surveyors, cadastres, land tenure systems, land use mapping;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;East Africa, Southern Africa;Global Land Tool Network, IFAD;Global Land Tool Network
Land and the New Urban Agenda - Presentation;GLTN-2328;Dr. Babette Wehrmann;;"Land and the New Urban Agenda - Presentation
Dr. Babette Wehrmann, Nairobi, 9 June 2016";http://gltn.net/index.php/publications/publications/download/3-other-documents/2328-land-and-the-new-urban-agenda-presentation;Multimedia;land rights, land use mapping, land development (urbanization), sustainable development;Urbanization;Access to Land & Tenure Security;2016/06;http://gltn.net/images/Nairobi-Land-NUA.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Land and the New Urban Agenda: A UN-Habitat wide briefing on 9 June 2016, Nairobi Kenya;GLTN-2329;Dr. Babette Wehrmann;;Land and the New Urban Agenda: A UN-Habitat wide briefing on 9 June 2016, Nairobi Kenya;http://gltn.net/index.php/publications/publications/download/3-other-documents/2329-land-and-the-new-urban-agenda-a-un-habitat-wide-briefing-on-9-june-2016-nairobi-kenya;Policy Papers & Briefs;land rights, land use mapping, land development (urbanization), sustainable development;Urbanization;Access to Land & Tenure Security;2016/06;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Land and the New Urban Agenda - Brief ;GLTN-2330;;Global Land Tool Network;Land underpins all the key aspects of the NEW URBAN AGENDA because it is a key driver for inclusive and sustainable urban development;http://gltn.net/index.php/publications/publications/download/3-other-documents/2330-roadmap-to-quito;Policy Papers & Briefs;sustainable development, land development (urbanization), land use planning, housing rights, urban population;Urbanization;Access to Land & Tenure Security;2016/06;http://gltn.net/images/Land_and_the_New_Urban_Agenda_draft3.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
GLTN Roadmap to Quito ;GLTN-2331;;Global Land Tool Network;GLTN Roadmap to Quito ;http://gltn.net/index.php/publications/publications/download/3-other-documents/2331-gltn-roadmap-to-quito;Institutional & promotional materials;sustainable development, land development (urbanization), land use planning, housing rights, urban population;"Urbanization; Land Stakeholders & Institutions";Access to Land & Tenure Security;2016/06;http://gltn.net/images/Roadmap_10_June2016.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Fit-for-Purpose Land Administration: Guiding Principles for Country Implementation;GLTN-2332;Stig Enemark, Robin McLaren, Christiaan Lemmen;;The publication is primarily designed to allow a range of stakeholders in developing countries to understand the overall Fit-For-Purpose approach and to recognize the benefits of adopting this approach. The Fit-for-Purpose solutions provide opportunities for land administration systems to deliver benefits, including secure tenure rights, to a wide range of stakeholders within a relatively short time and for a relatively affordable costs in a flexible manner. It provides structured guidance on building the spatial, legal and institutional frameworks in support of designing country-specific strategies for implementing FFP land administration. It contains the analysis and operational advisory guidelines to implement the approach;http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2332-fit-for-purpose-land-administration-guiding-principles-for-country-implementation;Manuals & Guidelines;land administration, land information systems, geographical information systems, surveyors, land tenure systems, land use mapping, capacity building;Land Stakeholders & Institutions;Land use, Management & Investment;2016/02;http://gltn.net/images/Fit-For-Purpose_Land_Administration.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Le Foncier et le Nouvel Agenda Urbain - Dossier (JUN 2016) ;GLTN-2333;;Global Land Tool Network;Au moment de finaliser le Nouvel Agenda Urbain, les États membres des Nations Unies devraient aborder la question du foncier comme secteur d’intérêt clé et inclure la terre dans tous les types d’établissements humains : urbains, périurbains, et ruraux, riches ou pauvres.;http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2333-le-foncier-et-le-nouvel-agenda-urbain-dossier-jun-2016;Policy Papers & Briefs;sustainable development, land development (urbanization), land use planning, housing rights, urban population;Urbanization;Access to Land & Tenure Security;2016/06;http://gltn.net/images/Land_and_the_New_Urban_Agenda_brief_-_FRENCH_small.jpg;Français;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Remaking the urban mosaic. Participatory and inclusive land readjustment ;GLTN-2334;Larry Walters, Maria Buhigas, Rainer Müller-Jöke, Allan Cain, Shirley Ballaney, Paul Mundy, Juan Felipe Pinilla, Yu-Hung Hong, Clarissa Augustinus, Gianluca Crispi, Oihana Cuesta, Jean du Plessis, Salvatore Fundaro, Solomon Haile, Robert Lewis-Lettington, Rebecca Ochong, Liz Paterson, Melissa Permezel, Remy Sietchiping;;"Participatory and inclusive land readjustment, or PILaR for short, is a way of reorganizing the ownership of land in and around cities in a pro-poor way. It brings together land parcels belonging to different owners and treats them as a single unit for planning and infrastructure provision. The municipality reserves a portion of the land for roads and other public infrastructure, and returns the rest to the original owners. Each owner gets back a smaller parcel, but it is worth more because it now has road access and other services.
PILaR involves all the stakeholders – landowners, the municipality and residents – in planning and managing this process. Everyone has a say, and everyone benefits. This book describes how to implement PILaR. It guides the reader through the various aspects of this complex process: governance, land management policies, planning and design, collecting and analysing data, engaging with stakeholders, legal issues, finance and communication.
It will be of interest to urban managers, land professionals, landowners, representatives of residents and other stakeholders who are considering or are involved in land readjustment projects.";http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2334-remaking-the-urban-mosaic-participatory-and-inclusive-land-readjustment;Reports & Research;urban planning, land use planning, land development (urbanization);Urbanization;Land use, Management & Investment;2016/07;http://gltn.net/images/Remaking_the_urban_mosaic._PILaR_final.jpg;English;Global Land Tool Network;Colombia, Global;Global Land Tool Network;Global Land Tool Network
Learning for Land Tool Development and Implementation. A Good Practice Guide.;GLTN-2336;Jean du Plessis, Jenny Pearson, Ruth Cook, John Gitau, Samuel Mabikke, Rebecca Ochong, Melissa Permezel;;"This Guide has been developed for use by our colleagues and partners in implementing the GLTN capacity development strategy at country level. It is based on practical experience gained in the course our work during GLTN Phase 2, specifically in the development and application of pro-poor, gender responsive land tools. In our experience, learning is a fundamental precondition for the successful innovations that are so urgently needed to achieve responsible land administration for secure land and property rights for all.
The Guide is presented as a living document, to be improved over time as we jointly explore and develop improved methods and processes of good learning practice. Readers and users are encouraged to send their critique and suggestions to jean.duplessis@unhabitat.org.";http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2336-learning-for-land-tool-development-and-implementation-a-good-practice-guide;Training Resources & Tools;capacity building, security of tenure (land), development agencies;Land Stakeholders & Institutions;;2016/07;http://gltn.net/images/Good_Practice_Guide_.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Framework for evaluating Continuum of Land Rights scenarios;GLTN-2337;Michael Barry, Clarissa Augustinus;;"This report develops a framework for evaluating continuum of land rights scenarios. Building on existing evaluation initiatives that focus on land tenure and the associated administrative systems, the report addresses an important gap by providing a framework for evaluating land rights scenarios along the continuum of land rights according to the purposes of a particular evaluation.
The continuum of land rights is gaining traction to guide official recognition of various different tenure types. The continuum offers an alternative approach to the dominant focus on titling of individually held private property as the ultimate form of tenure security, or the end goal of land tenure reforms. A tenure type that best suits both the cultural and economic needs of local communities and the needs of land administration authorities at a particular time is advocated. The continuum approach is increasingly being followed by land actors in initiatives aimed at securing tenure security for all.
The framework is structured so that continuum scenario evaluations may be harmonised with other land tenure evaluations. When applied in a particular jurisdiction, the purposes of the evaluation, such as a need to measure the status of a situation, the need to explain that situation, or the need to design and implement improvements to that situation should first be determined, and an appropriate evaluation methodology and set of methods should be selected. At the same time an assessment should be made of how the evaluation would fit into a larger set of evaluations for land administration and community planning in that jurisdiction.";http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2337-framework-for-evaluating-continuum-of-land-rights-scenarios;Training Resources & Tools;capacity building, security of tenure (land), development agencies, continuum in land rights, land tenure systems;Land Stakeholders & Institutions;Land Policy & Legislation;2016/04;http://gltn.net/images/FRAMEWORK_FOR_EVALUATING_LAND_RIGHTS.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
