Title;Subtitle;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
Women’s Land and Property Rights in Situations of Conflict and Reconstruction;;;UNWOMEN;United Nations Entity for Gender Equality and the Empowerment of Women (UNWOMEN);"Women constitute the majority of small farmers, particularly in sub-Saharan Africa. Yet, in countries around the world, they continue to be denied the right to own the ground that they
cultivate and on which they raise their families. This publication, “Women’s Land and Property Rights in Situations of Conflict and Reconstruction,” presents a diversity of views and experiences that describe the multiple strategies being used in countries worldwide to secure women's rights to land and property.
Nowhere is the impact of unequal land rights more acutely felt than when women find themselves obliged to fend for themselves and their families as a result of conflicts which have cost them the husbands, brothers or fathers in whose name land and property was traditionally held and passed on. On returning home to the fields they used to work and the house they used to keep, women in many countries find themselves denied access, often by their former in-laws or neighbours. Without the security of a family home or the income and produce of their fields, women and their dependants may be pushed to the margins of society, further exacerbating their struggle to achieve health and well-being for their families and themselves.
Against this sombre background, the unstinting efforts of women at all levels to keep families functioning in adversity, maintain community dialogue and sustain the fabric of social development, go largely unsung. Against all the odds, women continue to organise to address their livelihood and empowerment needs, and increasingly to champion their rights. They want a place at the peace table. And they are lobbying for new legislation that can enable them to acquire land, property and credit facilities with which to restart their lives. Above all, they recognise that conflict, with its attendant trauma and displacement, has also honed their existing skills and taught them new ones. As returnees from refugee situations - or something like that, they are not prepared to revert to the status quo ante but wish to capitalise on the changes brought about in adversity.
In recognition of women's determination to secure these new opportunities, UNIFEM, together with the United Nations Centre for Human Settlement (Habitat), the United Nations High Commission for Refugees (UNHCR) and the United Nations Development Programme (UNDP), convened the first
____________________________________________________________________ 6 Women’s Land and Property Rights in Situations of Conflict and Reconstruction
Inter-Regional Consultation on Women's Land and Property Rights in Situations of Conflict and Reconstruction. This took place under the aegis of the Government of Rwanda in Kigali, in 1998, barely four years after the genocide which tore an already divided society and its component communities apart. This ground-breaking Conference brought women from across Africa, South and Central America, the Balkans, the Middle East and the Asia-Pacific region to compare notes and exchange experiences. Striking similarities became apparent, despite the wide variety of contexts from which the case-studies were drawn. Despite advances in the international rights regime, persistent discrimination evident in the customary laws which regulate women's status in most traditional societies was a constant factor across cultural, social and political divides.
The case-histories and testimonies recorded by the Kigali Consultation provide an insight into changes in land and inheritance rights brought about by conflict and its attendant social disruptions. Out of the acute distress experienced by women caught up in such circumstances, has grown a new realisation by the women themselves of their resilience and strength in adversity. Their stories testify to a new determination to assert women's rights in their productive, reproductive and ownership roles, all three representing long- term investments in their future communities and societies.
The Kigali papers which follow represent only a snapshot of what has been taking place around the world, for the process is ongoing. Whether society will recognise these gains, secure them through new legislation -- as has since happened in Rwanda itself, -- capitalise on women's capacities, and allow them their rightful place at the peace table and in decision-making at all levels, is the subject for new chapters which are still being written. It is UNIFEM's role to assist in this process. I feel privileged, as one of many contributing to this work, to be able to salute the efforts of such women around the world working tirelessly and often invisibly to make these changes a reality.";http://iknowpolitics.org/sites/default/files/womenslandandpropertyrights.pdf;1998/02;English;Rwanda;UNWOMEN;Land Rights;Access to Land & Tenure Security;"Land & Gender; Land Conflicts";"property rights; gender equity in access to land; women; land access; security of tenure (land); land conflicts";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 111;/Women's land and property rights in situations of conflict_thumb.png
Impact of the Land Reform on the Land Rights and Economic Poverty Reduction of the Majority Rural Especially Women Who Depend on Land for their Livelihood;;"Annie Kairaba; James Daale Simons";;Rwanda Initiative for Sustainable Development;"Good land governance today is one of the current global debates because of its centrality in managing diverging interests, competing claims, and processes of inclusion and exclusion related to land rights1 as a key resource of majority of developing countries. The importance of good land governance in strengthening women's land rights as a major source of their livelihood cannot be over emphasised. However, major challenges remain posed by recent global pressure on land due to urbanization as part of land reform2 like the recent strategy of promoting land expropriation in the name of economic development planning which threatens the land rights of women even further as women have no resources to participate in such complicated programs that are both highly political and heavy financially demanding, since women especially the rural do not have such a capacity and space. Therefore, the recent move of putting in place common guideline for good land governance for Africa, the ‘Africa Land Policy Framework and Guidelines’ (ALPFG) signed by the heads of states of the continent in 2009, as a strategy with a vision to promote good land governance that will strike a balance between protecting rights of the poor and marginalised groups like women, while providing the path to economic progress and social justice, is very timely.
Indeed such debate is very relevant to Rwanda where land is believed to be a key good governance area, since land is the most important asset for production and livelihoods in the country3, especially for the majority rural poor, in particular rural women who mainly depend on land for their livelihood. Land also remains the foundation of the country’s economy, hence, an important link to the politics of the country4. Good land governance debate is also very relevant to Rwanda given that the country is implementing land reform for the first time in its history, stating its own main objective5 as that of ‘achieving sustainable development strategy towards poverty reduction, by providing equal land rights to women as that of men’. The implementation of land reform in Rwanda is implemented through a program known as “Land Tenure Regularisation Process (LTRP), which is done through systematic land registration”. The process is discussed in more under section 4 below. Although debate on the impact of systematic land registration in relation to land rights in general is still live, Rwanda opted for the systematic registration strategy with a belief that it presents more opportunities to protect women’s rights.";http://siteresources.worldbank.org/INTIE/Resources/475495-1302790806106/GOV6Pres3Kairaba2.pdf;2011/12;English;Rwanda;Rwanda Initiative for Sustainable Development;Land Rights;Land Policy & Legislation;Land & Gender;"land reform; land policies; poverty; gender equity in access to land; women; land rights";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 112;/Impact of land reform on the land rights_thumb.png
Enhancing Legal Empowerment and Customary Law in Rwanda: Report of a Pilot Project concerning Community-level Dispute Resolution and Women’s Land Rights;;"Muriel Veldman; Marco Lankhorst ";;International Development Law Organisation;We present a report on the results of a 10-month pilot project conducted in North- Western Rwanda that aimed to explore fruitful ways to engage with customary law in order to empower rural communities and rural women in particular. The focus is on the effectiveness of land dispute resolution at the community level and the respect for women’s formally guaranteed land rights by the institutions involved.;http://www.rcn-ong.be/IMG/pdf/Etude_IDLO-RCN_Rwanda.pdf;2011/12;English;Rwanda;International Development Law Organisation;Land Rights;Land Policy & Legislation;Land & Gender;"legal empowerment; customary law; land dispute; dispute resolution; gender equity in access to land; women";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 113;/Enhancing legal empowerment_thumb.png
Pilot Land Tenure Registration in Rwanda: Evidence of Initial Impacts;;"Daniel Ayalew Ali; Klaus Deininger; Markus Goldstein; Mercedes Stickle";;World Bank Group;A survey of some 3,500 households in and adjacent to land tenure regularization (LTR) pilot cells was undertaken some 2.5 years after completion of the LTR pilot. The results of the survey provide evidence on the fairness and gender inclusiveness of the regularization process, households’ knowledge of the law, and initial investment impacts. A large majority of those asked perceived the process as very fair and transparent. It was, however, more thorough and inclusive in rural than in urban areas, where more than 11 percent of certificates could not be issued because of a pending conflict. Despite the short time elapsed since registration, land-attached investment (and maintenance of existing structures) is significantly higher in the treatment area compared to the control area. A high frequency of land transfers suggests an urgent need to complement LTR with mechanisms to register transactions on an ongoing basis to ensure sustainability of benefits. We can, however, reject the hypothesis that these transfers are distress sales or disproportionately involve female land holders. Introducing mechanisms to improve awareness of legal knowledge will also help achieve the full potential of the program in a sustainable manner.;http://www.rwandaland.org/en/landresearchanddata/land-rights;2010/12;English;Rwanda;World Bank Group;Land Rights;Land Use, Management & Investment;;"land administration; land tenure systems; security of tenure (land); title deed; customary tenure";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 114;/Pilot land tenure registration in rwanda_thumb.png
Land, Business and Human Rights  ;;Salil Tripathi;;Institute for Human Rights and Business;"This is the first of a series of consultations on the human rights challenges and dilemmas involved in the
acquisition and use of land – held individually or collectively - for private or state-owned business and
economic purposes. The aim of the series of consultations is to develop a framework that leads to an end of
human rights abuses at any stage of the process – before acquisition, during acquisition, and after operations
have commenced and, if necessary, relocation and rehabilitation arranged, and compensation paid.
This requires strengthening and enforcing the existing legal mechanisms; identifying situations in which the
land acquisition should not take place; highlighting gaps in administration of laws, practices, and policies;
and recommending a framework that businesses should follow as part of their land acquisition process.
The purpose of this paper is to inform and stimulate discussion for the human rights and land roundtable.
Some of the questions being raised are meant to provoke a robust discussion, and there is no pre-determined
outcome.
The Institute aims to organise up to three more consultations of this nature, in different cities, over the next
15 months. Possible locations include Bogota, Colombia; Lagos, Nigeria; and London, UK. The Institute
would like to keep you engaged in the process over the next 15 months. ";https://www.ihrb.org/pdf/Land_Business_and_Human_Rights.pdf;2009/06;English;Global;Institute for Human Rights and Business;Land Rights;"Access to Land & Tenure Security; Land Policy & Legislation";Land Conflicts;"land conflicts; land access; property rights; land rights";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 115;/land, business and human rights_thumb.png
Land Rights Issues in International Human Rights Law;;Elisabeth Wickeri, Anil Kalhan;;Institute for Human Rights and Business;"Up to one quarter of the world’s population is estimated to be landless, including 200 million
people living in rural areas,1
 and approximately 75% of the world’s population living in extreme
poverty (less than $1/day) live in rural areas.2
 According to the Food and Agriculture Agency of the
United Nations (FAO), “rural landlessness is often the best predictor of poverty and hunger.”3
“While not the only pathway out of poverty, ample evidence suggests that access to land is effective
in helping rural households generate higher incomes” through the sale of crops and the money saved
when the family feeds itself from the land.4
 Yet, even though “land constitutes the main asset from
which the rural poor are able to derive a livelihood . . . . [m]illions of families, though they toil on the
land, do not enjoy ownership rights over it and are considered landless.”5

The condition of landlessness threatens the enjoyment of a number of fundamental human
rights. Access to land is important for development and poverty reduction, but also often necessary
for access to numerous economic, social and cultural rights, and as a gateway for many civil and
political rights. However, there is no right to land codified in international human rights law.
Land is a cross-cutting issue, and is not simply a resource for one human right in the
international legal framework. And yet, while rights have been established in the international legal
framework that relate to land access for particular groups (e.g. indigenous people and, to a more
limited extent, women), numerous rights are affected by access to land (e.g., housing, food, water,
work), and general principles in international law provide protections that relate to access to land
(e.g., equality and nondiscrimination in ownership and inheritance), an explicit consideration of the
legal implications of access to land for a broad range of human rights is necessary. ";https://www.ihrb.org/pdf/Land_Rights_Issues_in_International_HRL.pdf;2009/12;English;Global;Institute for Human Rights and Business;Land Rights;Access to Land & Tenure Security;;"land rights; eviction; displacement; CEDAW; land law; development agencies; landlessness";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 116;/landrightsissueshumanrights_thumb.png
Land rights and the forest peoples of Africa - 4 - Rwanda ;Historical and contemporary land laws and their impact on indigenous peoples' land rights in Rwanda;Chris Huggins;;Forest Peoples Programme (FPP);"Land rights and the forest peoples of Africa - Historical, legal and anthropological perspectives
A series of five country studies, plus a broad overview, examining indigenous peoples' land rights in the forested countries of Africa.";http://www.forestpeoples.org/sites/fpp/files/publication/2010/05/rwandalandrightsstudy09eng.pdf;2009/03;English;Rwanda;Forest Peoples Programme;Land Rights;Access to Land & Tenure Security;Forest Tenure;"land rights; forest land; local community; community land rights; customary tenure; forestry; forestry policies";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 117;/Pub 4 rwandalandrightsstudy09eng 1-inset.jpg
Improving Access to Land and Tenure Security;;;International Fund for Agricultural Development (IFAD);International Fund for Agricultural Development (IFAD);"Secure access to productive land is critical to poverty, acknowledging the complexity and
dynamics of evolving rural realities; (b) identify
the major implications of that relationship for
IFAD’s strategy and programme development
and implementation; (c) articulate guiding
principles for mainstreaming land issues in
the Fund’s main operational instruments and
processes; and (d) provide the framework for
the subsequent development of operational
guidelines and decision tools.
In this policy, land refers to farmland,
wetlands, pastures and forests. Land tenure
refers to rules and norms and institutions that
govern how, when and where people access
land or are excluded from such access.2
Land tenure security refers to enforceable
claims on land, with the level of enforcement
ranging from national laws to local village
rules, which again are supported by national
regulatory frameworks. It refers to people’s
recognized ability to control and manage land
– using it and disposing of its products as
well as engaging in such transactions as the
transferring or leasing of land.
The focus on land does not mean that the
inherent linkages to other natural resources,
especially water, are ignored. Rather, the aim
is to ensure a policy, institutional and
operational focus that would otherwise be
diluted if the scope were broadened to the
larger issues of access to natural resources,
and of governance and management.
the millions of poor people living in rural areas
and depending on agriculture, livestock or
forests for their livelihood. It reduces their
vulnerability to hunger and poverty; influences
their capacity to invest in their productive
activities and in the sustainable management
of their resources; enhances their prospects
for better livelihoods; and helps them develop
more equitable relations with the rest of their
society, thus contributing to justice, peace
and sustainable development.
According to the IFAD Strategic Framework
2007-2010,1 the Fund’s first strategic objective
is to help “ensure that, at the national level,
poor rural men and women have better and
sustainable access to ... natural resources
(land and water), which they are then able to
manage efficiently and sustainably.”
Land access and tenure security issues are
linked, directly or indirectly, to all the strategic
areas of IFAD’s interventions. Land issues are
of particular concern, today, when population
growth, high food prices, the impact of
climate change, trade regimes, global
consumer- and corporate-driven food
systems and growing demand for agrofuels
and feed are causing fierce competition for
land and very high pressures on tenure
systems. In a new era of high food and fuel
prices, these pressures are likely to intensify
further. They threaten the land and tenure
security – and hence the food security and
livelihoods – of millions of poor rural people
whose access to land was not previously
under threat. This in turn raises the risks of
environmental degradation and social conflict.
The IFAD Policy on Improving Access to Land
and Tenure Security has been formulated to:
(a) provide a conceptual framework for the
relationship between land issues and rural";https://www.ifad.org/documents/10180/398979c3-fc34-4df5-93c1-8a9b4c7e7086;2008/12;English;Global;International Fund for Agricultural Development (IFAD);Land Rights;Access to Land & Tenure Security;;"land access; security of tenure (land); land governance; land policies";USAID Rwanda LAND Project;Manuals & Guidelines;Rwanda LAND (Research) - 118;/improvingaccesstolandandtenuresecurity_thumb.png
Regional Differences regarding Land Tenancy in Rural Rwanda, with Special Reference to Sharecropping in a Coffee Production Area;;ShinichiTakeuchi, Jean MarieMarara;;Center for African Area Studies - Kyoto University;"This paper examines land tenancy systems and tenant contracts in Rwanda, with
respect to socioeconomic contexts. Our research in southern and eastern Rwanda produced
data suggesting that land borrowing with fixed rents has been generally practiced, and that rent
levels have been low in comparison to expected revenues from field production. In the western
areas of coffee production, however, the practice of sharecropping has recently appeared. This
system is advantageous to landowners, as they are able to acquire half of the harvests; in
addition, the fixed rent levels in this region are much higher than those of other regions. In the
southern and eastern regions, because land borrowing with fixed rents has been the only
tenancy pattern and rent levels have remained low, the economic situation should be interpreted
in the context of a continuing traditional Rwandan land tenure system. In contrast, in the
western coffee production area, the soaring of fixed rents and the emergence of sharecropping
have been brought about by high pressures for land use, which were caused not only by a
population increase but also by the development of cash crop production and the existence of
a labor exchange system. The increase in rent levels has therefore been offset by a corresponding
increase in agricultural productivity.";http://www.africa.kyoto-u.ac.jp/kiroku/asm_suppl/abstracts/pdf/ASM_s35/5TAKEUCHI.pdf;2007/03;English;Rwanda;African Study Monographs;Land Rights;"Access to Land & Tenure Security; Land Use, Management & Investment";;"land tenure systems; tenant farmer; farmers; security of tenure (land); land ownership; land rights";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 119;/regional differences regarding land tenancy in rural rwanda_thumb.png
Returnees Land Access: Lessons from Rwanda;;John W. Bruce;;"Overseas Development Institute; Humanitarian Policy Group";"This background briefing reports on a study of land access
for returnees in Rwanda, and the impacts of land access
policies in the post-conflict period. It also seeks to
understand better the roles international humanitarian
agencies and NGOs have played, and how their performance
can be improved. It is not suggested that Rwanda is typical,
but rather that the centrality of land issues there has thrown
up a revealing set of broader questions.";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/4176.pdf;2007/06;English;Rwanda;Overseas Development Institute;Land Rights;Access to Land & Tenure Security;Land Conflicts;"land conflicts; land access; displacement; landlessness; security of tenure (land)";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 120;/returneelandaccesslessonsfromrwanda_thumb.png
Drawing a line under the crisis: Reconciling returnee land access and security in post-conflict Rwanda;;John Bruce;;"Overseas Development Institute; Humanitarian Policy Group";"This report is part of a broader comparative effort by As the author worked with colleagues in Rwanda,
two other important dimensions of the Rwandan
experience became clear. Refugee return and land
access in Rwanda has been an extraordinarily
complex matter, with some refugees leaving just in
time for others returning to take up their homes and
lands. Rwanda has important lessons to teach us
about the need to maintain flexibility in dealing with
complexity, and raises questions about whether
obviously well-meant but very specific requirements
in international conventions can be applied with full
rigour in all cases. In addition, the Rwandan
experience highlights the fact that conflict and postconflict
are not two ends of a simple spectrum, but
overlap. Refugee return and economic
reconstruction similarly overlap, and this creates
challenges in framing policy and legal responses
that address adequately the diverse claims and
needs that arise.
the Overseas Development Institute’s Humanitarian
Policy Group on Land Tenure in Conflict and PostConflict
Situations, which aims to inform and
improve the policy and practice of humanitarian
action and to inform related areas of international
policy. It seeks to understand how land issues affect
and are affected by violence and conflict resolution,
what responses are appropriate and what lessons
can be learned from specific contexts of land tenure
interventions, both during and after conflict.
ODI selected Rwanda for one of the country studies
because, as the project document suggests:
The experience of civil strife in Rwanda
presents a stark example of the link
between access to land and the
precipitation of conflict … It also provides an
example of a situation where refugee and
IDP resettlement, land claims and land
reform were major features of the postconflict
setting. ";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/4174.pdf;2006/07;English;Rwanda;Overseas Development Institute;Land Rights;Access to Land & Tenure Security;Land Conflicts;"land conflicts; land access; displacement; landlessness; security of tenure (land); land ownership";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 121;/drawingalineunderthecrisis_thumb.png
Improving Tenure Security for the Rural Poor.  Rwanda – Country Case Study;;Herman Musahara;;"Food and Agricultural Organization (FAO); National University of Rwanda";"Most of the world’s poor work in the “informal economy” – outside of recognized and enforceable rules.
Thus, even though most have assets of some kind, they have no way to document their possessions
because they lack formal access to legally recognized tools such as deeds, contracts and permits.
The Commission on Legal Empowerment of the Poor (CLEP) is the first global anti-poverty initiative
focusing on the link between exclusion, poverty and law, looking for practical solutions to the challenges
of poverty. CLEP aims to make legal protection and economic opportunity the right of all, not the
privilege of the few. (see http://legalempowerment.undp.org/)
CLEP has identified specific tenure issues, including i) how to make property rights accessible to all,
especially poor and marginalized communities, groups or individuals and ii) how to ensure that property
rights of the poor function as means of achieving economic and social empowerment, particularly in the
context of gender equity and those affected by HIV/AIDS.
There is growing empirical evidence that giving legal recognition to informal property rights in urban
areas brings positive results. However, a similar body of evidence does not exist for the empowerment of
people in rural areas. Instead, the signs are mixed, resulting in a largely sterile and divisive debate on
formalization of rights.
FAO, with donor funding from Norway, has undertaken a set of activities for “Improving tenure security
of the rural poor” in order to meet the needs of FAO member countries and, in turn, support the CLEP.
This work falls within the FAO corporate strategy on “Sustainable rural livelihoods and more equitable
access to resources”. Recognizing that secure access to land and other natural resources (forests, water,
fisheries, pastures, etc.) is a crucial factor for eradication of food insecurity and rural poverty, FAO’s
cross-departmental and cross-disciplinary work focused 2005-2006 activities on sub-Saharan Africa
which has the world’s highest percentage of poor and hungry people.
This paper is part of FAO’s effort to inform the CLEP through its working group on property rights. It
was prepared for the regional technical workshop on “Improving tenure security of the rural poor” held
in Nakuru, Kenya, October 2006, at which issues relating to property rights were reviewed and actions
were initiated to develop common strategies for improving the protection of rights to land and other
natural resources of the rural poor. ";ftp://ftp.fao.org/docrep/fao/010/k0784e/k0784e00.pdf;2006/12;English;Rwanda;Food and Agriculture Organization of the United Nations (FAO);Land Rights;Access to Land & Tenure Security;;"land access; security of tenure (land); poverty; rural community; rural development; sustainable development; land distribution; land tenure systems; land degradation; environment";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 122;/improvingtenuresecurityfortheruralpoor_thumb.png
Women’s Land Rights in Rwanda: How can they be protected and strengthened as the Land Law is implemented;;Jennifer Brown, Justine Uvuza;;Landesa;"In Rwanda, two factors make land a highly important and contested issue. First,
Rwanda has the highest person-to-land ratio in Africa. This creates tremendous
pressure on land in a country where most of the population lives in rural areas, and
where agriculture remains the central economic activity. Second, Rwanda is recovering
from massive population shifts caused by decades of ethnic strife and the 1994 civil war
and genocide, which resulted in displaced populations and overlapping land claims.
Due to the high person-to-land ratio, many rural families that depend on land resources
hold plots of sub-optimal size. Concurrently, insufficient land for the landless and for
Rwandans returning from years or decades as refugees abroad is also a problem that the
government has attempted to remedy through the controversial policies of “land
sharing” and grouped settlement, or “villiagisation.” Additionally, there are conflicting
claims to land parcels, which have been created by a series of population displacements
and returns since 1959. ";http://www.landesa.org/wp-content/uploads/2011/01/RDI_123.pdf;2006/09;English;Rwanda;Landesa;Land Rights;Access to Land & Tenure Security;Land & Gender;"gender equity in access to land; women; land inheritance rights; property rights; land policies; land dispute; land administration; land information systems; land tenure systems; security of tenure (land); marital property rights";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 123;/womenslandrightsinrwandahowcantheybeimplemented_thumb.png
Evaluating Impacts of Urban Land Titling: Results and Implications: Preliminary Findings;;Alain Durand-Lasserve;;"Le Centre national de la recherche scientifique, France; Geoffrey Payne and Associates";"This paper contains a preliminary summary of key issues and findings from a desk review of
the literature on land titling projects and programmes in urban and peri-urban areas of
developing countries. It draws on a large number of documents, not all of which have been
incorporated into the review at the time of writing. The present bibliography will be
expanded in the final text of the review which is to be completed by early December 2006. ";http://siteresources.worldbank.org/RPDLPROGRAM/Resources/459596-1161903702549/S7-Durand.pdf;2006/10;English;Rwanda;"Le Centre national de la recherche scientifique, France; Geoffrey Payne and Associates";Land Rights;"Access to Land & Tenure Security; Land Use, Management & Investment";Urban Tenure;"land titling; title deed; land administration; land information systems; urbanization";USAID Rwanda LAND Project;Reports & Research;Rwanda LAND (Research) - 124;/evaluatingimpactsofurbanlandtitling_thumb.png
Conflict in the Great Lakes Region - how is it linked with land and migration;;"Chris Huggins, Herman Musahara, Prisca Mbura Kamungi, Johnstone
Summit Oketch, Koen Vlassenroot";;"Overseas Development Institute; African Centre for Technology Studies";"Africa’s Great Lakes Region has in recent years experienced
political strife, armed conflict and population displacements
with severe humanitarian consequences. While these events
have clearly revolved around political struggles for the control
of the state, recent research has pointed to the significance
of access to renewable natural resources as structural causes
and sustaining factors in struggles for power in the region.
Contested rights to land and natural resources are significant,
particularly in light of land scarcity in many areas and the
frequency of population movements.
Whilst there is a growing literature on the so-called
‘resource curse’ – i.e. the potential for abundant natural
resources to hamper sustainable development (Collier and
Hoeffler, 2001; Le Billon, 2001), this paper belongs to a smaller
literature assessing the role of claims over primarily
agricultural land in fomenting or sustaining conflict. It
summarises the findings of studies led by ACTS in Rwanda
(focusing on the potential contribution of the new land policy
to national stability), in Burundi (in relation to the return of
refugees and the resettlement of internally displaced persons
(IDPs)), and in the Democratic Republic of Congo (DRC)
(the role of land in conflict). Methods included fieldwork in
the three countries, interviews with refugees in Nairobi, and
reviews of secondary sources";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/2352.pdf;2005/03;English;"Rwanda; Burundi; Democratic Republic of the Congo";Overseas Development Institute;Land Rights;Access to Land & Tenure Security;Land Conflicts;"land conflicts; land access; land policies; legal empowerment; land governance; security of tenure (land)";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 125;/conflictgreatlakesregion_thumb.png
Preventing Conflict through Improved Policies on Land Tenure, Natural Resource Rights, and Migration in the Great Lakes Region;;Christopher Huggins;;African Centre for Technology Studies;"Since the early 1990s, parts of Afri-ca’s Great Lakes Region have expe-rienced political strife, armed con-flict and population displacements withsevere humanitarian consequences. De-spite great progress towards sustainablepeace in all the countries of the region,sporadic violence continues in some ar-eas, particularly in the Eastern DemocraticRepublic of Congo (DRC). Conflicts in theGreat Lakes Region are highly interlinked,with political and military alliances, refu-gee movements, and ethnic solidarities ty-ing the fates of the countries of the re-gion. Processes to resolve and pre-emptviolent conflict in all these countries arevital in order to bring regional peace.While violent conflicts in the regionhave clearly revolved around politicalstruggles for the control of the state, gen-erally involving the mobilization of eth-nic identities, recent research has pointedto the significance of environmental vari-ables in triggering and sustaining strug-gles for power in the region. The impor-tance of these variables has recently beentested empirically by the African Centrefor Technology Studies (ACTS) under aproject entitled “Ecological Sources ofConflict in Sub-Saharan Africa”. Researchwas undertaken in Rwanda, Burundi,DRC, Sudan, Somalia and Ethiopia; andpublished in June 2002 in a book entitledScarcity and Surfeit: The Ecology of Afri-ca’s Conflicts. The research revealed theurgent need to incorporate ecologicalconcerns in regional and internationalefforts at conflict prevention, managementand resolution. Chapters of the book areavailable in electronic form on the ACTSpublications webpage, http://www.acts.or.ke/outreach_pubs.htm";https://www.researchgate.net/publication/275952225_PREVENTING_CONFLICT_THROUGH_IMPROVED_POLICIES_ON_LAND_TENURE_NATURAL_RESOURCE_RIGHTS_AND_MIGRATION_IN_THE_GREAT_LAKES_REGION;2004/03;English;"Rwanda; Burundi; Democratic Republic of the Congo; Sudan; Somalia; Ethiopia";African Centre for Technology Studies;Land Rights;Land Policy & Legislation;Land Conflicts;"land conflicts; security of tenure (land);  land access;  land rights; natural resources management;  land policies; land tenure systems";USAID Rwanda LAND Project;Journal Articles & Books;Rwanda LAND (Research) - 126;/preventingconflictthroughimprovedpoliciesonlandtenure_thumb.png
Overview of Rwanda’s Land Policy and Land Law and Key Challenges for Implementation: Briefing Document;;Harold Liversage;;"Rwandan Ministry of Environment and Natural Resources; UK Department for International Development";"The following document provides an overview of the land issues in Rwanda and the new Land
Policy and Land Law and identifies some of the key challenges for implementation, from the
perspective of the DFID appointed Land Policy Specialist to MINITERE. ";http://mokoro.co.uk/wp-content/uploads/overview_rwanda_land_policy_and_law.pdf;2003/02;English;Rwanda;"Ministry of Lands,
Resettlement and
Environment,
Government of Rwanda; UK Department for International Development";Land Rights;Land Policy & Legislation;;"land policies; land law; land registration; cadastres;  land consolidation; land administration; communal land rights";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 127;/overviewofrwandaslandpolicyandlandlaw_thumb.png
"Problématique du Régime foncier au Rwanda.
Contexte et perspectives, relations avec l'habitat
regroupé. ";;Nkusi Juvénal ;;Conseil de concertation des organisations d'appui aux initiatives de Base;"Le retour des réfugiés de 1959, la politique de regroupement de l'habitat adoptée en
1996, la disette qui frappe le pays depuis 1999, la faible pluviosité qui prévaut dans le
pays depuis deux ans après le phénomène el nino, conduisent à une prise de
conscience nouvelle de ce qu'il faut appeler la question foncière, de ses relations
avec la production agricole dans le cadre de l'option de sécurité alimentaire. Les
conditions dans lesquelles la problématique foncière s'est progressivement imposée
dans les analyses et préoccupations des acteurs de développement expliquent sans
doute les tergiversations et les complexités d'approche, les hésitations multiples et
surtout l'absence d'une circonscription précise du problème. Le droit à la terre pour
les réfugiés est inscrit dans la Loi Fondamentale, principalement dans le Protocole
sur le retour des réfugiés; l'Etat a l'obligation de leur trouver et de leur donner des
terrains. Les exigences d'une production agricole sous la forme intensive,
commerciale et spécialisée, la prédominance de la propriété familiale, la fébrilité du
statut juridique de la terre en droit écrit et coutumier rendent encore difficile
l'identification des filières propres à déterminer les voies de solution du problème.
Les analyses faites cherchent à isoler la question foncière du contexte socio-
économique dans lequel il s'inscrit; par la suite les solutions et les propositions
restent cantonnées dans des perspectives étroitement sectorielles et visent à agir sur
les situations foncières, notamment les mécanismes générateurs de ces situations,
symptômes de formes et de niveaux de développement dépendant et de structures
sociales inégalitaires. La complication de ce problème devient de ce fait un indicateur
de pauvreté et sa prise en compte, ajoutée à son intégration dans l'ensemble des
perspectives de développement économique définit sans équivoque la volonté de
modernisation et d'adaptation au contexte global. Longtemps oublié ou ignoré, le
problème foncier est un nœud important d'insertion de l'économie rurale dans
l'ensemble de l'économie nationale monétarisée.'";https://repositories.lib.utexas.edu/bitstream/handle/2152/5932/3185.pdf?sequence=1;2000/05;French;Rwanda;"Conseil de concertation des organisations
d'appui aux initiatives de Base ";Land Rights;Access to Land & Tenure Security;Land Conflicts;"land conflicts; land tenure systems; land policies";USAID Rwanda LAND Project;Policy Papers & Briefs;Rwanda LAND (Research) - 128;/problematiquedueregimefoncieraurwanda_thumb.png
