Title;Authors;Corporate authors;Publishers;Abstract/Description;Link to the publication;Publicaton date (YYYY/MM);Language;Geographical focus;Copyright owner;Rwanda Land Category;Overarching Categories;Themes;Related Concepts;Data provider;Resource types;ID;Thumbnail
Land in Rwanda: Winnowing Out the Chaff ;Alison Des Forges;;Centre d’étude de la région des Grands Lacs d’Afrique;Faced with a serious land crisis, the Rwandan government adopted a new national land law and policy. These measures are part of a long historical process of expansion of state control over property, including land and cows. The Government cites security of tenure as the primary objective of the new policy and law. The rigor and speed of implementation of these measures will vary from one community to another. This paper argues that some feel threatened by the new law and will act as they find necessary to protect their interests.;http://www.ua.ac.be/objs/00151020.pdf;2006/07;English;Rwanda;Centre d’étude de la région des Grands Lacs d’Afrique;Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 42;
A Case Study on  Implications of the Ongoing Land Reform on Sustainable Rural Development and Poverty Reduction in Rwanda;;International Conference on Agrarian Reform and Rural Development;Food and Agriculture Organization of the United Nations (FAO);The paper is a product of a short term consultancy work offered by Food and Agriculture Organization of the United Nations (FAO) for the Ministry of Lands, Environment Forestry, Water and Mines of Rwanda.  The paper focuses on the relationship between land reform, poverty reduction and sustainable development. It is grounded in the current process of implementing a land law and policy in Rwanda. The thrust of the discussion is pillared on a number of interrelated arguments.;http://www.Food and Agriculture Organization of the United Nations (FAO).org/fileadmin/user_upload/kagera/resource/rwanda_land_reform_and_dialogue.pdf;2006/01;English;Rwanda;Food and Agriculture Organization of the United Nations (FAO);Land Use;Land Use, Management & Investment;;land use;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 43;
Land Market Values, Urban Land Policies, and their Impacts in Urban Centers of Rwanda;;INES-Ruhengeri;USAID Rwanda LAND Project;"The main objective of this research is to investigate land market values, urban land policies and their impacts on urban centers in Rwanda. Three (3) specific objectives can be distinguished namely: a) Evaluating the determinants of urban land markets; b) Analysis of trends in urban land markets and values; and c) Assessing impacts of urban land prices and policies.  ";http://www.rwandaland.org/en/partner-products/item/download/77_1ec613e1d9f42fd0fd4aedc06ce29b25;2014/08;English;Rwanda;Chemonics;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 44;
Policy Brief: Land Market Values, Urban Land Policies, and their Impacts in Urban Centers of Rwanda;;INES-Ruhengeri;USAID Rwanda LAND Project;"This policy brief summarizes the main findings and recommendations of qualitative and quantative research on urban land markets in Rwanda. The main objective of this research is to investigate land market values, urban land policies and their impacts on urban centers. Three (3) specific objectives can be distinguished namely: a) Evaluating the determinants of urban land markets; b) Analysis of trends in urban land markets and values; and c) Assessing impacts of urban land prices and policies.  ";http://www.rwandaland.org/en/partner-products/item/download/68_b59576b34820b30f683d5827214fee45;2014/06;English;Rwanda;Chemonics;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 45;
Understanding Informal Urban Land Market Functioning in Peri-urban Areas of Secondary Towns of Rwanda: Case Study of Tumba Sector, Butare Town ;Emmanuel Twarabamenye;;National University of Rwanda;Since mid-1970s, a great number of rural-urban migrants are converging towards Kigali, the capital of Rwanda, and secondary towns, putting strain on land, especially of urban fringes. This is the case of Tumba Sector, a suburb of Butare Town, which attracts many people searching land for various uses. The purpose of  this paper is to analyse the land market process  in Tumba Sector.  Data used in this paper were collected through desk study, survey and from non-structured interview held with the Tumba Land Bureau Officer. Findings revealed land-owned was acquired through informal purchase and land sellers were mainly native people who acquired land through inheritance. Size of land to be sold is frequently fixed unilaterally by the seller. Land demarcation is done with indigenous plants. Land price is negotiable and varies greatly based on the land size and its specific location and is higher than the reference land price. Land right transfer is evidenced by a simple “sale contract”. All informal land purchases are not reported to the Land Bureau though the process is very easy, clear and cheap. Land buyers are primarily local tradespeople, and secondarily civil servants. Great involvement of tradespeople in land purchase and high price suggest that there is land speculation in the area. Though informal land market benefits to the land seller and the buyer, it can be detrimental the client. Informal land market develops as a response to the failure of formal land provision which leads people not to apply to Huye District/Tumba Sector for land provision. Therefore it is important for the District and the Sector be empowered to be land provider and enforce rules and the law governing land, especially in peri-urban areas.;http://www.rwoj.ur.ac.rw/index.php/lifesciences/article/view/60;2012;English;Rwanda;National University of Rwanda;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 46;
The Impact of Land Lease Fee on Landowners: Rwanda Case Study;Eluis Mbemba Mbinda, James Daale, Annie Kairaba;;Rwanda Initiative for Sustainable Development ;The majority of rural Rwandans are dependent on land for their livelihoods. Recognizing the critical nature of land to peace, stability, and economic development, Rwanda began implementing the Land Tenure Regularisation Process (LTRP) in 2008. While the Rwanda government has made highly commendable efforts in implementing the LTRP, some challenges have been faced, including a challenge whereby landowners only came to learn about the requirement of paying land lease at the time of collecting the Ownership Documents. Rwanda Initiative for Sustainable Development  made a decision to launch a quick study that would establish the facts on the ground, by providing evidence based data to policy makers, local leaders and the population through reliable data and public awareness. This study was conducted as an effort to gauge the accuracy and legitimacy of people?s concerns in relation to the impact of land taxation on their livelihood. The main study findings revealed that, most popular concerns are based on lack of proper information for both the population and responsible personnel for land registration.;http://www.Rwanda Initiative for Sustainable Development rwanda.org/IMG/pdf/THE_IMPACT_OF_LAND_LEASE_FEE_ON_LANDOWNERS_.pdf;2012;English;Rwanda;Rwanda Initiative for Sustainable Development ;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 47;
Land Issues in International Human Rights Law;Elizabeth Wickeri, Anil Kalhan;;Institute for Human Rights and Business;"Up to one quarter of the world’s population is estimated to be landless, including 200 million people living in rural areas,1 and approximately 75% of the world’s population living in extreme poverty (less than $1/day) live in rural areas.2 According to the Food and Agriculture Agency of the United Nations (Food and Agriculture Organization of the United Nations (FAO)), “rural landlessness is often the best predictor of poverty and hunger.”3 “While not the only pathway out of poverty, ample evidence suggests that access to land is effective in helping rural households generate higher incomes” through the sale of crops and the money saved when the family feeds itself from the land.4 Yet, even though “land constitutes the main asset from which the rural poor are able to derive a livelihood . . . . [m]illions of families, though they toil on the land, do not enjoy ownership rights over it and are considered landless.”5
The condition of landlessness threatens the enjoyment of a number of fundamental human rights. Access to land is important for development and poverty reduction, but also often necessary for access to numerous economic, social and cultural rights, and as a gateway for many civil and political rights. However, there is no right to land codified in international human rights law.
Land is a cross-cutting issue, and is not simply a resource for one human right in the international legal framework. And yet, while rights have been established in the international legal framework that relate to land access for particular groups (e.g. indigenous people and, to a more limited extent, women), numerous rights are affected by access to land (e.g., housing, food, water, work), and general principles in international law provide protections that relate to access to land (e.g., equality and nondiscrimination in ownership and inheritance), an explicit consideration of the legal implications of access to land for a broad range of human rights is necessary.";http://www.ihrb.org/pdf/Land_Rights_Issues_in_International_HRL.pdf;2012;English;Rwanda;Institute for Human Rights and Business;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 48;
Promoting Social Inclusion in Urban Areas: Policies and Practices;Alain Durand-Lasserve;;Centre National de la Recherche Scientifique, France;"According to recent UN estimates, 924 million people - nearly one out of three urban dwellers – were living in slums in 2004. Of these, 874 million are from low and middle-income countries (Millennium Project, 2005). Urban poverty as a proportion of total poverty is clearly increasing: 43% of the population of developing cities are living in slums (28% in North Africa, 71% in sub-
1
Saharan Africa, 42% in Asia and 32% in Latin America) (Lopez Moreno, 2003 and UN-Habitat, 2003 b). By 2020, this figure is expected to increase to 1.5 to 1.7 billion, depending on estimates. Recent estimates (Cohen, 2004) suggest that about 2.8 billion will need housing and urban services by 2030. The slum population is expected to increase from 32% of the world population in 2001, to about 41% in 2030.
So far, no satisfactory solution for addressing the challenge of slums has been found. Conventional responses are usually based on the combination of three main types of intervention: (i) in situ upgrading in existing informal settlements; (ii) evictions followed by resettlement on serviced sites on the periphery of cities; (iii) the preventive provision of low-cost serviced plots for housing (UN-Habitat, 2003 b). These responses have achieved limited results. Despite some major successes at national level where political will and continuity, economic development and mobilization of resources in sufficient quantities have made possible the implementation at national level of innovative policies for housing the poor (South Africa, Brazil, Tunisia, etc.), scaling up remains a major problem. Most slum policies are simply treating the symptoms and cannot be considered as structural and sustainable policies. The Millennium Development Goal is to achieve a significant improvement in the lives of 100 million slum dwellers by 2020 (Millennium Project, 2005). This target would represent only 6% of the slum population in 2020.";http://n-aerus.net/web/sat/workshops/2005/papers/24.pdf;2005/09;English;Rwanda;Centre National de la Recherche Scientifique, France;Land Market;;;land markets, land investments;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 49;
The Implementation of Rwanda’s Expropriation Law and Outcomes on the Population;;Rwanda Legal Aid Forum;USAID Rwanda LAND Project;"Rwanda is developing at a remarkably rapid pace, and with that development has come a multitude of corresponding changes to the orientation and use of land throughout the country. In light of these changes, law n°18/2007 of 19/04/2007 relating to expropriation in the public interest was adopted to provide clear procedures for the government to follow in the taking of privately-owned land for other uses deemed to be in the public interest. The two major themes of the research are: 1) the implementation of the law from the procedural perspective; and 2) assessing the effects of expropriation law and policy on expropriated households. ";http://www.rwandaland.org/en/partner-products/item/download/143_8564daf299b577b1ada91ff37978ef1d;2015/07;English;Rwanda;Chemonics;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 50;
Policy Brief: The Implementation of Rwanda’s Expropriation Law and Outcomes on the Population;;Rwanda Legal Aid Forum;USAID Rwanda LAND Project;"This Policy Brief summarizes the main findings and recommendations of qualitative and quantative research on implementation and outcomes of the 2007 Expropriation Law in Rwanda. Rwanda is developing at a remarkably rapid pace, and with that development has come a multitude of corresponding changes to the orientation and use of land throughout the country. In light of these changes, law n°18/2007 of 19/04/2007 relating to expropriation in the public interest was adopted to provide clear procedures for the government to follow in the taking of privately-owned land for other uses deemed to be in the public interest. The two major themes of the research are: 1) the implementation of the law from the procedural perspective; and 2) assessing the effects of expropriation law and policy on expropriated households. ";http://www.rwandaland.org/images/pdf/LP-Research/LAF%20Policy%20Brief.pdf;2015;English;Rwanda;Chemonics;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 51;
LAND Project Policy Brief: Implementation of the Expropriation Law in Rwanda ;Mireille Ikirezi, Dr. Fidele Masengo, Anna Knox;;USAID Rwanda LAND Project;"This policy brief aims to inform policy and current practices governing land expropriation in Rwanda drawing on recent research carried out by the LAND Project. The brief elaborates on the legal framework and procedures guiding expropriation and on reported practice based on information gathered from primary and secondary sources. It then proposes measures that would potentially strengthen implementation of expropriation exercises countrywide.
In drafting this policy brief, the authors examined laws and policies governing expropriation, reviewed relevant literature and articles in the media, and interviewed key informant interviews from government institutions and civil society organizations (CSOs). Key informants1 were selected based on their knowledge of and involvement in expropriation issues.
Following this introduction, Section 1 presents legal definitions of expropriation and discusses the history land expropriation in Rwanda, including factors that led to the drafting and promulgation of law and policies that have influenced the practice of expropriation. In Section 2, we elaborate on domestic policies and laws as well as international legal instruments to which Rwanda is signatory that guide how expropriation is implemented. We examine in depth Law no 18/2007 relating to expropriation in the public interest and the different organs involved in expropriation.
In Section 3, we highlight factors driving expropriation in Rwanda and issues emanating from the implementation of expropriation of Rwanda, particularly in urban zones. Drawing on information reported by key informants, the media, and published papers; we examine the practice of expropriation and the outcomes experienced by those who have been expropriated. In the fourth section, we policy and other recommendations based on lessons learned from expropriation exercises in Rwanda and analysis of how they can be improved to facilitate more favorable outcomes.";http://www.rwandaland.org/en/products-for-land/item/125-implementation-of-the-expropriation-law-in-rwanda;2015/05;English;Rwanda;Chemonics;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 52;
Socio Economic Impact of Commercial Exploitation of Rwandan Marshes : A Case Study of Sugar Production in Rural Kigali;Muriel Veldman, Marco Lankhorst  ;;International Land Coalition (ILC);"In 2005 the Government, aiming to encourage more intensive forms of agriculture to supply new markets, passed a land law which brought all marshes and river valleys under State control. In 1997 the State leased 3,100 hectares of land in the Nyacyonga and Nyabarongo marshes outside the capital Kigali to a Ugandan-based enterprise, the Madhvani Group, which also acquired control over the country’s sole sugar mill. Most of the local people who had previously exploited the marshland experienced its takeover by the company as a dispossession. Around 1,100 farmers remain as outgrowers; most cultivate less than one hectare each. Many local people, especially women, have become labourers, working either for Madhvani or for the outgrowers. A small portion of the local population has benefited, but the majority feel impoverished. This study indicates that if a local population is largely dependent on an incoming investor for securing their livelihoods, but they have few enforceable rights to bargain with, the chances that they will benefit from the investment are reduced.";http://www.rcn-ong.be/IMG/pdf/RCN-ILC_Rwanda.pdf;2011;English;Rwanda;International Land Coalition (ILC);Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 53;
Drawing a line under the crisis: Reconciling returnee land access and security in post-conflict Rwanda;John Wu Bruce;;Overseas Development Institute;"This report is part of a broader comparative effort by the Overseas Development Institute’s Humanitarian Policy Group on Land Tenure in Conflict and Post- Conflict Situations, which aims to inform and improve the policy and practice of humanitarian action and to inform related areas of international policy. It seeks to understand how land issues affect and are affected by violence and conflict resolution, what responses are appropriate and what lessons can be learned from specific contexts of land tenure interventions, both during and after conflict.
ODI selected Rwanda for one of the country studies because, as the project document suggests:
The experience of civil strife in Rwanda presents a stark example of the link between access to land and the precipitation of conflict ... It also provides an example of a situation where refugee and IDP resettlement, land claims and land reform were major features of the post- conflict setting.
As the author worked with colleagues in Rwanda, two other important dimensions of the Rwandan experience became clear. Refugee return and land access in Rwanda has been an extraordinarily complex matter, with some refugees leaving just in time for others returning to take up their homes and lands. Rwanda has important lessons to teach us about the need to maintain flexibility in dealing with complexity, and raises questions about whether obviously well-meant but very specific requirements in international conventions can be applied with full rigour in all cases. In addition, the Rwandan experience highlights the fact that conflict and post- conflict are not two ends of a simple spectrum, but overlap. Refugee return and economic reconstruction similarly overlap, and this creates challenges in framing policy and legal responses that address adequately the diverse claims and needs that arise.";https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/4174.pdf;2007/06;English;Rwanda;Overseas Development Institute;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 54;
Returnees Land Access : Lessons from Rwanda;John Wu Bruce;;Overseas Development Institute;This background briefing reports on a study of land access for returnees in Rwanda, and the impacts of land access policies in the post-conflict period. It also seeks to understand better the roles international humanitarian agencies and NGOs have played, and how their performance can be improved. It is not suggested that Rwanda is typical, but rather that the centrality of land issues there has thrown up a revealing set of broader questions.;https://www.odi.org/sites/odi.org.uk/files/odi-assets/publications-opinion-files/4176.pdf;2007/06;English;Rwanda;Overseas Development Institute;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 55;
Promoting Social Inclusion in Urban Areas: Policies and Practices;Alain Durand-Lasserve;;;"According to recent UN estimates, 924 million people - nearly one out of three urban dwellers – were living in slums in 2004. Of these, 874 million are from low and middle-income countries (Millennium Project, 2005). Urban poverty as a proportion of total poverty is clearly increasing: 43% of the population of developing cities are living in slums (28% in North Africa, 71% in sub-
1
Saharan Africa, 42% in Asia and 32% in Latin America) (Lopez Moreno, 2003 and UN-Habitat, 2003 b). By 2020, this figure is expected to increase to 1.5 to 1.7 billion, depending on estimates. Recent estimates (Cohen, 2004) suggest that about 2.8 billion will need housing and urban services by 2030. The slum population is expected to increase from 32% of the world population in 2001, to about 41% in 2030.
So far, no satisfactory solution for addressing the challenge of slums has been found. Conventional responses are usually based on the combination of three main types of intervention: (i) in situ upgrading in existing informal settlements; (ii) evictions followed by resettlement on serviced sites on the periphery of cities; (iii) the preventive provision of low-cost serviced plots for housing (UN-Habitat, 2003 b). These responses have achieved limited results. Despite some major successes at national level where political will and continuity, economic development and mobilization of resources in sufficient quantities have made possible the implementation at national level of innovative policies for housing the poor (South Africa, Brazil, Tunisia, etc.), scaling up remains a major problem. Most slum policies are simply treating the symptoms and cannot be considered as structural and sustainable policies. The Millennium Development Goal is to achieve a significant improvement in the lives of 100 million slum dwellers by 2020 (Millennium Project, 2005). This target would represent only 6% of the slum population in 2020.";http://n-aerus.net/web/sat/workshops/2005/papers/24.pdf;2005/09;English;Rwanda;;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 56;
Kigali Après la Guerre : La Question Foncière et l'Accès au Logement;Marc-Antoine Perouse de Montclos;;l’Institut de Recherche pour le Développement - Centre Population et Développement;War,famine and forced displacements are part of the urbanisation process in s u b - S a h a r a n A f r i c a a s l o n g a s J i g h t i n g s h a p p e n in t h e c o u n t r y s i d e a n d t o w n s o f f e r a safe haven for refugees. Despite the departure of most of its inhabitants when HabyarimanaS governement collapsed in 1994,the capital city of Rwanda was q u i c k l y r e p o p u l a t e d , t h e m a i n d i f f e r e n c eb e i n g t h a t t h e T u t s i a r e n o w i n c h a r g e a n d replaced the previous Hutu elite. In terms of reconciliation and rehabilitation,the issue involves much more than urban reconstruction and reveals strong political commitments. The main risk here is to develop Kigali along ethnic cleavages and socialexclusions.;http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_7/carton07/010021520.pdf;2000/02;Français;Rwanda;l’Institut de Recherche pour le Développement - Centre Population et Développement;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 57;
Emergency and Development: the Case of Imidugudu, Villagisation in Rwanda;Dorothea Hilhorst, Mathijs Van Leeuwen;;Journal of Refugee Studies;To accommodate the needs of hundreds of thousands of returnees after war and fgenocide in 1994, the new Rwandan Government launched a settlement programme, Imidugudu. Since early 1997, this programme has targeted the entire rural population: all scattered households in the country had to be regrouped in villages. What started as a response to an emergency turned into an ambitious but controversial development programme. The programme has been implemented with support from international organizations, including UNHCR and numerous NGOs. This paper shows that an emergency discourse was central in their considerations to give their support. Secondly, it considers local processes of implementation. Two case studies make clear that as of now, little has been achieved of the envisaged interated approach to settlement, land use and livelihoods. Moreover, the authoritative and top-down implementation raises concerns about the political implications of the programme. It raises some pertinent questions about the possibilities and constraints for integrating developement into relief.;http://jrs.oxfordjournals.org/content/13/3/264.short;2000;English;Rwanda;Oxford University Press;Displacement, Resettlement & Restitution;"Access to Land & Tenure Security; Land Policy & Legislation";;displacement, security of tenure (land), eviction, expropriation, compensation;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 58;
Land Scarcity, Distribution and  Conflict in Rwanda;Jean Bigagaza, Carolyne Abong, Cecile Mukarubuga;;African Centre for Technology Studies;This chapter examines the relationship between land scarcity and conflict in Rwanda. Historically, land pressure has been a severe problem in Rwanda, where over 90% of the population practises agriculture. Land pressure has resulted in declining overall agricultural production, but increasing production for individuals and groups with favourable land and resource access. Cultivation is encroaching into wetlands, national parks and forest reserve areas to satisfy unmet demands for land by some, predominately underprivileged, groups. Large numbers of internally displaced persons have worsened stress in some ecologically sensitive areas, such as in forests, resulting in localised degradation of forest resources. ;https://s3.amazonaws.com/Landesa - Rural Development Institute_production/resource/2176/Bigagaza_Chapter2-Scacrity-and-surfeit_2002.pdf?AWSAccessKeyId=AKIAICR3ICC22CMP7DPA&Expires=1471356614&Signature=%2BKhKT8Mq4AhZewpLzE0KkoplJ6U%3D;2004;English;Rwanda;;Land distribution;;;land distribution;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 59;
Problématique du Régime Foncier au Rwanda: Contexte et Perspectives, Relations avec l’Habitat Regroupé;Nkusi Juvénal;;Conseil de concertation des organisations d'appui aux initiatives de Base;"Le retour des réfugiés de 1959, la politique de regroupement de l'habitat adoptée en 1996, la disette qui frappe le pays depuis 1999, la faible pluviosité qui prévaut dans le pays depuis deux ans après le phénomène el nino, conduisent à une prise de conscience nouvelle de ce qu'il faut appeler la question foncière, de ses relations avec la production agricole dans le cadre de l'option de sécurité alimentaire. Les conditions dans lesquelles la problématique foncière s'est progressivement imposée dans les analyses et préoccupations des acteurs de développement expliquent sans doute les tergiversations et les complexités d'approche, les hésitations multiples et surtout l'absence d'une circonscription précise du problème. Le droit à la terre pour les réfugiés est inscrit dans la Loi Fondamentale, principalement dans le Protocole sur le retour des réfugiés; l'Etat a l'obligation de leur trouver et de leur donner des terrains. Les exigences d'une production agricole sous la forme intensive, commerciale et spécialisée, la prédominance de la propriété familiale, la fébrilité du statut juridique de la terre en droit écrit et coutumier rendent encore difficile l'identification des filières propres à déterminer les voies de solution du problème.
Les analyses faites cherchent à isoler la question foncière du contexte socio- économique dans lequel il s'inscrit; par la suite les solutions et les propositions restent cantonnées dans des perspectives étroitement sectorielles et visent à agir sur les situations foncières, notamment les mécanismes générateurs de ces situations, symptômes de formes et de niveaux de développement dépendant et de structures sociales inégalitaires. La complication de ce problème devient de ce fait un indicateur de pauvreté et sa prise en compte, ajoutée à son intégration dans l'ensemble des perspectives de développement économique définit sans équivoque la volonté de modernisation et d'adaptation au contexte global. Longtemps oublié ou ignoré, le problème foncier est un nœud important d'insertion de l'économie rurale dans l'ensemble de l'économie nationale monétarisée.";https://repositories.lib.utexas.edu/bitstream/handle/2152/5932/3185.pdf?sequence=1;2005/05;Français;Rwanda;Conseil de concertation des organisations d'appui aux initiatives de Base;Land distribution;;;land distribution;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 60;
The Urgency of Land and Agrarian Reform in Rwanda;Saskia Van Hoyweghen;;African Affairs;The challenges which lie ahead for post-genocide Rwanda's economic, social and political development are closely related through the issue of land. The pressure from a high rate of population growth, added to the paucity of economic opportunities outside the agricultural sector, is forcing people off the land and into poverty. Society is under extreme stress. Over the last decade the fabric of Rwandan society has been torn, resulting in ethnic and social divisions which culminpted in the events of 1994. Since then, new groups have entered the competition for land. Decisions concerning land and agrarian reform will unavoidably benefit some groups within this fragmented society while disadvantaging others. This article approaches the land problem from two perspectives: first, by situating its socio-economic dimension in a deeper historical context and second, by considering it as a specifically contemporary socio-political problem. The article discusses the latest proposals for land and agrarian reform. While pressure on land has, over time, weakened social bonds, it remains doubtful whether the government has the political strength—in the present unstable national and regional political climate—to carry out the necessary reinforcement of communal bonds which economic development appears to require.;http://africa.wisc.edu/rwandagpa/_documents/articles_development/VANHOYWEGHEN_Urgency-of-land.pdf;1999;English;Rwanda;Oxford University Press;Land distribution;;;land distribution;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 61;
Emergency and Development: the Case of Imidugudu, Villagisation in Rwanda;Dorothea Hilhorst, Mathijs Van Leeuwen;;Journal of Refugee Studies;To accommodate the needs of hundreds of thousands of returnees after war and fgenocide in 1994, the new Rwandan Government launched a settlement programme, Imidugudu. Since early 1997, this programme has targeted the entire rural population: all scattered households in the country had to be regrouped in villages. What started as a response to an emergency turned into an ambitious but controversial development programme. The programme has been implemented with support from international organizations, including UNHCR and numerous NGOs. This paper shows that an emergency discourse was central in their considerations to give their support. Secondly, it considers local processes of implementation. Two case studies make clear that as of now, little has been achieved of the envisaged interated approach to settlement, land use and livelihoods. Moreover, the authoritative and top-down implementation raises concerns about the political implications of the programme. It raises some pertinent questions about the possibilities and constraints for integrating developement into relief.;http://jrs.oxfordjournals.org/content/13/3/264.short;2000;English;Rwanda;Oxford University Press;Land distribution;;;land distribution;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 62;
Land Tenure under Unendurable Stress: Rwanda Caught  in the Malthusian Trap;Catherine André, Jean-Philippe Platteau;;Centre of Research in the Economics of Development;This paper reports the findings of an in-depth case study of a highly densely populated area in the Northwest of Rwanda which has been conducted during the period 1988-1993. It demonstrates that acute competition for land in a context characterized by too slow expansion of non-agricultural income opportunities has resulted in increasingly unequal land distribution and rapid processes of land dispossession through both operation of the (illegal) land market and evolution of indigenous tenure arrangements. It is also shown that pervasive incidence of land disputes and the threat of landlessness have led to rising tensions in social relations and even within the core of family li&, thus paving the way for more and more overt expressions of disharmony and violence. A connection between these ominous conditions and the civil rear that broke out in 1994 is established.;https://repositories.lib.utexas.edu/bitstream/handle/2152/5453/2744.pdf?...1;1996/01;English;Rwanda;Facultés Universitaires Notre-Dame de la Paix;Land distribution;;;land distribution;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 63;
The Impact of Gendered Legal Rights to Land on the Prevalence and Nature of Intra-Household Land Disputes;;Institute of Legal Practice and Development (Rwanda);USAID Rwanda LAND Project;This research investigates the changing landscape of gendered land rights in Rwanda, and examines the impact of the statutory changes introduced by laws governing land, inheritance, succession and matrimonial property passed between 1999 and 2013. In addition to assessing the extent to which gendered, land-related legal provisions are put into practice and rights secured, this research also seeks to understand whether changes introduced to the legal framework gave rise to land disputes, and if so, the types of land disputes provoked and whether they involved gender-based violence.;http://www.rwandaland.org/en/partner-products/item/download/139_e71475ff478947b0054ecd0108bb09c6;2015/09;English;Rwanda;Chemonics;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 64;
Policy Brief: The Impact of Gendered Legal Rights to Land on the Prevalence and Nature of Intra-Household Land Disputes;;Institute of Legal Practice and Development (Rwanda);USAID Rwanda LAND Project;This policy brief summarizes main findings and recommendations from qualitative and quantitative research on the impact of the gendered legal framework on land disputes. This research investigates the changing landscape of gendered land rights in Rwanda, and examines the impact of the statutory changes introduced by laws governing land, inheritance, succession and matrimonial property passed between 1999 and 2013. In addition to assessing the extent to which gendered, land-related legal provisions are put into practice and rights secured, this research also seeks to understand whether changes introduced to the legal framework gave rise to land disputes, and if so, the types of land disputes provoked and whether they involved gender-based violence.;http://www.rwandaland.org/en/partner-products/item/download/132_59833ccaf18f09326140a90ef98181b9;2015/09;English;Rwanda;Chemonics;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 65;
Leave None to Claim the Land: A Malthusian Catastrophe in Rwanda;Marijke Verpoorten;;LICOS Centre for Institutions and Economic Performance;"More than 200 years after its Örst publication, the Malthusian thesis is still much debated, albeit in a modiÖed form. Rather than predicting a global catastrophe, most neo-Malthusians stress the local character of the relationship between population pressure, natural resource scarcity, and conáict as well as its dependency on the socio-political and economic context. This softened version of Malthusíthesis has received little empirical support in cross-country studies. In contrast, a number of sub-national analyses have provided some evidence for local conditional Malthusian catastrophes, although ""catastrophe"" is a big word since these studies have largely focused on low-intensity violence. This article adds to the small body of sub-national studies, but focuses on a high-intensity conáict, the Rwandan genocide. In particular, it provides a meso-level analysis of the relation between population pressure and the intensity of violence measured by the death toll among the Tutsi across 1,294 small administrative units. The results indicate that the death toll was signiÖcantly higher in localities with both high population density and little opportunity for young men to acquire land. On the one hand, this Önding can be interpreted as support for the neo-Malthusian thesis. On the other hand, it is possible that another mechanism played, i.e. in densely populated areas it may have been relatively easy for the elite to mobi- lize the population, because of dependency relations through the land and labor market. Alternatively, in densely populated areas, there may have been more lootable assets, and the violence may have been opportunistic rather than driven by need or by fear.";http://feb.kuleuven.be/drc/licos/publications/dp/dp291.pdf;2011/08;English;Rwanda;LICOS Centre for Institutions and Economic Performance;Land dispute and conflicts;;;land conflicts;USAID Rwanda LAND Project;;Rwanda LAND (Research) - 66;
