ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"bridge:A68999";"Gendered dimensions of land and rural livelihoods: the case of new settler farmer displacement at Nuanetsi Ranch, Mwenezi District, Zimbabwe";"";"The biofuel boom has become a core issue in Zimbabwean land and development debates. Biofuels require large tracts of land for production; and the land acquisition programmes by the various state, non-state actors and individuals have been termed ‘land grabbing’. The increasing global demand for biofuels has different gender specific socio-economic and environmental effects in Zimbabwe. Males and females in the biofuel producing zone may face a differential risk matrix, comprising different issues.

Nuanetsi Ranch had been invaded by villagers from different parts of Mwenezi, Chiredzi and Chivi communal areas since 2000. In February 2010, the government announced that the settlers had to be removed and resettled in other ’uncontested lands’ in the area, compromising their rights to sustainable livelihoods, human development and land acquisition. The perceptions of the men and women residing at Chigwizi has had a bearing on understanding the nature of gendered land and rural livelihoods in the context of biofuel production in Zimbabwe, after fast track land reform.

This study seeks to answer the following key questions:


	How does displacement due to the large-scale biofuel production at Nuanetsi Ranch affect the land rights and livelihoods of the men and women settlers who have been resident on the land since 2000?
	What are the perceptions of the men and women with regards to their displacement from Chigwizi village?
	What role have the district land committee, the provincial land committees, and other institutions involved in land management played in the displacement of the men and women settlers at Nuanetsi ranch?
	Has biofuel production at Nuanetsi led to a shift in policy by the government from smallholder farming back to the pre-fast track land reform phase?
	What has been the role of the ‘new elites’ in biofuel production?


[adapted from source]
 ";"P. Mutopo";"";"Land Deal Politics Initiative";"BRIDGE";"2012-10-01";"en";"land;displacement;land rights;food security;agriculture";"Land Conflicts;Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"ZWE";"";"https://www.bridge.ids.ac.uk/ids-document/A68999";"http://dspace.africaportal.org/jspui/bitstream/123456789/34278/1/LDPI08Mutupo_0.pdf?1";"";"";"";"";"Food security;Sustainable livelihoods;Natural resources and the environment;Poverty and quality of life;Land rights;Human rights and social movements;Agriculture"
"bridge:A19926";"Human rights, formalisation and women’s land rights in southern and eastern Africa";"";"How can the abstract principles of the human rights-based approach (HRBA) be translated into practical strategies to improve women's ownership and access to land? In Tanzania, Mozambique, South Africa, Zimbabwe, and Kenya, despite changes in national law and policy aiming to improve women's land tenure, none of the land reforms meet human rights standards. This is because legal regulation of land blurs with customary laws mostly relating to land transactions and family, marriage or inheritance. The mix of both systems often has a detrimental impact on women's ability to claim their land rights. HRBA is useful because it helps to standardise laws and put into place mechanisms that protect women from direct and indirect discrimination. Recommendations of the report include: the need for a gender impact assessment on any land reform process, measures to educate and inform women of their rights, and legal institutions to support women when their land rights have been violated. ";"I. Ikdahl
A. Hellum
R. Kaarhus
T. Benjaminsen
P. Kameri-Mbote";"";"Institute of Women's Law, University of Oslo";"BRIDGE";"2005-01-01";"en";"land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"018;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A19926";"http://www.jus.uio.no/ior/kvretten/kvrett_skriftserien/dokumenter/noradrapport.pdf";"";"";"";"";"Land rights;Human rights and social movements"
"bridge:A72090";"Website: Right to Food Campaign";"";"The new India’s Right to Food Campaign website was launched in March 2014 at the campaign’s fifth convention. It is an action-oriented website, with lots of action-oriented material on the right to food in India including primers, articles, survey reports, court orders, campaign tools and much more As explained in its foundation statement, the right to food campaign is an informal network of individuals and organisations committed to the realisation of the right to food in India. The campaign began in 2001, as an offshoot of public interest litigation in the Supreme Court, and quickly grew into a country-wide movement. The campaign’s shared values and organisational principles are expressed in the collective statement.

These values include:

Addressing the structural roots of hunger such as the deepening agrarian crisis, the continuing neglect of infants and children in public policy, persistent gender discrimination (together with absence of maternity entitlements), the dismantling of the public distribution system, and the disempowerment of Dalits, Adivasis and other disadvantaged groups (including the urban poor).

No coercive displacement to disrupt people's control over natural resources and food in security.

Resisting discrimination and communalism by committing to challenge and resist the growth of anti-democratic tendencies in the country. Our commitment to the right to food is inseparable from our commitment to social justice and democratic values, and implies firm opposition to communalism in any form. Democracy is premised on the fundamental equality of all citizens. Therefore it is incompatible with discrimination based on caste, gender, religion or other attributes. We are committed to putting these concerns at the centre of our work on the right to food.

Universalisation with equity by advocating universal provision of quality basic services and facilities related to nutrition, health and education (particularly the Public Distribution System, the Integrated Child Development Services and the Mid Day Meal Scheme), with priority to disadvantaged groups and special recognition of the rights of young children to nutrition and care.

The Right to Food Campaign is committed to the principles of transparency and accountability in all its activities. This includes open access to campaign documents and full transparency in financial matters.

Adapted from source. ";"";"";"Right to Food Campaign, New Delhi";"BRIDGE";"2015-01-01";"en";"land rights;food security";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"IND";"";"https://www.bridge.ids.ac.uk/ids-document/A72090";"http://www.righttofoodcampaign.in/";"";"";"";"";"Information rights;Food security;Natural resources and the environment;Land rights;Human rights and social movements"
"bridge:A71476";"Gender & Land – Implications for Sustainable Development A working paper for development practitioners";"";"Less than 2% of the land available worldwide is owned by women. Why is the issue of land so gendered? What approaches and lessons learned can development professionals utilise to address the issue of gender and land? Data demonstrates a glaring gender gap in land holdings in all regions of the world. This is regardless of the fact that women produce 60% to 80% of food in developing countries. This working paper highlights critical issues concerning gender and land and provides an overview of the international and regional legal and policy context. It also contains an inside view of Swiss Agency for Development and Cooperation (SDC) good practices relating to challenging gender equality and land. There is still a large gap between international and regional instruments and policies that guarantee equal rights to land and their successful implementation. Women and men need to know their rights, access to justice, good governance and equal participation in decision-making for women and men need to be enhanced and structural obstacles and root causes of gender inequality need to be tackled. Key recommendations from this paper include working with women at the operational level to empower them in their rights and enable their participation in decision-making processes. Approaches involving the whole community are a crucial element for success by means of increasing awareness of gender equality and transforming thinking around traditional gender roles - community leaders, including religious leaders need to be consulted and guided. National law is often more powerful than international law and a solid analysis of land tenure on the national level, including its gendered nature, is a must for any agriculture and/ or rural development project. 
 ";"";"";"Interdisciplinary Centre for Gender Studies";"BRIDGE";"2014-12-01";"en";"development;land;land rights;sustainable development";"Land & Gender;Socio-Economic & Institutional Context";"Access to Land & Tenure Security";"";"";"https://www.bridge.ids.ac.uk/ids-document/A71476";"https://www.eda.admin.ch/content/dam/deza/en/documents/Publikationen/Diverses/Gender-and-Land-Print-Version_E.pdf";"";"";"";"";"Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A72087";"Land Rights and Food Security: the linkages Between Secure Land Rights, Women and Improved Household Security and Nutrition";"";"As governments, the private sector, multilateral institutions, and international development organisations weigh the options for improving food security around the world, they must consider one of the most promising elements for addressing the needs of the world’s hungry and malnourished: secure land rights. Addressing land rights issues—in particular, women’s land rights—in programmes and policies designed to address food security and nutrition through agriculture can deepen the impact of those interventions and lead to improved development outcomes.

This short five page brief concisely sets out the key issues linking secure land rights, women and improved household food security and nutrition.

Adapted from source.

  ";"";"";"Landesa";"BRIDGE";"2012-01-01";"en";"land rights;land;food security;women";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"";"";"https://www.bridge.ids.ac.uk/ids-document/A72087";"http://www.landesa.org/wp-content/uploads/Landesa-Issue-Brief-Land-Rights-and-Food-Security.pdf";"";"";"";"";"Family structures and the household;Food security;Natural resources and the environment;Land rights;Human rights and social movements"
"bridge:A54678";"Women's Right to Land: Voices from Grassroots Movement and Working Women's Alliance from Gujarat";"";"Studies have shown that a key factor associated with rural poverty is access to land. Yet in many parts of India there remains a huge gender gap in land ownership and control - with significant implications for women's economic and social status. This document traces the journey of the Working Group on Women and Land Ownership (WGWLO), a network of 23 non-governmental organisations (NGOs) based in Gujarat, India, which came together in 2003 to bring visibility to the issue of women and agricultural land ownership, and to carry out advocacy initiatives to change aspects in laws and policies of the Government of Gujarat which inhibit women from owning land in their name. This document describes the process which led to WGWLO's emergence and details the strategies they used, including organising workshops at the grassroots level to raise awareness of the issues, conducting research, reaching out to the media, carrying out capacity building and advocacy at the national level - for example advocating for incentives to be incorporated into government schemes so that men are motivated to transfer land in the name of women from their household - and trying to integrate the issue of women's land ownership within ongoing NGO programmes. ";"M. Velayudhan";"";"BRIDGE";"BRIDGE";"2008-03-01";"en";"land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"IND;143;034";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54678";"http://www.bridge.ids.ac.uk/docs/womens_right_to_land_voices_from_grassroots_movement_and_working_womens_alliance_in_gujarat_080825091748.pdf";"";"";"";"";"Sustainable livelihoods;Allocation of resources;Workers rights;Housing;Human rights and social movements;Infrastructure and services;Land rights;Poverty and quality of life;Paid work and care work;Agricultural workers;Economic empowerment"
"bridge:A68830";"Women's land rights handbook: Nigeria";"";"Across Africa, land is integral to identity and existence. Access to, and ownership of land for women is often problematic – particularly when laws and culture collide. Land issues, including family property matters, are often determined within entrenched cultural norms, resulting in the application of a hybrid legal interpretation of both customary and national law that leaves many women at a disadvantage. Under the Commonwealth Plan of Action for Gender Equality 2005-2015, the Commonwealth Secretariat has spearheaded efforts to secure women’s rights to land in Africa.

This handbook on women’s land rights in Nigeria draws on both the technical expertise of the Secretariat officials, as well as the local experience of Nigerian government officials, women’s activists, traditional leaders, judges and rural women. It focuses on reconciling customary Nigerian norms with more formal judicial processes, national laws and international and regional human rights standards. The aim of this handbook is to address both policy imperatives and realities on the ground, so as to inform and assist Nigerian women regarding legal procedures relating to land and property rights.  ";"";"";"Commonwealth Secretariat";"BRIDGE";"2013-01-01";"en";"land;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"011;NGA";"";"https://www.bridge.ids.ac.uk/ids-document/A68830";"http://secretariat.thecommonwealth.org/files/253838/FileName/Women'sLandRightsHandbook-Nigeria.pdf";"";"";"";"";"Gender relations and power;Land rights;Human rights and social movements"
"bridge:A52733";"Rewriting Divorce in Egypt: Reclaiming Islam, Legal Activism, and Coalition Politics";"";"Egypt's Personal Status Law (PSL) coalition, made up of activists, lawyers, government officials, NGO leaders, legislators, and scholars, has been lobbying for 15 years for changes to the personal status laws that govern marriage, divorce, child custody, and inheritance. These efforts resulted in the passage in January 2000, of ?The Law on Reorganization of Certain Terms and Procedures of Litigation in Personal Status Matters? (Law No.1, 2000). This legislation was controversial because it improved the rights of women to initiate divorce and established a family fund to provide child support to impoverished families. One of the key challenges for the PSL coalition was to present their position in ways that coincided with Islamic Sharia laws, as opposed to appealing to secular or feminist traditions. This development is important both because of the victory achieved at the policy-making level, and also because it represents a type of coalition politics that allows for the mobilisation of Islamic values as a positive force for feminist social and political change. ";"D. Singerman";"";"";"BRIDGE";"2003-04-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"EGY;145;015";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52733";"";"";"";"";"";"Policy change;Divorce;Gender relations and power;Social protection;Participation and exclusion;Human rights and social movements;Civil society;Economic empowerment;Ageing and older people;Political participation;Gender mainstreaming tools and approaches;Poverty and quality of life;Governance and decision-making structures;Land rights;Marriage;Human rights instruments;Family structures and the household;Allocation of resources;Citizenship;Female-headed households;Poverty alleviation;Democratic processes;Advocacy and advocacy tools"
"bridge:A52819";"International Gender and Trade Network: WTO Fifth Ministerial Meeting, Cancun, Mexico, September 10-14th, 2003 (Position Papers on Four WTO Issues)";"";"The IGTN Advocacy Document for the 5th WTO Ministerial Meeting that was held in Cancun, Mexico in September 2003 focuses on these four issues and identifies critical advocacy positions for each of them. With regard to agriculture, the IGTN asserts that control over agriculture by states rather than the WTO would ensure that small-scale and subsistence farmers have control over farming and food supply; a particularly important concern for women around the world who are those responsible for ensuring household food security and managing family farms. The IGTN calls for agriculture to be taken out of the WTO. Secondly, as social services continue to be privatised in many southern countries, the burden of care work is disproportionately borne by women. They are also forced to pay higher prices to private providers of essential services and also face threats to their employment in the public sector when areas such as health are privatised. IGTN therefore suggests that services that are essential to social reproduction be removed from GATS. The Network calls for the removal of TRIPS from the WTO and for countries' to have the right to protect their biological and agricultural resources and diversity-often the role played by indigenous women who protect this knowledge. Finally, the advocacy document calls for no negotiations on the Singapore issues-which includes investment-and for a critical redefinition of FDI which has encouraged gender biases and exploitation of female labor, especially in EPZs. The document underscores the fundamental position of the IGTN that the scope of the WTO should be reduced to trade specific issues. ";"";"";"";"BRIDGE";"2003-09-01";"en";"land rights;food security";"Land & Gender;Land & Food Security";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52819";"http://www.genderandtrade.net/WTO/cancun.pdf";"";"";"";"";"Policy change;Sustainable livelihoods;Economy and finance;Gender relations and power;Social protection;Infrastructure and services;Food security;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Economic empowerment;Labour standards;Income distribution;Trade and industry;Workers rights;Gender mainstreaming tools and approaches;Social responsibility;Advocacy and advocacy tools;Governance and decision-making structures;Land rights;Human rights instruments;Macro-economics;Family structures and the household;Allocation of resources;Female-headed households;Gender budgets;Poverty alleviation;The private sector;Aid effectiveness;Democratic processes;Agricultural workers;Poverty and quality of life;Paid work and care work;Natural resources and the environment;Social movements"
"bridge:A52735";"International Feminism and the Women's Movement in Egypt, 1904-1923 A Reappraisal of Categories and Legacies";"";"How have Egyptian feminists promoted women's rights? This paper looks at the Egyptian Feminist Union (EFU) in the fight for women's right to vote in Egypt in the early twentieth century. The EFU had much in common with the international women's movement then mobilising around women's right to vote. The IWSA represented the basis for an 'international sisterhood', where the EFU's goals were in line with other feminist organisations that came together under the IWSA. Indeed, there were many similarities in the demands of Western and Eastern women, as expressed through their national associations. Nevertheless, the EFU's involvement in the International Women's Suffrage Alliance (IWSA) was criticised from within Egypt as representing a 'westernisation' of Egyptian women. The accusation of 'westernisation' misrepresents the convergence of interests between Eastern and Western women. Women's rights concerns, particularly around suffrage, were in fact being shaped by similar political, economic and social changes the world over. ";"M. A. Fay";"";"";"BRIDGE";"2003-04-01";"en";"land rights;women";"Land & Gender";"Access to Land & Tenure Security";"EGY;145;015";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52735";"http://www.mediterraneas.org/IMG/pdf/International.pdf";"";"";"";"";"Cultural diversity;Policy change;Gender relations and power;Diversity and difference;Participation and exclusion;Human rights and social movements;Information rights;Civil society;Labour standards;Literacy;Gender mainstreaming tools and approaches;Advocacy and advocacy tools;Human rights instruments;Land rights;Governance and decision-making structures;Family structures and the household;Citizenship;Female-headed households;Education and learning;Democratic processes;Life skills;Paid work and care work"
"bridge:A52712";"The Gender Dimensions of Poverty in Egypt";"";"Does poverty in Egypt have a woman's face? Is female poverty linked to their conditions in the labour market or levels of education? Are women particularly at risk in poor households? This report addresses the gender dimensions of poverty using the recent Household Expenditure, Income and Consumption Survey of 1999/2000 for Egypt. Poverty measures of males and females were found to be significantly different, in both urban and rural areas, where higher levels are observed among females than males. Poverty is more prevalent in Upper Egypt, where poverty measures are twice as large as the national level. The poor, both men and women, are often uneducated, unemployed, working in the private sector, and account for the highest percentage of child labour. The report finds that female-headed households account for between 16 and 22 per cent of total households, with many of these women dependent on income transfers, either from relatives and neighbours, or from mosques to assist with basic needs for themselves and their families. Other findings include the following: the probability of being poor increases for those working in agriculture or services; and poverty rises where illiteracy rates are higher. ";"H. El-laithy";"";"";"BRIDGE";"2001-01-01";"en;ar";"poverty;land rights;agriculture;rural development";"Land & Gender";"Access to Land & Tenure Security";"EGY;145;015";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52712";"http://www.erf.org.eg/cms.php?id=publication_details&publication_id=250";"";"";"";"";"Cultural diversity;Policy change;Income distribution;Gender relations and power;Diversity and difference;Infrastructure and services;Human rights and social movements;Economic empowerment;Economy and finance;Ageing and older people;Rural development;Governance and decision-making structures;Land rights;Marriage;Family structures and the household;Financial policy;Female-headed households;Gender budgets;Poverty alleviation;Agriculture;Aid effectiveness;Democratic processes;Poverty and quality of life;Natural resources and the environment"
"bridge:A52734";"CEDAW Combined Fourth and Fifth Periodic Reports of States Parties: Egypt";"";"This submission by the government of Egypt to the Committee on the Elimination of Discrimination Against Women (CEDAW) combines the fourth and fifth periodic reports, covering the period 1994 to 1998. It highlights the important role women have played in the country's development processes. The women's movement in Egypt has received widespread support and encouragement from governmental and non-governmental actors alike. Progress in areas relating to the implementation of the Convention on the Elimination of Discrimination Against Women (CEDAW) in this period include a reduction in female illiteracy and rising rates of female enrolment in compulsory education; the establishment of the National Council for Women to promote the advancement of women; an increase in the number of non-governmental organisations working in family planning, rural women's issues, childcare, care of the elderly and health services for women; and an increase in the number of women in leadership positions in all sectors. Egypt's commitment to enforcing human rights law, particularly those related to the equality of women and men, is repeatedly emphasised, as is Egypt's continued support for the non-governmental sector. ";"";"";"United Nations";"BRIDGE";"2000-03-01";"en";"CEDAW;land rights";"Land & Gender";"Land Policy & Legislation;Access to Land & Tenure Security";"EGY;145;015";"Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52734";"http://www.un.org/womenwatch/daw/cedaw/cedaw24/cedawcegy45.pdf";"";"";"";"";"Cultural diversity;Policy change;Economy and finance;Gender relations and power;Social protection;Violence against women;Participation and exclusion;Human rights and social movements;Civil society;Economic empowerment;Labour standards;Ageing and older people;Life skills;Political participation;Diversity and difference;Gender mainstreaming tools and approaches;Poverty and quality of life;Governance and decision-making structures;Land rights;Marriage;Human rights instruments;Family structures and the household;Allocation of resources;Citizenship;Female-headed households;Gender budgets;Poverty alleviation;Education and learning;Aid effectiveness;Democratic processes;Advocacy and advocacy tools;Gender-based violence;Paid work and care work;Social movements"
"bridge:A54572";"To Have and to Hold: Women's Property and Inheritance Rights in the Context of HIV/AIDS in Sub-Saharan Africa";"";"What are the links between HIV/AIDS and women's property rights in Sub-Saharan Africa (SSA)? This paper asks if women's lack of rights increases household poverty and their own vulnerability to infection, and if securing these rights can reduce the impacts of the epidemic on poverty. The paper notes that gender inequality in land ownership is common in SSA, due to male preference in inheritance, male bias in state programmes of land distribution, and gender inequality in the land market. It argues that the HIV/AIDS epidemic is increasing these inequalities: for example many HIV/AIDS widows have lost their property in disputes with members of their deceased spouse's extended family. Evidence shows that, in cases where women's property and inheritance rights are upheld, women acting as heads and/or primary caregivers of HIV/AIDS- affected households are better able to avoid the negative economic and social consequences of HIV/AIDS, largely because property provides some security and empowerment. The paper calls for the implementation of laws that protect women's land and property rights, whether statutory or customary; improved access to legal mechanisms when women's rights to property are undermined; and public education campaigns that challenge male-biased social norms around property and inheritance. ";"R. Strickland";"";"International Center for Research on Women, USA";"BRIDGE";"2004-01-01";"en";"property;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"KEN;014;018;ZMB;LSO;MWI;NAM";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54572";"http://www.oxfam.org.uk/what_we_do/issues/livelihoods/landrights/downloads/womens_property_insurance_rights_in_hiv_context_ssa.pdf";"";"";"";"";"Health and well-being;Land rights;HIV/AIDS;Human rights and social movements"
"bridge:A53733";"The Domestic Relations Bill in Uganda: Addressing Polygamy, Bride Price, Cohabitation, Marital Rape, and Female Genital Mutilation";"";"The Domestic Relations Bill is a crucial piece of legislation for Ugandan women. It addresses women's property rights in marriage and women's right to negotiate sex, it sets the minimum age of marriage at eighteen, prohibits female genital mutilation (FGM) and criminalises widow inheritance. Bride price is still not prohibited, but the payment of bride price will no longer be essential for formalising customary marriages. The bill criminalises marital rape and provides for civil remedies, such as compensation and restricting orders. The Domestic Relations Bill does still not consider cohabitation as de facto marriage, but provides parties in such relationships with certain rights, including the right to register the fact they live together and any monetary or non-monetary contributions made. A competent court may then distribute the property equitably in accordance with those contributions. Polygamy is also strictly regulated by guidelines that provide for the economic support of all wives. The bill also provides for equal sexual rights and establishes more equitable grounds for divorce. This paper also discusses domestic and international law and Islamic Family Law and argues that though the reforms are a step forward, they do not go far enough. ";"V. von Struensee";"";"Prevent Gender Based Violence, Africa";"BRIDGE";"2005-02-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"018;011;UGA;014";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A53733";"http://www.preventgbvafrica.org/Downloads/DRB%5B1%5D.vonstruensee.pdf";"";"";"";"";"Divorce;Land rights;Human rights and social movements;Gender-based violence;Family structures and the household;Domestic violence"
"bridge:A54306";"Women's Status, Rights and Interests in Land Diversion";"";"Previously in China, all land was controlled by the communes. Over the past twenty years, with the break up of the communes, new land tenure arrangements have given greater control over land to individual households. This essay argues that recent transfers in land tenure between households have caused women to lose rights and decision making power over land, as well as possibilities to benefit from land. Men's migration to cities has caused a 'feminisation' of agriculture which fuels a market for tenure transfer. In Zhejiang province, the rights of 156,280 rural women were infringed, among which more than 97,000 lost rights to land tenure, and more than 71,000 retained land tenure but their rights to share the benefits of the land were infringed upon. ";"J. Di
Z. Zhong";"";"";"BRIDGE";"2005-01-01";"en;zh";"land;land diversion;land rights;women";"Land & Gender";"Access to Land & Tenure Security";"009;CHN";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A54306";"http://scholar.ilib.cn/A-QCode~fnyjlc200501003.html";"";"";"";"";"Family structures and the household;Human rights and social movements;Sustainable livelihoods;Land rights;Poverty and quality of life"
"bridge:A52773";"Gender and Citizenship: Supporting Resources Collection";"";"Citizenship is an abstract concept and therefore great care must be taken in explaining what it means in practice and what can effectively be done in the context of development interventions and policy. Development projects which enhance the ability of marginalised groups to access and influence decision-making bodies are implicitly if not explicitly working with concepts of citizenship. Citizenship is about concrete institutions, policy and structures and the ways in which people can shape them using ideas of rights and participation. This Supporting Resources Collection aims to point development policy-makers and practitioners towards key resources to help promote gender equality through rights and participation. The resources show how development projects can understand and acknowledge the roles of men and women - their gendered citizenship - and work for processes of positive change of, and within, these roles. The collection is made up of summaries of key texts, case studies, tools and guidelines and other materials. ";"C. Sever";"";"Institute of Development Studies UK";"BRIDGE";"2004-01-01";"en;fr;es";"land rights;rural development";"Land & Gender";"Access to Land & Tenure Security";"SVN;LIE;151;BGD;SVK;SLV;HRV;CHL;ZWE;DEU;001;013;014;005;018;030;029;034;CHE;143;HUN;AUS;TZA;POL;IND;BRA;CZE";"Training Resources & Tools;Policy Papers & Briefs";"https://www.bridge.ids.ac.uk/ids-document/A52773";"http://www.bridge.ids.ac.uk/reports/Citizenship-SRC.pdf";"";"";"";"";"Cultural diversity;Policy change;Justice;Gender relations and power;Diversity and difference;Violence against women;Infrastructure and services;Participation and exclusion;Human rights and social movements;Information rights;Civil society;Domestic violence;Sex workers;Rural development;Political participation;Indigenous societies;Gender mainstreaming tools and approaches;Workers rights;Voluntary and forced migration;Governance and decision-making structures;Land rights;Human rights instruments;Refugees;Citizenship;Democratic processes;Sexuality;Advocacy and advocacy tools;Gender-based violence;Paid work and care work;Social movements"
"bridge:A52756";"Promoting Gender Equity in the Democratic Process: women's Paths to Political Participation and Decisionmaking";"";"How can women be integrated in processes of democratisation? The participation of women in political and economic processes is essential for democratic governance. The PROWID grants system supported activities such as lobbying and advocacy, skills development and developing institutions to further women's social and economic rights. This report looks at women's participation in political culture, civil society and government institutions. Importantly, it puts participation in the context of shifting gender (and other) roles and identities. It acknowledges that such shifts can allow for women in particular to develop new skills and access new rights. Concepts and definitions of gendered participation are illustrated through examples from PROWID's projects. The report recommends the development of tools and strategies to support policy analysis and build skills through, for example, legal and human rights training, political education for women and support for lobbying. It also illustrates how collective empowerment can be supported through facilitation of networks and bringing different organisations together to exchange ideas. It points out that essential credibility in political arenas can be generated by creating a body of knowledge about women's political participation that might include, among other things, comprehensive gender-disaggregated statistics. ";"P. Ahern
J. Masterson
P. Nuti";"";"Centre for Development and Population Activities ";"BRIDGE";"2000-01-01";"en";"land rights;rural development;women";"Land & Gender";"Access to Land & Tenure Security";"001";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52756";"http://www.icrw.org/docs/GCSLsynthesispaper.pdf";"";"";"";"";"Formal education;Sustainable livelihoods;Economy and finance;Gender training;Gender relations and power;Infrastructure and services;Policy change;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Economic empowerment;Non-formal education;Ageing and older people;Trade and industry;Rural development;Political participation;Literacy;Empowerment;Gender mainstreaming tools and approaches;Social responsibility;Life skills;Education policy;Governance and decision-making structures;Land rights;Human rights instruments;Family structures and the household;Urban development;Financial policy;Citizenship;Female-headed households;Education and learning;Income distribution;Democratic processes;Advocacy and advocacy tools;Poverty and quality of life;Social movements"
"bridge:A52757";"Governing for Equity, Gender, Citizenship and Governance";"";"This publication comes out of the Gender, Citizenship and Governance programme of the Royal Tropical Institute (KIT), Netherlands. The project aimed to develop good practice in changing governance institutions to promote gender equality, enhance citizen participation and build accountability of public administration systems. Action research projects were conducted with 16 women's organisations and non-governmental organisations (NGOs) in eight countries in Southern Africa and South Asia (South Africa, Namibia, Zimbabwe, Zambia, Pakistan, India, Sri Lanka, and Bangladesh). The research projects showed how women's citizenship responsibilities are often unpaid and therefore hidden from economic management systems. This precludes government accountability for the needs of women. Potential avenues such as laws or institutionalisation of citizen participation do not necessarily translate into protection or inclusion of women. The action research projects therefore cover four areas: promoting women in political office; engendering institutions; claiming citizenship; and governing peace. Projects involved training and capacity-building for development practitioners, drawing together good practice and networking/sharing information.The publication begins with a section on global debates, providing a background to the ways in which citizenship can be used in promoting gender equality. It then goes on to the four case study sections as outlined above. The section on claiming citizenship for example includes studies from South Africa on reform of Customary Law, from West Bengal on the rights of sex workers in Bangladesh (see case study in section 5 of the Overview Report in this pack), lobbying and advocacy activities in Zimbabwe, and rights over guardianship of children in Bangladesh (see article from the In Brief bulletin in this pack).The report then presents several conclusions and recommendations which include:•Interventions must start from women's needs.•'Voice' is not enough. Institutional rules and norms and public perceptions must also be influenced thorough contacts with key officials and engaging civil society.•Spaces must be made to talk in terms of citizenship entitlements. Examples of such spaces could be processes of law and constitutional reform or setting up regulation boards that involve both men and women in assessing the impact of development interventions.•Decisions must be pragmatic and must make sense in practice and take into account the variations in feminist/women's demands.•In the struggle for rights, it is important to work in conjunction with states and institutions when campaigning for change. ";"M. Mukhopadhyay (ed)";"";"Royal Tropical Institute ";"BRIDGE";"2003-07-01";"en";"land rights";"Land & Gender";"Access to Land & Tenure Security";"BGD;143;ZMB;ZWE;LKA;ZAF;001;014;018;IND;PAK;NAM;034";"Reports & Research";"https://www.bridge.ids.ac.uk/ids-document/A52757";"http://smartsite.kit.nl/net/KIT_Publicaties_output/ShowFile2.aspx?e=472";"";"";"";"";"Formal education;Economy and finance;Gender relations and power;Infrastructure and services;Policy change;Human rights and social movements;Participation and exclusion;Information rights;Civil society;Globalisation;Economic empowerment;Labour standards;Income distribution;Ageing and older people;Trade and industry;Political participation;Literacy;Gender mainstreaming tools and approaches;Social responsibility;Life skills;Education policy;Governance and decision-making structures;Land rights;Human rights instruments;Macro-economics;Family structures and the household;Urban development;Allocation of resources;Citizenship;Education and learning;Gender training;Democratic processes;Advocacy and advocacy tools;Poverty and quality of life;Paid work and care work;Social movements"
