id,Title,Subtitle,Abstract/Description,Link to the publication,Link to the original website,Publication date,Authors,Corporate authors,Publishers,Data provider,Languages,Resource types,Geographical focus,Related Concepts,Themes,Thumbnail,potential_list
,State of South African Cities Report,2006 Report,"The State of the Cities Report 2006 provides a qualitative and quantitative analysis of South Africa’s largest cities, highlighting the important role played by cities in driving the national economy and improving the lives of South African residents. It raises current debates about cities, provoking urban stakeholders to think in new ways. This report follows on the first State of the Cities Report produced in 2004 (SOCR 2004). State of the Cities 2004 provided the first comprehensive picture of the major economic, social, environmental and governance realities affecting South Africa’s nine largest cities. The State of the Cities Report 2006 (SOCR 2006) builds on the important information and analysis contained in SOCR 2004. While the 2004 edition looked broadly at how cities were confronting the post-apartheid challenge in the ten years since democracy, the 2006 version examines a shorter time period between 2001 and 2006 and therefore has a sharper and more contemporary focus. SOCR 2006 looks at what has been achieved in cities during the first municipal term of office under the new municipal dispensation brought into being by the Local Government White Paper, the Municipal Structures Act and the Municipal Systems Acts. SOCR 2006 provides detailed information and analysis of trends that have affected urban development over the past five years. But it also looks forward at challenges and opportunities likely to be posted in the years ahead. ",http://www.sacities.net/wp-content/uploads/2014/06/state_of_cities_report2006.pdf,https://www.ukesa.info/library/view/state-of-south-african-cities-report3,2006-06-05,"et. al.
Kevin Allen
Palmira Alloggia",,Melinda Silverman,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land governance;land reform;urban areas;land markets,Urban Tenure;Land & Investments,https://www.ukesa.info/images/9bVlHwWCcjng5ROJMaSUIfK8XuyL612h_details/Screen-Shot-2019-06-10-at-11.16.21.jpg,Built environment;Construction;Education;Energy;Finance;Health;Human settlements;ICT;Land;Natural environment;Social facilities;Solid waste;Transport;Water and sanitation
,State of South African Cities Report,2004 Report,"This is the first report to be issued by the SACN on the ‘State of South African Cities’. The report takes a hard look at the forces that have transformed the country’s largest cities over the decade since 1994 and asks, if the current trends continue, whether cities can expect positive or negative things in the years to come. As part of the process of celebrating 10 years of democracy, the Office of the President has led a ‘Ten Year Review’ to assess what has been achieved over the last decade, and to define the strategic challenges for the future. Substantial preliminary research and thinking was released in October 2003 in the publication Towards a Ten Year Review.",http://www.sacities.net/wp-content/uploads/2018/01/SOCR_2004.pdf,https://www.ukesa.info/library/view/state-of-south-african-cities-report4,2004-06-07,"Kevin Allan
Kirsten Harrison",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;research,Urban Tenure,https://www.ukesa.info/images/PSdDIG9veyU0sM38hnk7L4lrtiF2uOWj_details/Screen-Shot-2019-06-10-at-11.18.55.png,Built environment;Construction;Education;Energy;Finance;Health;Human settlements;ICT;Land;Natural environment;Social facilities;Solid waste;Transport;Water and sanitation
,State of the Cities Report 2011 - Towards resilient cities,A reflection on the first decade of a democratic and transformed local government in South Africa,"South African cities are under the national and international spotlight again. Community protests over service delivery, disputes about councillor selection, mismanagement and underspending of municipal budgets, and recurrent billing problems have attracted growing public concern. Yet cities have also been fêted for rekindling a spirit of national unity during 2010, delivering world-class transport schemes and leading the economy out of recession. This is part of a bigger conundrum: that cities can be crucibles of enormous creativity and economic dynamism, and also sites of deep social divide, poverty and disadvantage. Looking ahead, cities are critical to the achievement of national environmental objectives, such as reducing greenhouse gas emissions and conserving resources, and city governments will need to raise their game if they are to tackle the complex challenges of economic transformation, social division and climate change. The purpose of the State of the Cities Report 2011 is threefold. Firstly, the report assesses the progress made by South African cities over the last decade in relation to key development outcomes. The central question is whether developmental metropolitan government has had the desired effect in improving socio-economic and environmental conditions, both in absolute terms and relative to the rest of the country. Secondly, the report reviews strategic problems and opportunities facing the cities. It is important to put key urban issues on the agendas of national and provincial government, the business sector, and civil society that may not previously have attracted the attention they deserve. Thirdly, the report communicates essential messages about the planning, development and management of cities to a new generation of civic leaders and officials taking office after the 2011 municipal elections. ",http://www.sacities.net/wp-content/uploads/2018/01/SACN 2011 Report.pdf,https://www.ukesa.info/library/view/state-of-south-african-cities-report2,2011-08-01,"Blake Robinson
Mark Swilling
Philip van Ryneveld
Prof. Ivan Turok
Roland Hunter",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;land governance;corruption;environment;climate change;land use planning;sustainable land use;land management,"Urban Tenure;Land, Climate Change & Environment",https://www.ukesa.info/images/AxFw3RHKyJts2WMYka0C7gOElf4ZX9rS_details/Screen-Shot-2019-06-10-at-11.07.35.png,Finance;Land;Natural environment;Social facilities
,Strategies to help poor people access urban land markets,,This case study draws on research that examines ,https://www.ukesa.info/download/ITqkaGvKRY2UPVW9hHcOy7uoBMlm6dri/ULM_2011_Strategies_to_help_poor_aceess_ULMs.pdf,https://www.ukesa.info/library/view/strategies-to-help-poor-people,2011-01-01,"Alistair Clacherty
Mark Napier",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;land markets;urban areas;urban population;poverty,Land & Investments;Urban Tenure,https://www.ukesa.info/images/PMEQXe8JOdZwqkIybFBopCTWYG91mA3c_details/ULM_2011_Strategies_cover.png,Built environment;Land
,Taking stock: The development of retail centres in emerging economy areas,,"The last decade has seen a significant increase in the number of retail centres being developed in 'emerging economy' areas - townships and rural areas - in South Africa. In Soweto, for example, at least six shopping centres have opened their doors since 2005. Even in the townships of smaller South African cities, shopping centre developments have sprung up, changing the face of commercial transactions for many residing in these areas.",https://www.ukesa.info/download/tRYMzesuImTCBvQiNgkpn8J1Sco0AUV3/ULM_2011_retail_in_townships_booklet.pdf,https://www.ukesa.info/library/view/taking-stock,2011-07-01,"Demacon Market Studies
Lucille Gavera
Rob McGaffin",,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,area;development;land;slums;urban population,Urban Tenure,https://www.ukesa.info/images/Rs3iU0pXcHfoM1KxDOjQlPnJm2g9zEYC_details/ULM_2011_retail_in_townships_cover_squ.jpg,Built environment;Construction;Human settlements;Land
,The financing of city services in Southern Africa,,"This case study draws on research that investigated the financial sustainability of cities in the Southern African region. The research was undertaken by the South African Cities Network (SACN). The project was jointly sponsored by the Public Private Infrastructure Advisory Facility and the World Bank. The contribution by SACN of the material for this document is gratefully acknowledged. The learning material presents an outline of the many challenges of financial sustainability and effective service delivery facing Southern African cities. It comments on issues such as rapidly growing populations of mostly poor people who do not form part of local revenues, of limited city authority and human resource capacity. Importantly it points to limited effort made by many cities to bring in more revenue and highlights this as a significant opportunity for improving city finances.",https://www.ukesa.info/download/2QNeth7w46yR1WJYdMpsInBfzaAPF9TL/ULM_2013_financing_of_city_services_in_southern_africa.pdf,https://www.ukesa.info/library/view/the-financing-of-city-services,2013-01-01,Roland Hunter,,,Urban Knowledge Exchange,en,Training Resources & Tools,Zambia;Tanzania;South Africa;Namibia;Mozambique;Mauritius;Malawi;Botswana,land;land markets;poverty;urban areas;research;sustainable development,Land & Investments;Socio-Economic & Institutional Context;Urban Tenure,https://www.ukesa.info/images/GTxtU5eR26wnI8oENgF4vXDiA371mJZy_details/ULM_2013_financing_of_city_services_in_southern_africa_cover.png,Built environment;Human settlements;Land
,The People's Guide to the State of South African Cities,Supplementary guide to The State of Cities Report 2016,"Cities are about people, first and foremost. In addition, as the national integrated urban development framework states, South African cities should be safe, liveable socially integrated, economically inclusive and globally competitive, with an active citizenry. The 2016 State of Cities Report (SoCR) makes an important call to action for all segments of society, from communities and neighbourhoods to cities, from cities to the nation and from the nation to the global, to support the inclusive growth and development of South African cities.",http://www.sacities.net/wp-content/uploads/2016/SOCR/SoCR16-Peoples-Guide-web.pdf,https://www.ukesa.info/library/view/the-peoples-guide-socr-2016,2016-09-01,Angel Bolosha,,Write to the Point,Urban Knowledge Exchange,en,Manuals & Guidelines,South Africa,land;urban population;urban areas;urban planning,Urban Tenure,https://www.ukesa.info/images/xsBKR9oPqVb8I6ThnfMDkQilEzdLJ0N2_details/Screen-Shot-2019-06-07-at-12.14.29.png,Built environment;Construction;Education;Energy;Finance;Health;Human settlements;ICT;Land;Natural environment;Social facilities;Solid waste;Transport;Water and sanitation
,The State of the Expanded Public Works Programme in South African Cities,Annual Report for 2017-2018,"The South African Cities Network (SACN) EPWP Reference Group is a peer-based platform, comprising key city officials responsible for implementing the EPWP in their respective cities. This collective has continued to meet quarterly over the 2017/18 period, providing a forum in which experiences and knowledge are exchanged. The Reference Group continues to contribute to enhancing coordination between the cities and other role players towards the effective and synergistic implementation of the EPWP. This forum allows for continuous and consistent generation of knowledge and sharing of information, experiences and lessons learnt. As the SACN continues to facilitate the generation of knowledge and the sharing of information through the EPWP Reference Group, the key objective is to ensure that all stakeholders will continue to value these annual reports and the lessons highlighted therein. The aim is for the knowledge generated to contribute significantly to enhancing job creation in South Africa, through information, reflection and important learnings based upon the implementation of the EPWP – widely recognised as a flagship public employment programme. The experiences shared through this peer-based platform of cities are encapsulated in the annual report. The aim of this report is therefore to highlight the progress and implementation of the EPWP by the cities in the 2017/18 year of Phase III of the EPWP. The main body of the report provides an overview of EPWP Phase III targets, the institutional arrangements that are in place, and the continuing challenges faced during implementation. This is followed by individual city reports (Annexure I), in which the focus is on progress made as well as the key obstacles and successes in implementing the EPWP. The final part of the report, Annexure-II, describes some best practice case studies in selected member cities that have been documented by the EPWP Reference Group (RG), in an effort to support shared learning from experience.",http://www.sacities.net/the-state-of-the-expanded-public-works-programme-annual-report-2017-2018,https://www.ukesa.info/library/view/the-state-of-the-expanded-public-works-programme-in-south-african-cities,2019-06-06,"Dr. Geci Karuri-Sebina
Ignatius Ariyo
Nomfundo Faith Dlamini",,Dave Buchanan,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land governance;local community;advocacy;sustainable development,Land Stakeholders & Institutions;Socio-Economic & Institutional Context,https://www.ukesa.info/images/tbZRQcrJIS8sAO7W2BEuCjlU0piFXfyk_details/Screen-Shot-2019-06-07-at-15.45.33.png,Built environment;Construction;Human settlements;Land;Natural environment;Transport;Water and sanitation
,The struggle for property ownership in New Crossroads,The 'tandpayn' that won't go away,"This document, written by Josette Cole of the Mandlovu Development Trust, explores the intended and unintended consequences of home ownership for poor citizens living in formal settlements in post-apartheid South Africa. It focuses on New Crossroads in Cape Town, a relatively small, urban community of 20 000 people.",https://www.ukesa.info/download/KEzLPispQDYcoZRM730C19nOqIl6TxkU/ULM_2010_Crossroads2.pdf,https://www.ukesa.info/library/view/the-struggle-for-property-ownership-in-new-crossroads2,2010-06-01,Josette Cole,,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;property;poverty;informal settlements;land reform;urban population;local community,Urban Tenure;Land Stakeholders & Institutions,https://www.ukesa.info/images/cwogDKfW4aB3pCmRLIth2kYEiXFGMjbe_details/ULM_2010_Crossroads_cover.jpg,Built environment;Human settlements;Land
,The Urban Land Paper Series - Volume 2,A Transit-Oriented Development Lens,"The papers in this volume take a city perspective and provide both a critical reflection of and a pragmatic response to what cities are able to do given their current mandate and powers. The first paper begins by considering what the TOD agenda means for the urban poor. It questions whether TOD can adequately address the existing land challenges in South African cities, given the politics of land inequality and the skewed property markets. The next paper explores land ownership patterns along one of the TOD corridors in Johannesburg to understand how land ownership could potentially shape development and spatial transformation. What emerges is an interesting perspective that highlights how, compared to the private sector, the public sector has probably not been an effective player in the land game of extracting value. ",http://www.sacities.net/wp-content/uploads/2017/10/The Urban Land Paper Series Vol 2.pdf,https://www.ukesa.info/library/view/the-urban-land-paper-series-volume-2,2018-08-01,"Geoffrey Bickford
Joan Stott
Joanna Ryan
Matthew Townsend
Nomalanga Mkhize",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;capacity building;land management;land governance;land ownership;urban planning;urban population,Urban Tenure,https://www.ukesa.info/images/eQFiEI52oxq3Au6lPSyCNzjdBtbrKaf9_details/Screen-Shot-2019-06-11-at-09.04.47.png,Human settlements;Land
,Towards managed land settlement,A review of five South African case studies,"Recognising that the Managed Land Settlement (MLS) approach is not new to the South African housing and service delivery environment, the purpose of this report is to explore the lessons that can be learnt from programmes and projects which have adopted an MLS-like approach to greenfields development. The report contains five case studies from across South Africa, focusing on programmes that have been successfully implemented over the past 15 years. With funding from Urban LandMark, the report was commissioned by ",https://www.ukesa.info/download/KreJT2tjV3Ns6v4moYCl7EPbuf8iQBpn/Afesis-Corplan_2010_Towards_managed_land_settlement_report.pdf,https://www.ukesa.info/library/view/toward-managed-land-settlement,2010-04-01,"Afesis-corplan
NPM Geomatics",,,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;land management;housing rights;urban population;land reform,Urban Tenure,https://www.ukesa.info/images/lrDkRT2bv1dQos5EA9gGHYJi7OSnh0NL_details/Afesis_Corplan_2010_cover.JPG,Human settlements;Land
,Urban Innovations,Researching and documenting innovative responses to urban pressures,"This publication provides an overview of the theory and practice of urban innovation together with perspectives, trends and international experiences in this area. The publication seeks to stimulate debate and creative thinking around different approaches to dealing with every day urban challenges by presenting a collection of potetnially replicable local and international case studies.",https://www.ukesa.info/download/k2LibUftGWqw85NSzFv0V9dmZM3RKeYP/DPME_2018_Part_1_Intro.pdf,https://www.ukesa.info/library/view/urban-innovations,2018-11-01,"Adone Kitching
Azra Rajab
Bronwyn Kotzen
Chido Muzondo
Geci Karuri-Sebina
Jerome Kaplan
Joanna Glanville
Julia Letang
Marijana Novak
Nonjabulo Zondi
Samuel Suttner
Thembani Mkhize
Tsepang Leuta",,Margot Rubin;Philip Harrison,Urban Knowledge Exchange,en,Journal Articles & Books,United States of America;United Kingdom;South Africa;Kenya,land;urban areas;research,Urban Tenure,https://www.ukesa.info/images/b84PeJrf9hHkRnDXIm7zw6lOuGCdKQ1a_details/DPME_2018_cover.JPG,Built environment;Human settlements;Land;Social facilities;Solid waste;Transport;Water and sanitation
,Urban land biographies,A study of co-existing land use management practices,This report by Colin Marx and Margot Rubin explores how urban land is divided and re-divided within the context of the interaction between formal and informal land use management systems.,https://www.ukesa.info/download/Mju7ENQgTZrIn34vhzSaG8YpVF9XDURP/ULM_2008_urban_land_biographies_booklet.pdf,https://www.ukesa.info/library/view/urban-land-biographies2,2008-08-01,"Colin Marx
Margot Rubin",,Urban LandMark,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;statutory tenure;informal property;urban areas;legal pluralism;urban population;security of tenure (land),Urban Tenure,https://www.ukesa.info/images/LhEA5SIaPsGfyFdXojWmvBJnwxzC0tcT_details/ULM_2008_urban_land_biographies_cover_sq.jpg,Built environment;Human settlements;Land
,Urban land development in practice,Developers and municipalities share experiences,"This case study draws on research that sought to understand the process of urban land development in practice, from the perspectives of developers and municipalities. The research was undertaken by the Department of Town and Regional Planning, University of Pretoria, commissioned by Urban LandMark. The resource includes some learning and reflection activities based on the case study. These activities can be done individually or in groups, as appropriate for the learning session. The document presents three different examples of land development projects, and the final component outlines some of the key findings and recommendations from ",https://www.ukesa.info/download/75dfRieyLuqNtTvBQGCMWU6Ixrkz4l0a/ULM_2010_urban_land_development_in_practice.pdf,https://www.ukesa.info/library/view/urban-land-development-in-practice,2010-01-01,"Alistair Clacherty
Jaques du Toit
Karina Landman
Mark Oranje",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,development;land;land use;urban areas;research;land governance;local community,Urban Tenure;Land Stakeholders & Institutions,https://www.ukesa.info/images/R8zg5jSxsNhtGMJ6bPe3Ok9U0WQiYHTc_details/ULM_2010_urban_land_developement_in_practice_cover.png,Construction;Human settlements;Land
,Urban Land Dialogue Series 2018,Knowledge constructed in dialogue,"In March 2018, The South African Cities Network (SACN) hosted its second Urban Land Dialogues Series in the provinces of Gauteng, Eastern Cape and Western Cape. The dialogues took place during a week when land was receiving widespread attention, as all eyes were on the Gordon Institute of Business Science in Illovo where the President had convened a Summit to discuss details of agrarian land expropriation without compensation policy,Under the overarching theme of inclusive urban land transformation, the aim of these dialogues was to build better shared understandings of the many issues that underpin urban land relationships and, in so doing, develop and progress ideas for transforming South African cities. Urban areas are where inequality is most pronounced and economic activities are most concentrated. Cities are also where most disposition and injustice occurred – 82% of the land claims were in urban areas, but few were successfully resolved. ",http://www.sacities.net/wp-content/uploads/2018/06/SACN Urban Land Dialogues Report WEB.pdf,https://www.ukesa.info/library/view/urban-land-dialogue-series-2018,2018-06-04,"Angelo Fick
Deon Van Zyl
Maxine Bezuidenhout
Mischa Balloi
Namso Baliso
Nomalanga Mkhize
Pedro Mzilane",,Write to the point,Urban Knowledge Exchange,en,Conference Papers & Reports,South Africa,land;urban areas;research;expropriation;compensation;land policies;land law;land reform;land conflicts;informal property,Land Conflicts;Urban Tenure;Land in Post-Conflict Settings,https://www.ukesa.info/images/3Hjrvi85shxl0J9kNPYdFemb6zSRKOoL_details/Screen-Shot-2019-06-07-at-14.11.03.png,Land
,Urban land markets in East Africa,,"This case study draws on an analysis of urban land markets in the East African region. The research was undertaken by Paul Syagga, School of the Built Environment, University of Nairobi, and commissioned by Urban LandMark. Some learning and reflection activities based on the case study are provided. The next part of the document presents examples of how people access, trade and hold land in various East African cities. The final component of this document includes a summary of the key issues covered in the case study and recommendations arising from it.",https://www.ukesa.info/download/jX3W1q68SkuhyH2loRY5UbIxDiN7Mv0t/ULM_2011_Urban_land_markets_east_africa.pdf,https://www.ukesa.info/library/view/urban-land-markets-in-east-africa,2011-01-01,"Alistair Clacherty
Paul Syagga",,Urban LandMark,Urban Knowledge Exchange,en,Training Resources & Tools,Uganda;Tanzania;Kenya;Ethiopia,land;land markets;urban areas;urban population;land access,Land & Investments;Urban Tenure,https://www.ukesa.info/images/SHpZ1JG6Wtvy5O8uwb72hUKVDQEYACf3_details/ULM_2011_Urban_land_markets_east_africa_cover.png,Human settlements;Land
,Urban land markets in Southern African cities,,"This case study draws on a regional study of urban land markets in southern Africa. The research was undertaken by Resetselemang Leduka of the National University of Lesotho, and commissioned by Urban LandMark and UN-HABITAT. ",https://www.ukesa.info/download/bUz9mwov2fXKnMrCEgH3OqhGPQpuFa5Z/ULM_2011_Urban_land_markets_in_southern_african_cities.pdf,https://www.ukesa.info/library/view/urban-land-markets-in-southern-african-cities,2011-01-01,"A Clacherty
R C Leduka
UN Habitat
Urban LandMark",,,Urban Knowledge Exchange,en,Training Resources & Tools,Zimbabwe;Zambia;South Africa;Namibia;Mozambique;Lesotho;Botswana,land;land markets;urban areas;research;housing rights,Land & Investments;Urban Tenure,https://www.ukesa.info/images/yUtkuB51TMS3PfXRHc7qamVLsJ6dCOZ8_details/ULM_2011_Urban_land_markets_SA_cities_cover.png,Human settlements;Land
,Voices of the poor,Access to urban land,"This case study draws on research that investigated the perspectives and experiences of civil society organisations with regard to access to urban land by the poor. The research was conducted by Warren Smit, commissioned by Urban LandMark. An introduction to the case study is given below. On the back of this sheet some learning and reflection activities are provided. You can do these activities on your own or in groups, as appropriate for your learning session. Look carefully at these activities before you begin so you know what to look for while you are reading. The next part of the document presents perspectives on access to urban land by poor people. These perspectives were drawn from interactions with civil society organisations in Cape Town, Pietermaritzburg, Port Elizabeth and Johannesburg. The final component of this document includes a summary of key issues that were covered in the case study and recommendations arising from it.",https://www.ukesa.info/download/0IAwzroq91smGghOCxJnMZHBuUKa8dck/Voices-of-the-Poor-Access-to-Urban-Land.pdf,https://www.ukesa.info/library/view/voices-of-the-poor,2010-01-01,"Alistair Clacherty
Warren Smit",,,Urban Knowledge Exchange,en,Training Resources & Tools,South Africa,land;research;grassroots organizations;urban areas;poverty;land reform,Urban Tenure;Land Stakeholders & Institutions,https://www.ukesa.info/images/GtipFk8ufh9mMVLB50bQDT3nAJygIl1R_details/ULM_2010_Voices_cover.JPG,Human settlements;Land
