id,title,description,acronym,start_date,end_date,funding,project_url,countries,donor,related_overarching_categories,related_themes,related_concepts
,Kenya Transition Initiative,"<p>Kenya’s National Accord and Reconciliation Act of 2008 provided a framework for ending the cycle of political violence that erupted again after the 2007 elections and sought to address the causes of the crisis with a schedule of political and development reforms. Although USAID’s Office of Transition Iniaitives’ work in Kenya has touched on all the Agenda items, work through the <b>Kenya Transition Initiative (KTI)</b> aligned the most with the political and societal reforms outlined in Agenda Item 4, which involved addressing long-term issues.</p>
<p>National Accord Agenda Items:</p>
<ol>
<li>Take immediate action to stop violence and restore fundamental rights and liberties</li>
<li>Take immediate measures to address the humanitarian crisis, and promote healing and reconciliation</li>
<li>Determine how to overcome the political crisis</li>
<li>Address long-term issues, including constitutional and institutional reforms, land reforms, poverty and inequalities, youth unemployment, national cohesion, and transparency and accountability</li>
</ol>
<h2>Objectives</h2>
<ul>
<li>Research grants to inform KTI and civil society</li>
<li>Technical guidance through USAID/Kenya, the US Embassy, and the Development Partners Group on Lands (DPGL)</li>
<li>Support to build the capacity of local communities to address local land issues</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Helped Provincial Administrations in the North Rift Valley, South Rift Valley, Central, South Nyanza, Eastern, Upper Eastern and Samburu North provinces to sponsor a series of local Peace Forums in targeted areas to bolster support among professional elites for the new Constitution and to mobilize community involvement in the referendum.</li>
<li>Provided the Eldoret Chief Magistrates Court with case management software and training in a new e-registry system, which included indexing of archived files, expanding file storage space and training magistrates in the use of a new transcription system in order to maintain their efficiency gains. The work in the Eldoret Chief Magistrates Court initiated management changes and increased efficiency in the Kapsabet Court in Nandi</li>
<li>Improved and modernized land registries in the Nakuru, Kitale, Kilifi, Kajiado, and Thika regions.</li>
</ul>",,2008,2013,USD 1765798,https://www.land-links.org/project/kenya-transition-initiative/,KEN,USAID,,Land Conflicts,land conflicts;land governance
,Knowledge Management and Technical Support Services: Global,"<p>The <b>Knowledge Management and Technical Support Services</b> (KMTSS) project provided Knowledge Management support to the Land Tenure and Property Rights (LTPR) Division based on needs identified through a consultation process; and assisted in the development and implementation of a communication strategy. USAID’s LTPR Division had produced a significant amount of information over the past decade, which was continually being built upon and enhanced. From 2010-2011 alone, the LTPR Division more than doubled in size. Previous efforts to make information accessible had been challenging and costly. USAID staff, partners, and others engaged in international development activities require tools to more effectively share critical data and work together seamlessly. Implementation of a proper Knowledge Management (KM) programmatic approach improves performance, enhances competitive advantage, drives innovation, and enables sharing of lessons learned. KM allows integration and continuous improvement of the organizational operations. Additionally, While KM is important, it is not sufficient to meet the needs of broadcasting best lessons and methodologies to address land tenure challenges. Therefore, the development and implementation of a communication strategy was essential to complement KM programmatic approach.</p>
<h2>Objectives</h2>
<ul>
<li>Review of LTPR web portal and recommendations for improved design, accessibility and performance;</li>
<li>Implementation of recommendations to improve land tenure portal;</li>
<li>Content for the portal describing USAID land tenure activities and programs;</li>
<li>Review and reprogram portal to link with other web platforms that will allow blogging and other types of communication interface;</li>
<li>Reduced time and cost for posting USAID briefs and other publications to the portal;</li>
<li>New information management strategies developed to better communicate USAID’s land tenure programs, and linking these strategies to other internal and external web systems;</li>
<li>Database of USAID’s land tenure programs, and tracking mechanism for report approval process;</li>
<li>Develop database and report format to track LTPR Unit achievements, and develop marketing strategy for improved visibility of the Unit’s work;</li>
<li>In collaboration with LTPR unit, develop Communication Strategy, and implement it. Implementation will be measured by development of at least one marketing campaign and placement of not less than 25 blogs, articles or publications in new and old media per year.</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Conducted a portal scan and assessment, including feedback on content, structure, and key messages from the LTPR Division and from the public;</li>
<li>Built a new website in the Drupal content management software;</li>
<li>Created 116 commentaries, three USAID FrontLines articles, and six USAID IMPACT blogs;</li>
<li>Managed portal content and organizational structure;</li>
<li>Developed a social media strategy, which was approved and implemented, resulting in 507 tweets and 1,399 referrals to the portal;</li>
<li>Provided framework and support for the development of new communication strategy for Division;</li>
<li>Developed a Deliverable Approval Tracking System, a web-based platform for uploading, monitoring, reviewing, revising, and approving project documents and reports under the Strengthening Tenure and Resource Rights (STARR) contract mechanism;</li>
<li>Developed a Partner Portal for STARR implementing partners to access project reports from current and previous USAID LTPR programs.</li>
</ul>",,2011,2013,USD 550000,https://www.land-links.org/project/knowledge-management-and-technical-support-services-global/,001,USAID,,,
,Kosovo Property Rights Program,"<p>The rule of law in Kosovo is constrained by poorly defined and enforced property rights, especially the property rights of women and members of minority communities. The absence of an effective property rights regime weakens democratic governance, impacts human rights, disempowers women and impedes sustainable economic growth.</p>
<p>Working closely with the EU, the <strong>Kosovo Property Rights Program</strong> (PRP) will assist the Ministry of Justice (MOJ) to develop a property reform strategy and new property law. PRP is the only donor-funded project in Kosovo working to improve court procedures related to property claims, with an emphasis on improving court practices that prevent women from inheriting property in practice. The project supports implementation of USAID Forward and Local Solutions by building the capacity of Kosovo Civil Society Organizations (CSOs) and municipal governments to manage and administer USAID direct awards through grants and Government to Government (G2G) agreements. PRP supports local CSOs to develop and implement public information, awareness, and advocacy campaigns to inform women and men about women’s rights to property and change attitudes and behaviors that prevent women from inheriting property. The project also builds municipal capacity to improve delivery of property related services, enabling citizens to more efficiently engage in property related transactions.</p>
<p>The overall goal of the Property Rights Program (PRP) is to improve the property rights regime in Kosovo, strengthen the rule of law, and increase economic growth and investment. The Property Rights Program is implemented under four objectives:</p>
<h2>Objectives</h2>
<ul>
<li>Objective 1: Better Coordination and Policy Priorities</li>
<li>Objective 2: Improved Court Procedures Related to Property Claims</li>
<li>Objective 3: Enhance Women’s Rights to Use Property in Practice</li>
<li>Objective 4: Improved Communication, Access to Information, and Understanding of Property Rights</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Development of implementation-oriented legislation to clearly define property rights and improve tenure security for women and members of minority communities</li>
<li>Development of improved court procedures to more efficiently resolve property claims and disputes</li>
<li>Increased capacity of courts to decide and enforce property rights</li>
<li>Increased capacity of Civil Society Organizations to raise public awareness, change societal attitudes and behaviors, and advocate for women’s rights to property</li>
<li>Increased number of women inheriting property and securing access to credit</li>
<li>Municipalities improve delivery of services to enable citizens to more easily transact their property rights</li>
</ul>",,2014,2018,USD 8343070,https://www.land-links.org/project/kosovo-property-rights-program/,XKX,USAID,Access to Land & Tenure Security,Land & Gender;Socio-Economic & Institutional Context,development;women;gender equity in access to land;sustainable development
,Kyrgyzstan Land Policy Reform Project,"<p>The <b>Kyrgyzstan Land Policy Reform Project (KLPRP)</b> was developed primarily to address problems related to realization of land rights, weakly functioning land markets, and unstable land use management. This project works at the national and local levels to inform local people about their land rights.</p>",,2010,2013,USD 60000,https://www.land-links.org/project/kyrgyzstan-land-policy-reform-project/,KGZ,USAID,,Land Conflicts,land conflicts;land governance
,Land Access for Women: Vietnam,"<p>The implementation of radical reforms in the 1990s resulted in profound changes in legislation and public policy around land rights, contributing to Vietnam’s rapid economic growth. The 1993 Land Law created a land market and prompted a sweeping land redistribution program; within seven years, 11 million Land Use Rights Certificates (LURCS) were issued to rural households. Although this law was supposed to be gender neutral, more men benefited and received a larger portion of the LURCS. The 2003 Land Law corrected some of the gender inequalities by requiring LURCs to record the names of both spouses, as opposed to only the head of the household. However this supportive legal framework is thwarted by both men’s and women’s general lack of awareness of Vietnam’s property rights laws and lack of resources to enforce women’s property rights at the provincial level. Recent reports on the status of land rights in Vietnam suggest that the allocation and distribution of land is under the discretion of provincial authorities who may be influenced by customary practices which reinforce gender inequalities. As a result, violations of women’s land use rights persist.</p>
<p>To address these complexities, the <strong>Land Access for Women</strong> pilot program will combine commune-level legal rights counseling and education with advocacy efforts. Based in two provinces in Vietnam – Hung Yen in the North and Long An in the South – the program will strengthen the reach and efficacy of land rights for farmers, particularly women farmers. Research indicates that community-based paralegals are invaluable resources for poor and disadvantages persons to access legal systems to resolve property disputes.</p>
<p>The centerpiece of the program is the mobilization and training of 60 volunteer paralegals from four communes across the two provinces. The paralegals will conduct land rights awareness-raising activities as well as provide legal counseling to individuals, mitigate land disputes and offer referrals to navigate the existing legal structures. Paralegals’ community education activities and delivery of local legal assistance will be complemented by advocacy conducted by civil society and mass organizations to promote more effective integration of gender into the content and implementation of current land law and any future reforms.</p>
<h2>Objectives</h2>
<ul>
<li>Increase farmers’ awareness of existing land rights under current legislation, especially women</li>
<li>Facilitate female farmers’ ability to access their land rights</li>
<li>Generate evidence about gender specific barriers to realizing land rights in rural areas</li>
<li>Increase the capacity of civil society organizations and mass organizations to advocate for gender equitable land reform</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Approximately 60 commune-based paralegals identified, trained and commissioned to raise awareness and provide legal aid for land related rights for farmers, particularly women. Of the total number, at least 50% of paralegals will be women</li>
<li>Increased awareness of land rights and protection mechanisms under the current law among farmers in the project area, particularly women, as evidenced by an increase in the use of legal mechanisms for the protection of land related rights by women</li>
<li>Increased recognition of women’s land related rights within the communes and provinces, as evidenced by an increase in the issuance of land use certificates jointly to spouses, and to individual women</li>
<li>Increase in the gender responsiveness of land administration and management structures and procedures. A proxy measure of this outcome is set at the activity level: number of officials trained on women’s land rights</li>
<li>Increased knowledge of the challenges to secure land rights among women farmers in the intervention area and how to mitigate those challenges</li>
<li>Increased capacity of civil society organizations to demand gender responsive land laws, policies and practice</li>
<li>Formulation and delivery of recommendations for concrete strategies in integrating gender into the implementation of the new law at the national level</li>
</ul>",,2014,2016,USD 803000,https://www.land-links.org/project/land-access-for-women-vietnam/,VNM,USAID,,,
,Land Administration and Protection of Property: Sri Lanka,"<p>The <b>Land Administration and Protection of Property (LAPP)</b> project addressed the lack of clarity regarding land rights, absence of land documentation and capacity constraints in land administration at the provincial and divisional levels in the North and East of Sri Lanka.</p>",,2010,2012,USD 3000000,https://www.land-links.org/project/land-administration-and-protection-of-property-sri-lanka/,LKA,USAID,,Land Conflicts,land conflicts;land governance
,Land Conflict Resolution Project: Liberia,"<p>The <b>Land Conflict Resolution Project</b> project will pilot dispute resolution methodologies, establish property rights inventories, develop clan-level Land Dispute Resolution (LDR) entities, promote the legal recognition of LDR, and raise awareness of land rights and LDR.</p>",,2011,2014,USD 6800000,https://www.land-links.org/project/land-conflict-resolution-project-liberia/,LBR,USAID,,,
,Land Administration to Nurture Development: Ethiopia,"<p>The Ethiopia <b>Land Administration to Nurture Development (LAND)</b> project works at the national and regional levels of government to further improve the legal and regulatory framework related to land tenure and property rights and thereby support the Government of Ethiopia’s and USAID’s goal of increasing economic growth, particularly agricultural sector growth, improving rural resiliency, and improving governance. LAND uses a variety of activities to strengthen capacity of land administration and land use institutions. In addition, LAND supports activities focusing on securing rights to community lands, strengthening capacity of community members to manage their natural resource assets.</p>
<p>The LAND project builds on two previous USAID/Ethiopia projects – <a href=""/project/ethiopia-strengthening-land-tenure-and-administration-program/"" target=""_new"">Ethiopia Strengthening Land Tenure and Administration Program (ELTAP)</a> (2005-2008) and the <a href=""/project/ethiopia-land-administration-program/"" target=""_new"">Ethiopia Land Administration Program (ELAP)</a> (2008-2012) – to improve land governance and land administration and strengthen land tenure rights in Ethiopia and thereby promote economic growth, increase agricultural productivity, reduce conflict and resource degradation and improve women’s rights to control and manage assets.</p>
<h2>Objectives</h2>
<ul>
<li>Support national and regional governments to improve land administration and land use laws based on research findings and public needs</li>
<li>Improve Government of Ethiopia’s land administration institutions efficiency in land use rights certification and transactions through trainings provided by higher educational institutions</li>
<li>Encourage pastoral regions to introduce certification of communal land use rights and management of natural resources</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Appropriate land laws are prepared and enforced</li>
<li>Regions are able to survey, map, register and certify rural parcels</li>
<li>Linkages are created between higher education and land administration institutions</li>
<li>Communal land use certifications are practiced in pastoral areas</li>
</ul>",,2013,2018,USD 10500000,https://www.land-links.org/project/land-administration-to-nurture-development-ethiopia/,ETH,USAID,Access to Land & Tenure Security,Land Conflicts;Land & Gender;Socio-Economic & Institutional Context,development;land conflicts;sustainable development;land governance;gender equity in access to land;women
,Land and Rural Development Project: Colombia,"<p>The Land and Rural Development Program began in July 2013 and is a five-year task order under the Strengthening Tenure and Resource Rights Indefinite Quantity Contract. The program helps the Government of Colombia improve its ability to resolve the many complicated land issues that have plagued the country for years and that must be resolved to achieve a lasting peace.</p>
<h2>Objectives</h2>
<ol>
<li>Improved capacity of the GOC at the regional and national levels to restitute lands to victims of conflict (Restitution Component);</li>
<li>Improved capacity of regional and national GOC institutions to formalize rural property rights and to allocate public lands (<i>baldíos</i>) (Formalization Component);</li>
<li>Improved capacity of regional and national government entities to mobilize and execute public resources for rural public goods (Rural Development Component); and</li>
<li>Improved information available and efficiently used to deliver land rights services (Information Sharing and Management Component).</li>
</ol>
<p>After four years of intense negotiations in Havana, Cuba, between the GOC and the FARC, both parties signed a peace accord in the final months of 2016 with the intent of ending more than 50 years of civil war. Although several controversies swirled around the final terms of the agreement, they did not center on the agreement’s commitments to strengthen land tenure security and rural livelihoods, giving the program significant latitude to continue collaborating with the GOC to facilitate land restitution, strengthen smallholder land rights, and mobilize the provision of public goods and services in historically neglected rural areas—and thereby create the conditions for sustaining peace.</p>
<h2>Expected Outcomes</h2>
<ul>
<li><em>Adapting </em>to an ever-changing sociopolitical environment to effectively engage new government institutions and new local government authorities.</li>
<li><em>Defining and promoting the adoption </em>of international best practices for implementing quick, efficient, scalable land formalization activities to ensure that citizens have secure land tenure on paper and in practice.</li>
<li><em>Developing </em>methods for protecting land from being irregularly acquired and for identifying abandoned, illegally adjudicated, or stolen land, so as to create a reserve of land that can be provided to victims of conflict.</li>
<li><em>Accelerating </em>the processing of restitution claims, ensuring that the interests of good-faith secondary occupants are protected, and ensuring that local governments are equipped to comply with restitution rulings.</li>
<li><em>Identifying and tackling </em>constraints to efficiently move national-level government funding into rural areas to increase access of rural communities to public goods, services, and markets.</li>
<li><em>Identifying and proposing solutions </em>to specific land tenure access problems faced by women and ethnic minorities.</li>
<li><em>Partnering across government institutions </em>in the design, establishment, and maintenance of land-related knowledge management systems that will allow all public agencies to share information in real time, reducing the time associated with land-related transactions.</li>
<li><em>Strengthening coordination </em>among USAID implementing partners in the regions where we work to maximize efficiencies and reduce the duplication of efforts.</li>
</ul>
<p>The program works at the national level and in 57 municipalities from five focus regions: Cauca, Cesar, Meta, Montes de María, and Tolima.</p>
<p>For more information about the Land and Rural Development Program, visit <a href=""http://ColombiaLRDP.org"">http://ColombiaLRDP.org</a></p>",,2013,2018,USD 67500000,https://www.land-links.org/project/land-and-rural-development-project-colombia/,COL,USAID,,,
,Land Governance Support Activity,"<p>The <strong>Land Governance Support Activity</strong> (LGSA) supports the establishment of more effective land governance systems, ready to implement comprehensive reforms to improve equitable access to land and security of tenure, so as to facilitate inclusive sustained growth and development, ensure peace and security, and provide sustainable management of the environment. LGSA is applying USAID’s collaborating, learning, and adapting (CLA) principles through the demand-driven support to the land reform agenda led by the GOL; strengthening of land governance human and institutional capacity; development of a customary land rights recognition model based on the Land Rights Policy that can be scaled up; and support of stakeholder engagement in land governance through communications and outreach and strengthening of local capacity through the provision of land sector services. In all project activities, LGSA, through partnership with government and civil society, is developing a focused and results-oriented approach through innovative yet cost-effective tools and best practices. Activities are implemented through consultative processes with USAID; the Project Advisory Committee (PAC); and government, civil society, and donor counterparts. The use of a gender-sensitive approach ensures buy-in from all stakeholders, leading to a stronger sustainability model.</p>
<h2>Objectives</h2>
<ol>
<li>Strengthen policy, legal and regulatory framework for land governance</li>
<li>Improve functionality of GOL land governance institutions</li>
<li>Strengthen protection of customary land rights</li>
<li>Strengthen stakeholder engagement in land governance</li>
</ol>",,2015,2020,USD 15570000,https://www.land-links.org/project/land-governance-support-activity/,LBR,USAID,,,
,Land Policy and Institutional Support: Liberia,"<h2>Land Policy and Institutional Support in Liberia</h2>
<p>The Land Policy and Institutional Support (LPIS) Project, supported by the United States Agency for International Development (USAID) and the Millennium Challenge Corporation (MCC), is collaborating with the Liberian Land Commission, the Ministry of Lands, Mines and Energy (MLME) and the Center for National Document and Records Agency (CNDRA) to improve the policy and legal frameworks for land management and thereby increase security of tenure, investment in land, and land market activity.</p>
<p>LPIS provided recommendations for addressing sources of tenure insecurity faced by rural communities in Liberia based on land and natural resource tenure field research. The Land Commission has already incorporated these recommendations in drafting a land rights policy that recognizes customary tenure and stipulates that the tenure category has the same rights as private tenure and should be protected accordingly. The draft policy paper is a result of lengthy deliberations of a Real Property Task Force, one of many task forces within the Land Commission. USAID and MCC are supporting other task forces, land conflict resolution, land use and management, and land administration, through technical assistance.</p>
<p>LPIS collaborated with the Department of Lands, Surveys and Cartography within MLME, as well as the Survey Licensing and Registration Board and the Cartographic and Surveyors Association of Liberia, to improve the survey infrastructure through the acquisition and subsequent training in the use of modern survey equipment, as well as reviews of existing spatial data, and development of geodetic control standards.</p>
<p>LPIS conducted a thorough baseline study of existing processes within CNDRA, followed by developing numerous recommendations for modernizing the institution. CNDRA has undergone ambitious reform over the last year, highlighted by the opening of the Customer Service Center. LPIS supported the physical reconstruction of the center as well as the provision of hardware and software to digitize and register land deeds. The center allows CNDRA staff to quickly scan land deeds and accompanying maps and return the original documents to the landowners. In the two months following the opening of the Customer Service Center, over 400 transactions took place, of which 76 were deeds, and 10 enquiries.</p>
<p>The <b>Land Policy and Institutional Support (LPIS)</b> project seeks to 1) increase clarity and public understanding of property rights issues in order to inform reforms of land policies and laws; 2) rebuild management and public and private surveying capacity to improve future land administration, and 3) increase efficiency in deed registration, restore and improve deed records and procedures.</p>
<h2 class=""view-header"">Objectives</h2>
<ul>
<li>Provide information needed for reforms in land policy and law to promote equitable access to land and increased land tenure security.</li>
<li>Rebuild technical capacity in land administration and surveying in the Department of Land, Surveys and Cartography (DLSC) of the Ministry of Lands, Mines and Energy (MLME), and the private sector.</li>
<li>Rehabilitate the Deed Registry system within the Center for National Documents and Records/Archives (CNDA), including minor physical repairs, provision of office equipment, and funding for the preservation and digitization of records of land rights.</li>
</ul>
<h2 class=""view-header"">Outcomes</h2>
<ul>
<li>Enrolled six Liberian youth in a scholarship program to obtain a Master’s degree in Land Administration/Surveying. After completing their degree in 2013, the students will develop a university curriculum and work for the government to rebuild services and capacity.</li>
<li>Completed a pilot project in Lofa County’s Zorzor District and Maryland County’s Pleebo District to inventory tribal certificates.</li>
<li>Rehabilitated the CNDA customer service center, with the facility scheduled to open in August 2012.</li>
</ul>",,2010,2013,USD 6400000,https://www.land-links.org/project/land-policy-and-institutional-support-liberia/,LBR,USAID,,,
,Land Reform and Market Development Project: Central Asia,"<p><b>The Land Reform and Market Development Project</b> project provided technical assistance for the Land Market Development and Tenure Reform in Kyrgyzstan and Tajikistan. The overall goal of this program was to strengthen the developing market economies by (a) facilitating the development of vibrant, modern agricultural markets and (b) by facilitating the creation and development of an urban land market.</p>",,2005,2008,USD 6515348,https://www.land-links.org/project/land-reform-and-market-development-project-central-asia/,TJK;KGZ,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Land Reform in Afghanistan,"<p>The <b>Land Reform in Afghanistan (LARA)</b> project seeks to develop a robust, enduring, and Afghan-owned and managed land market framework that encourages investment and productivity growth, resolves/mitigates land-based conflict, and builds confidence in the legitimacy of the Government of the Islamic Republic of Afghanistan (GIRoA). LARA provides technical assistance and support to GIRoA institutions that address land issues, particularly the Ministry of Agriculture, Irrigation and Livestock (MAIL), the Supreme Court, and the Ministry of Urban Development Affairs (MUDA), and will create Afghan capacity to successfully design, manage, and implement needed land tenure reform for land market development.</p>
<h2>Objectives</h2>
<ul>
<li>More secure property rights for Afghan citizens through improved institutional, policy, and legal systems</li>
<li>Improved public awareness of and ability to exercise property rights, especially in vulnerable populations (women and minorities)</li>
<li>Improved economic growth and increased private-sector investment</li>
<li>Increased revenue to GIRoA from leases of government land</li>
<li>Increased sanitation tax revenues at the municipal level</li>
<li>Properties registered with municipal and Supreme Court registration offices</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>Established and piloted a model process for land rights formalization of informal settlement in Afghanistan.</li>
<li>Mapped 100% of land parcels in Jalalabad;</li>
<li>Completed a land parcel/household inventory of 2,780 land parcels covering 2 informal settlements in Jalalabad applying the model formalization process.</li>
<li>Completed infrastructure upgrading activities in 2 informal settlements in Jalalabad.</li>
<li>Established a Women’s Land Rights Task Force with leading Afghan men and women representing national and local government and civil society to advise LARA on land rights and inheritance issues affecting women in Afghanistan</li>
<li>Supported women’s land rights conferences, training sessions and public information awareness campaigns that lead directly to the exercise inheritance rights by women which were successful</li>
<li>Conducted gender-mainstreaming training within land administration institutions</li>
<li>Installed Cadastral Data Management and Land Records Management systems within the Land Authority (ARAZI) and trained 805 government staff in key land management skills.</li>
<li>Installed a Deeds Registry Archive Conversion System for Land Titles (to convert paper deeds into electronic format within a dedicated database) within the Supreme Court.</li>
<li>Developed community-based dispute resolution guidelines and conducted associated training to communities and government institutions.</li>
<li>Completed a BizCLIR analysis of Afghan laws and advised on the amendments to the Land Management Law and Cadastral Law.</li>
<li>In consultation with GIRoA counterparts and key stakeholders, completed a series of maps of Jalalabad identifying donor and government investments in the city, and a Land Ownership Status Map identifying informal settlements that could be the target of project activities.</li>
<li>Conducted Three Urban Planning Clinics in Jalalabad with government counterparts for the purposes of drafting a series of thematic maps representing land use, project use, Community Development Council (CDC) boundaries, environmental hazards, and gozar boundaries.</li>
<li>Hosted a three-day Informal Settlements Upgrading and Formalization workshop with 140 leading stakeholders in land issues. The workshop was coordinated jointly with MUDA and the Kabul Urban Reconstruction Program.</li>
<li>Using local and international partners, conducted and completed a Gender and Dispute Resolution Assessment in two informal settlements in Jalalabad. The data from the assessment has identified key strategies for approaching gender issues in the context of project activities in the selected informal settlements in Jalalabad.</li>
<li>Identified and mapped key water networks and road infrastructure in Jalalabad city, in parallel to the assessment of infrastructure servicing targeted informal settlements.</li>
<li>With a local subcontractor, conducted and completed a Socio-Economic and Housing Baseline Survey (SES) in Jalalabad involving over 400 household surveys.</li>
<li>Completed institutional assessments for relevant Afghan institutions: MAIL/Arazi and AGCHO, MUDA, IDLG/GDMA, and the Supreme Court insofar as their respective activities touch land administration.</li>
<li>Completed a Business Climate Legal and Institutional Reform (BizCLIR) Assessment of Real Estate.</li>
<li>Supported and contributed to MAIL/Arazi’s national training seminar on land leasing and other land policy-related issues that was attended by over 160 staff.</li>
</ul>",,2011,2014,USD 41800000,https://www.land-links.org/project/land-reform-in-afghanistan/,AFG,USAID,,Land Conflicts;Socio-Economic & Institutional Context,development;land conflicts;land governance;sustainable development
,Land Reform Project in Tajikistan,"<p>The <b>Land Reform Project in Tajikistan (LRPT)</b> works with government stakeholders to reform policy and land legislation, provides legal assistance to farmers to improve legal aid, and builds capacity through training and outreach for lawyers, judges, and local government officials on land issues.</p>
<p>The project aims to improve long-term land use rights and develop an effective land use market as well as to draft amendments either repealing or harmonizing land related policies. It also supports public-private dialogue and partnerships related to useful legislation and strengthening the technical capacity of governmental agencies to address land-related issues. The project has strengthened and protected land rights by</p>
<p>(1) assisting the Government of Tajikistan in developing land-related policy and legislation,<br>
(2) empowering farmers with information to assert their rights over land, and<br>
(3) supporting regional legal aid centers and tashabbuskors (rural land activists) in educating farmers on their rights, providing mediation, and advocating on behalf of farmers’ interests in court; and supporting public-private dialogue and partnerships related to useful legislation and strengthening the technical capacity of governmental agencies to address land-related issues.</p>
<h2>Objectives</h2>
<ul>
<li>Improve land policy and legislation</li>
<li>Increase farmers’ access to land and justice</li>
</ul>
<h2>Outcomes</h2>
<ul>
<li>The Project supported the Government of Tajikistan in drafting amendments to Land Code and Mortgage law, drafting new Law on Commercial Farms, drafting Land Policy paper and developing regulations to the land code.</li>
<li>Land Code amendments allowing the purchase, sale, and mortgage of land use rights, strengthening tenure rights, reforming aspects of public withdrawal provisions were passed in August 2012.<br>
The Commercial Farm Law, that is strengthening farmers’ land use and farming rights, was drafted and is being reviewed by the government.</li>
<li>Amendments to the Mortgage Law are passed in 2013, allowing pledge of land use rights and further protecting Mortgagee rights.</li>
<li>23,500 dehkan farmers were trained on land tenure issues.</li>
<li>17000 farmers participated in 1363 focus groups; 30,000 farmers participated in 2,000 roundtables.</li>
<li>10,712 field and 15920 field consultations provided through legal aid offices.</li>
<li>5,847 farmers benefited from 49 court cases. 92 disputes mediated.</li>
</ul>",,2010,2013,USD 4500000,https://www.land-links.org/project/land-reform-project-in-tajikistan/,TJK,USAID,,Land Conflicts;Land & Food Security,land conflicts;land governance;food security
,Land Titling and Economic Restructuring in Afghanistan,"<p>The <b>Land Titling and Economic Restructuring in Afghanistan (LTERA)</b> project aimed to privatize state-owned enterprises and reform the real estate sector. With respect to real estate reform, the project assisted the Afghan government in the preparation of a nation-wide land policy. It worked with the Afghan Supreme and Appellate Courts to streamline land registration procedures and salvage, organize, digitize and preserve land records in 21 archival offices; formalized land titles in selected informal settlements in four cities; developed a pilot project for informal settlement upgrading; conducted another pilot project for aerial photography and mapping; and developed a cadastral mapping program at an Afghan university. The project also developed techniques to facilitate land dispute resolution.</p>",,2004,2009,USD 27000000,https://www.land-links.org/project/land-titling-and-economic-restructuring-in-afghanistan/,AFG,USAID,,Socio-Economic & Institutional Context,development;sustainable development
,Land-Potential Knowledge System,"<p>Achieving long-term food security while protecting biodiversity and other ecosystem services will require: sustainable intensification of production on existing lands, restoration of degraded lands, and converting to agriculture only those lands where potential production is high, while degradation risk is low. To meet these requirements, knowledge and information about how land potential varies at field to regional scales is needed. However, existing knowledge and information about land potential is poorly integrated and unavailable at the scale of small farms where it is most urgently needed.</p>
<p>The <strong>Land-Potential Knowledge System</strong> (LandPKS) aims to increase access to global and local land potential knowledge. The program is developing innovative mobile data collection, analysis methods, and tools to be used by farmers, pastoralists, governments, and development workers to sustainably increase agricultural production, biodiversity conservation, and improve climate change adaptation efforts and other ecosystem services.</p>
<p>LandPKS uses mobile phone and cloud computing technologies to:</p>
<ul>
<li>Globalize access to local and scientific knowledge and information about land potential,</li>
<li>Identify and deliver the knowledge and information relevant to each type of land/soil to anyone with a mobile phone, and</li>
<li>Connect people with similar types of lands and challenges with each other to share learning and experiences.</li>
</ul>
<p>Through an interagency agreement issued from USAID, USDA’s Agricultural Research Service is developing LandPKS as a platform to allow others to use as the foundation for developing apps to address more specific information needs. The suite of mobile phone applications is currently being tested as a pilot in Kenya and Namibia, and the first application will be released to the global public in April or May 2015.</p>
<h2>Objective</h2>
<ul>
<li>Support long-term, sustainable increases in productivity and biodiversity conservation through improved land-use planning and better land management</li>
</ul>
<h2>Expected Outcomes</h2>
<ul>
<li>Local and scientific knowledge about the potential productivity, biodiversity, and resilience of specific types of land for local, regional, and global application will be collected, shared, and integrated</li>
<li>Governments, farmers, and pastoralists will have greater access to local and scientific knowledge from all over the world that is relevant to specific types of land<br>
Innovation will be promoted through peer-to-peer learning</li>
<li>Gender equality will be increased by providing women farmers improved access to knowledge and information</li>
</ul>
<p>For more information about LandPKS, visit: <a href=""http://landpotential.org"" target=""_blank"">http://landpotential.org</a></p>",,2013,2017,USD 5000000,https://www.land-links.org/project/land-potential-knowledge-system/,KEN;NAM,USAID,"Land Use, Management & Investment","Land, Climate change & Environment;Land & Food Security",environment;climate change;food security;sustainable land management;natural resources management
