Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
8;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:8;Irrigation and markets – a fertile combination for poverty reduction;In the early 1980s, Germany’s KfW Development Bank financed the first irrigation project around Mount Kenya. A reliable supply of water was expected to enable farmers to achieve stable yields. In this way, they could not only safeguard their own food supply but also supply new markets and earn themselves an income. The following article takes stock of progress and benefits.;Isabel Huber;;DLG-Verlag;Rural21;2013/06;English;"land markets; farmers; farming systems; agricultural land management; food security; development agencies";"Land & Food Security; Land Stakeholders & Institutions";Land Use, Management & Investment;Kenya;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/irrigation-and-markets-a-fertile-combination-for-poverty-reduction-0000742/;http://www.rural21.com/uploads/media/rural2013_02-S25-27.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/focus13_02_irrigation.jpg;All rights reserved
9;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:9;Taking the land without encumbrances;Liberia’s government seeks to put greater emphasis on integrated cash/food crop systems with broad-based farmer participation. However, shortcomings in regulations on land transactions could threaten livelihoods in what is already a vulnerable country.;"Rudolf Buntzel; Wollor Topor";;DLG-Verlag;Rural21;2013/06;English;"land markets; farmers; land law; land policies; land transactions; security of tenure (land); land grabbing";Land & Investments;"Access to Land & Tenure Security; Land Policy & Legislation";Liberia;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/taking-the-land-without-encumbrances-0000740/;http://www.rural21.com/uploads/media/rural2013_02-S30-33.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/intplat_13_02_taking.jpg;All rights reserved
10;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:10;Microfinance lending for farming in Congo – a worthwhile risk?;Agriculture is the basis for the livelihoods of the rural Congolese population. Yet despite its considerable potential, the sector and its many smallscale producers are barely served by microfinance institutions. The lack of adapted financial products for development of the farming sector is one of the reasons for the country’s continuing dependence on food imports.;"Erik Engel; Jakob Lutz";;DLG-Verlag;Rural21;2013/06;English;"agriculture; rural population; land markets; farmers; farming systems; agricultural land management";;Land Use, Management & Investment;Congo;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/microfinance-lending-for-farming-in-congo-a-worthwhile-risk-0000739/;http://www.rural21.com/uploads/media/rural2013_02-S34-36.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/intplat_13_02_microfinance.jpg;All rights reserved
11;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:11;A conflict-sensitive approach is needed;Despite good potential for food production, South Sudan’s agriculture is not feeding its population. The impacts of decades of armed conflict are posing enormous challenges for the sector. Farmer Field Schools seem to be a promising instrument to improve food security and livelihoods of small-scale farmers in the country.;"Enno Mewes; Ilse Hoffmann";;DLG-Verlag;Rural21;2013/06;English;"land markets; land conflicts; food security; rural development; farming systems";"Land & Food Security; Land Conflicts";Land Use, Management & Investment;South Sudan;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/a-conflict-sensitive-approach-is-needed-0000738/;http://www.rural21.com/uploads/media/rural2013_02-S37-39.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/intplat_13_02_conflict.jpg;All rights reserved
12;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:12;Markets for the many rather than the few;A development policy opting exclusively for value chain development and the integration of producers in modern markets overlooks the reality for the majority of smallholders, our author maintains. Policy should pay greater attention to addressing the area most small-scale producers are active in: the informal sector.;Bill Vorley;International Institute for Environment and Development;DLG-Verlag;Rural21;2013/06;English;"land markets; land economics; farmers; customary tenure; land tenure systems; development; development agencies";Land Stakeholders & Institutions;"Land Policy & Legislation; Access to Land & Tenure Security";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/markets-for-the-many-rather-than-the-few-0000741/;http://www.rural21.com/uploads/media/rural2013_02-S28-29.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/Vorley.jpg;All rights reserved
13;Rural Markets;Rural21-Vol:47-Nr:2/2013-Article:13;Moving towards resilient farming in northern Ethiopia;Improving watershed conservation and household food security has been one of the major development challenges in the semi-arid areas of northern Ethiopia. The initial survey by ILRI’s Improving Productivity and Marketing Success project has revealed that physical conservation measures alone do not result in higher farmers’ income. However, the introduction of market-oriented commodity development such as beekeeping, sheep-fattening, and high value crops resulted in farmers’ income rising fivefold from 2005 to 2009.;"Gebremedhin Woldewahid; Berhanu Gebremedhin; Dirk Hoekstra; Azage Tegegne";International Livestock Research Institute;DLG-Verlag;Rural21;2013/06;English;"land markets; food security; farming systems; sustainable land management; environment; development agencies";"Land Stakeholders & Institutions; Land & Food Security; Land, Climate change & Environment";Land Use, Management & Investment;Ethiopia;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/moving-towards-resilient-farming-in-northern-ethiopia-0000737/;http://www.rural21.com/uploads/media/rural2013_02-S40-42.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-02/scientific_13_02_moving1.jpg;All rights reserved
1;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:1;Agricultural policies in the 2010’s: the contemporary agenda;Agricultural development has moved up the agenda. Today it has not only to reduce poverty and hunger, but also become environmentally sustainable and climate smart. Disputes over agricultural policies are highly visible, but consensus exists on fundamentals for growth. It is not just what to do that matters, but also how to do it. Increasingly, the search is not for optimal policy, but for ‘good fit’, or even ‘good-enough’ policy.;Steve Wiggins;Overseas Development Institute;DLG-Verlag;Rural21;2013/12;English;"rural development; land policies; agricultural and rural legislation; land dispute; land governance";;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/agricultural-policies-in-the-2010s-the-contemporary-agenda-0000965/;http://www.rural21.com/uploads/media/rural2013_04-S08-10.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite08.jpg;All rights reserved
2;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:2;Providing an enabling environment;The basic role for agricultural policies consists of providing the core investments and services that farmers need to develop their operations into viable farm businesses. Focusing on the sector’s enabling environment benefits both agriculture and the wider rural economy, facilitating the construction of diversified rural economies. Such policies are likely to be more effective in the long term than subsidies or market interventions, which have the opposite tendency.;Jonathan Brooks;Organisation for Economic Co-operation and Development (OECD);DLG-Verlag;Rural21;2013/12;English;"land policies; agricultural and rural legislation; farming systems; farmers";;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/providing-an-enabling-environment-0000964/;http://www.rural21.com/uploads/media/rural2013_04-S11-13.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite11.jpg;All rights reserved
3;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:3;Food security needs policy coherence;"The 2013 OECD publication ""Better Policies for Development"" emphasises that building global food security requires a cross-cutting approach to policy coherence for development. It explores ways in which more coherent policies in advanced, emerging and developing economies alike, as well as, globally can contribute to improved global food security.";Ernesto Soria Morales;Organisation for Economic Co-operation and Development (OECD);DLG-Verlag;Rural21;2013/12;English;"food security; land policies; sustainable development";"Land & Food Security; Land Stakeholders & Institutions";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/food-security-needs-policy-coherence-0000971/;;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Closer_OECD.jpg;All rights reserved
4;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:4;Food security, agricultural policy and the role of small-scale farms;Increasing prices for agricultural commodities offer a historic opportunity to intensify production systems for small-scale farmers in many developing countries. But without agricultural policies supporting them in making use of this opportunity, many of them would lose their access to land and income, resulting in aggravated food insecurity.;Prof. Dr Theo Rauch;;DLG-Verlag;Rural21;2013/12;English;"farmers; land access; security of tenure (land); food security; land policies";Land & Food Security;"Access to Land & Tenure Security; Land Policy & Legislation";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/food-security-agricultural-policy-and-the-role-of-small-scale-farms-0000963/;http://www.rural21.com/uploads/media/rural2013_04-S14-17.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite15.jpg;All rights reserved
5;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:5;The role of farmers’ organisations in defining national policies;Farmer organisations play a crucial role in the development of rural areas. But how influential are they when it comes to defining national policies? What can they achieve, and where are their limits? Our authors demonstrate this with regard to the small farmer organisations in South Africa.;Langelihle Simela;African Farmers’ Association of South Africa;DLG-Verlag;Rural21;2013/12;English;"farmers; farmers associations; rural development; land policies";;Land Policy & Legislation;South Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/the-role-of-farmers-organisations-in-defining-national-policies-0000962/;http://www.rural21.com/uploads/media/rural2013_04-S18-20.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite18.jpg;All rights reserved
6;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:6;How to increase farmer organisations’ effectiveness?;Farmer organisations that deal with policy and advocacy need a lot of specific skills. Exchange programmes with their counterparts in the North can help local farmer organisation in the Souht tap their potential.;"Langelihle Simela; Tinashe Chavhunduka";African Farmers’ Association of South Africa;DLG-Verlag;Rural21;2013/12;English;"farmers; farmers associations; advocacy; development agencies; land management";Land Stakeholders & Institutions;"Land Policy & Legislation; Land Use, Management & Investment";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/how-to-increase-farmer-organisations-effectiveness-0000961/;http://www.rural21.com/uploads/media/rural2013_04-S21-21.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite21.jpg;All rights reserved
7;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:7;Envisaging alternative futures for African agriculture;The Future Agricultures Consortium was established in 2005 with support from the UK Department for International Development (DFID) as a learning alliance of leading African and UK-based research organisations. The Consortium provides independent analysis and advice for improving agricultural policy-making. The aim is to encourage critical debate and policy dialogue on the future of agriculture in Africa, elaborating the practical and policy challenges of establishing and sustaining pro-poor agricultural growth.;"Beatrice Ouma; Nathan Oxley";;DLG-Verlag;Rural21;2013/12;English;"agriculture; development agencies; land policies; poverty; rural development";Land Stakeholders & Institutions;Land Policy & Legislation;Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/envisaging-alternative-futures-for-african-agriculture-0000960/;http://www.rural21.com/uploads/media/rural2013_04-S22-23.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite22.jpg;All rights reserved
8;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:8;Agricultural policy reform and food security in China;In 1978, the rural reform began in China, and since then farmers, including the poor ones, have benefited from a steady growth in income and gradually strengthened food security. This article explains how China achieved food security in the past three decades, how the reform process has affected poverty reduction and what aims are established to deal with extreme poverty and child malnutrition for the period of 2011–2020.;Zhu Ling;;DLG-Verlag;Rural21;2013/12;English;"land reform; land policies; rural development; agrarian reform; food security; poverty; sustainable development; land management";Land & Food Security;Land Policy & Legislation;China;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/agricultural-policy-reform-and-food-security-in-china-0000959/;http://www.rural21.com/uploads/media/rural2013_04-S24-26.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite24.jpg;All rights reserved
9;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:9;FAO’s Monitoring African Food and Agricultural Policies initiative;Policy-makers often lack information and analytical capacity to effectively monitor how policies impact on different stakeholders. The MAFAP initiative of the Food and Agriculture Organization seeks to bridge this gap.;Christian Derlagen ;Food and Agriculture Organization of the United Nations (FAO);DLG-Verlag;Rural21;2013/12;English;"agriculture; food security; land policies; agricultural and rural legislation";"Land Stakeholders & Institutions; Land & Food Security";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/faos-monitoring-african-food-and-agricultural-policies-initiative-0000958/;http://www.rural21.com/uploads/media/rural2013_04-S27-27.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite27.jpg;All rights reserved
10;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:10;Capacity development for agricultural policy advice;The changes in global agricultural markets over the past decade have major implications on agricultural policy. What are the challenges and opportunities for development-oriented agricultural policy-making? And what advisory capacities are needed to deliver substantive advice to developing countries’ governments? The answers to these questions constitute a new agenda for contemporary capacity development for agricultural policy advice.;Heike Höffler;GIZ;DLG-Verlag;Rural21;2013/12;English;"agriculture; land markets; rural development; land policies; agricultural and rural legislation; capacity building";Land Stakeholders & Institutions;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/capacity-development-for-agricultural-policy-advice-0000957/;http://www.rural21.com/uploads/media/rural2013_04-S28-31.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite30.jpg;All rights reserved
11;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:11;"""Each country must define its own priorities""";Many a dogma produced by agricultural policies over the past decades has proved disastrous for African agriculture. Ms Rhoda Peace Tumusiime, Commissioner of Rural Economy and Agriculture of the African Union (AU), looks at lessons learnt and suggests ways to bring progress to Africa’s rural regions.;Rhoda Peace Tumusiime ;;DLG-Verlag;Rural21;2013/12;English;"agriculture; land policies; land governance; rural development; agricultural and rural legislation";;Land Policy & Legislation;Africa;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/each-country-must-define-its-own-priorities-0000956/;http://www.rural21.com/uploads/media/rural2013_04-S32-33.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite33.jpg;All rights reserved
12;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:12;‘Smart subsidies’? A critical review of the Malawi fertiliser subsidy programme;Initially hailed a huge success, Malawi’s effort to boost agriculture with fertiliser subsidies appears to have met with failure. The author has a look at what went wrong, arguing that developments must be assessed against the backdrop of politics.;Blessings Chinsinga;;DLG-Verlag;Rural21;2013/12;English;"land governance; land policies; agriculture; agricultural and rural legislation";;Land Policy & Legislation;Malawi;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/smart-subsidies-a-critical-review-of-the-malawi-fertiliser-subsidy-programme-0000955/;http://www.rural21.com/uploads/media/rural2013_04-S34-35.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite34.jpg;All rights reserved
13;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:13;Sprouts and microgreens for a nutritious diet;Recent studies have shown that modern breeding for high yield, visual appearance and long shelf life led to an unintentional decline in taste and the content of essential nutrients in vegetables. AVRDC – The World Vegetable Center is studying whether traditional vegetables are more nutritious than modern varieties and whether early growth stages of these vegetables offer consumers a higher content of phytonutrients.;Andreas W. Ebert;;DLG-Verlag;Rural21;2013/12;English;"agriculture; land management; agricultural land management; land policies; land governance; research";Land Stakeholders & Institutions;"Land Policy & Legislation; Land Use, Management & Investment";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/sprouts-and-microgreens-for-a-nutritious-diet-0000952/;http://www.rural21.com/uploads/media/rural2013_04-S42-43.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite42.jpg;All rights reserved
14;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:14;Stakeholder participation. Easier said than done;Twenty-seven nations are classified as ‘water scarce’, a further 16 as ‘water stressed’. This situation, coupled with the fact that many surface and groundwater systems are shared between two or more states, has led governments to develop sustainable water management strategies. This implies a real commitment by all water users – households, farmers, and industrialists – to use available supplies in ways that reap sustainable and equitable benefits for all. Drawing on the experience from Mozambique and Zimbabwe, the author discusses some of the challenges of articulating stakeholder participation in a transboundary context.;Dr Lisa Ringhofer;;DLG-Verlag;Rural21;2013/12;English;"water management; natural resources management; water rights; farmers; sustainable land management; land policies";;"Land Policy & Legislation; Land Use, Management & Investment";"Mozambique; Zimbabwe";Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/stakeholder-participation-easier-said-than-done-0000954/;http://www.rural21.com/uploads/media/rural2013_04-S36-38.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite36.jpg;All rights reserved
15;Agricultural policies;Rural21-Vol:47-Nr:4/2013-Article:15;Green revolution with black gold;Last year Angola earned 48 billion US dollars from petroleum. Yet the country that was once Africa’s largest agricultural producer is reduced to importing food. Now the government and private investors want to develop the agricultural sector, in the hope that Angola could become a new Brazil. But will there still be room for small-scale farmers?;Klaus Sieg;;DLG-Verlag;Rural21;2013/12;English;"agriculture; rural development; land investments; food security; agricultural land management; agricultural and rural legislation; land policies";"Land & Food Security; Land & Investments; Land Stakeholders & Institutions";"Land Policy & Legislation; Land Use, Management & Investment";Angola;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/green-revolution-with-black-gold-0000953/;http://www.rural21.com/uploads/media/rural2013_04-S39-41.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-04/Seite39.jpg;All rights reserved
1;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:1;Governing the transformation of soils must urgently be improved;We are continuously transforming a resource that is both essential and finite: our soils. We do so in a way that has serious social, economic and ecologic implications. There is an urgent need to shift these transformations to more sustainable pathways. Transgovernance can assume a pivotal role in this regard.;"Klaus Töpfer; Alexander Müller; Jes Weigelt";;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; land governance; land policies";Land, Climate change & Environment;"Land Policy & Legislation; Land Use, Management & Investment";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/governing-the-transformation-of-soils-must-urgently-be-improved-0000835/;http://www.rural21.com/uploads/media/rural2013_03-S06-08.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/07_Grafik_rurale_2013_3.jpg;All rights reserved
2;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:2;Awareness, research, action: the Economics of Land Degradation (ELD) initiative;ELD is a joint initiative of Germany, the European Commission and the United Nations Convention to Combat Desertification (UNCCD). ELD offers a strong platform for raising public awareness of land degradation and advocating sustainable land-use strategies.;"Mark Schauer; Lucie Andeltova";GIZ;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; land degradation; advocacy; sustainable land use; land use; development agencies";"Land, Climate change & Environment; Land Stakeholders & Institutions";"Land Policy & Legislation; Land Use, Management & Investment";Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/awareness-research-action-the-economics-of-land-degradation-eld-initiative-0000834/;http://www.rural21.com/uploads/media/rural2013_03-S09-09.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/09_Grafik_rurale_2013_3.jpg;All rights reserved
3;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:3;A ‘nexus’ approach to soil and land management;Soils around the world are degrading rapidly, reducing ecosystem diversity and some important functions, threatening food and other human securities, and increasing vulnerability to climate change. This is a vicious cycle created by and leading to further unsustainable land-use practices. Integrated (‘nexus’) soil, land, water and ecosystem management can help to turn it into a virtuous cycle.;Holger Hoff;;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; land degradation; food security; climate change; environment; sustainable land use; land use; natural resources management";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/a-nexus-approach-to-soil-and-land-management-0000833/;http://www.rural21.com/uploads/media/rural2013_03-S10-12.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/11_Grafik_rurale_2013_3.jpg;All rights reserved
4;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:4;What can conservation agriculture achieve?;Conservation agriculture (CA) is an important form of sustainable land management, provided that the three basic principles - no tillage, permanent soil cover, diverse crop rotation or intercropping - are always observed.;Alexander Schöning;GIZ;DLG-Verlag;Rural21;2013/08;English;"agriculture; sustainable land management";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/what-can-conservation-agriculture-achieve-0000832/;http://www.rural21.com/uploads/media/rural2013_03-S13-13.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/13_Grafik_rurale_2013_3.jpg;All rights reserved
5;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:5;Promoting best practices in sustainable land management;Protecting land is vital to achieving food security and reducing poverty. This is the insight on which the global WOCAT network was built two decades ago. WOCAT’s early focus on soil and water conservation has expanded into a tried and tested facility for decision support in all aspects of sustainable land management for every kind of land manager. There is a special focus on providing sustainable benefits for the rural poor, both efficiently and cost-effectively.;"Hanspeter Liniger; Rima Mekdaschi Studer; Isabelle Providoli";;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; food security; poverty; land management; rural development";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/promoting-best-practices-in-sustainable-land-management-0000831/;http://www.rural21.com/uploads/media/rural2013_03-S14-15.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/15_Grafik_rurale_2013_3.jpg;All rights reserved
6;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:6;Bio-reclamation – Converting degraded lateritic soils into productive land;Not only has soil degradation in Niger been halted thanks to an integrated approach combining water harvesting technologies, the application of organic residues and planting of fruit trees and vegetables. The strategy has also enabled increases in farmers’ income as well as an active involvement of the country’s largely marginalised women in food production through their gaining access to land.;"Dougbedji Fatondji; Rodolfo Martines Moralez; Saidou Abdoussalam";;DLG-Verlag;Rural21;2013/08;English;"land degradation; sustainable land management; farmers; farming systems; land access; women; gender equity in access to land";"Land & Gender; Land, Climate change & Environment";"Land Use, Management & Investment; Access to Land & Tenure Security";Niger;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/bio-reclamation-converting-degraded-lateritic-soils-into-productive-land-0000830/;http://www.rural21.com/uploads/media/rural2013_03-S16-17.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/16_Grafik_rurale_2013_3.jpg;All rights reserved
7;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:7;Rangelands –sound management strategies for a vulnerable resource;Rangelands cover 30 per cent of the global land surface. They support a considerable share of the global ruminant value chains, are habitat for a high plant and animal diversity and have various ecological, economic and social functions. But rangelands are currently under pressure from global change processes. A focus on humananimal- environment interactions is necessary to avoid resource overexploitation and degradation.;"Christian Hülsebusch; Hassan G. Roba; Brigitte Kaufmann";;DLG-Verlag;Rural21;2013/08;English;"rangelands; sustainable land management; environment; land environment; land degradation; intensive land use; land area; natural resources management";"Land, Climate change & Environment; Rangelands, Drylands & Pastoralism";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/rangelands-sound-management-strategies-for-a-vulnerable-resource-0000829/;http://www.rural21.com/uploads/media/rural2013_03-S18-20.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/19_Grafik_rurale_2013_3.jpg;All rights reserved
8;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:8;New instruments for better land governance;The livelihoods of many rural dwellers are dependent on having secure and equitable access to land. Tenure security is also a prerequisite for sustainable land management. The massive interest of commercial investors has increased the pressure on land globally. This article describes the international community’s efforts to improve the responsible governance and management of land.;Elisa Manukjan;;DLG-Verlag;Rural21;2013/08;English;"land governance; rural population; rural development; land access; security of tenure (land); sustainable land management; land investments; extractive industries; development agencies";"Land & Investments; Land Stakeholders & Institutions";Access to Land & Tenure Security;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/new-instruments-for-better-land-governance-0000828/;http://www.rural21.com/uploads/media/rural2013_03-S21-23.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/21_Grafik_rurale_2013_3.jpg;All rights reserved
9;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:9;Soil conservation in the European Union;Since 2006, a European Union-wide strategy on soil conservation has been in existence that is to address the complex roles that soil plays as a natural resource. However, a legally binding agreement has so far met with opposition by a blocking minority of EU Member States. Does the EU nevertheless offer prospects for soil conservation?;Luca Montanarella;;DLG-Verlag;Rural21;2013/08;English;"land degradation; sustainable land management; environment; natural resources management";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Europe;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/soil-conservation-in-the-european-union-0000827/;http://www.rural21.com/uploads/media/rural2013_03-S24-25.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/24_Grafik_rurale_2013_3.jpg;All rights reserved
10;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:10;UNCCD – the accord for global land stewardship;With more than 900 million people world-wide affected by chronic hunger, international action on soil conservation is urgently required. The United Nations Convention to Combat Desertification (UNCCD) enjoys substantial support, and the author of this article demonstrates that it could play a key role as a global policy and monitoring framework in addressing land and soil degradation.;Luc Gnacadja;United Nations Convention to Combat Desertification;DLG-Verlag;Rural21;2013/08;English;"land degradation; desertification; land policies; sustainable land management; development agencies";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/unccd-the-accord-for-global-land-stewardship-0000826/;http://www.rural21.com/uploads/media/rural2013_03-S26-27.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/26_Grafik_rurale_2013_3.jpg;All rights reserved
11;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:11;Let’s put soils on the global sustainable development agenda;In order to adequately address the important role of soils and land for sustainable development, a holistic approach is needed. This article discusses why biophysical but also socio-economic aspects have to be considered – using the example of Guatemala, one of the first countries to support the proposal to create the Sustainable Development Goals.;Ivonne Lobos Alva;;DLG-Verlag;Rural21;2013/08;English;"sustainable land management; land degradation; land environment; environment; development agencies; sustainable development";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/lets-put-soils-on-the-global-sustainable-development-agenda-0000825/;http://www.rural21.com/uploads/media/rural2013_03-S28-29.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/29_Grafik_rurale_2013_3.jpg;All rights reserved
12;Soil - a resource under threat;Rural21-Vol:47-Nr:3/2013-Article:12;Payments for soil carbon sequestration – “A good incentive for soil conservation”;Soil carbon is important for soil structure and related nutrient and water holding properties. Increasing soil carbon stocks results in improved crop growth and contributes to enhanced climate resilience. In addition, the increase in soil organic carbon through sustainable agricultural land management (SALM) practices, such as the use of cover crops, residue management and agroforestry, will also reduce the need for synthetic nitrogen fertiliser at a given level of crop production. ;Timm Tennigkeit;;DLG-Verlag;Rural21;2013/08;English;"agricultural land management; sustainable land management; land cover; agroforestry systems; farming systems; sustainable land use; environment";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/current-issue/detail/article/payments-for-soil-carbon-sequestration-a-good-incentive-for-soil-conservation-0000823/;http://www.rural21.com/uploads/media/rural2013_03-S30-30.pdf;http://www.rural21.com/fileadmin/img/content/Issue/En-2013-03/Tennigkeit.jpg;All rights reserved
