Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Overarching Categories;Themes;Resource types;Geographical focus;Link to the original website;Link to the publication;Thumbnail;License;ISSN
3;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:3;Initiatives du NEPAD en faveur de la sécurité alimentaire: l’enjeu de la nutrition;"La malnutrition est un problème grave et très répandu en Afrique. Le Programme détaillé pour le développement de l'agriculture africaine (PDDAA) du NEPAD (Nouveau partenariat pour le développement de l'Afrique) réclame de toute urgence des mesures pour lutter contre les problèmes alimentaires et nutritionnels au niveau régional et au niveau national. 

Parmi ces mesures figurent notamment le Programme local d'alimentation des cantines scolaires (HGSF), l’enrichissement des denrées alimentaires pour lutter contre les carences en vitamines et en minéraux, l’alimentation maternelle et infantile et la diversification du régime alimentaire. Jusqu’à présent, le problème de la nutrition a été négligé dans les stratégies pour le développement. ";Bibi Giyose;;DLG-Verlag;Rural21;2011/06;Français;"food security; development agencies; farming systems; sustainable development";Land Use, Management & Investment;"Land & Food Security; Land Stakeholders & Institutions";Journal Articles & Books;Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-initiatives-en-faveur-de-la-securite-alimentaire/initiatives-du-nepad-en-faveur-de-la-securite-alimentaire-lenjeu-de-la-nutrition/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_16-18_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
4;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:4;Notre précieuse ressource;"L’importance des forêts pour atténuer le changement climatique et favoriser la conservation des espèces, comme moyen de stockage de l’eau, de production d’oxygène, de protection du sol et comme source d’humus, est bien connue. Toutefois, plus de 13 millions d’hectares de forêt disparaissent chaque année, surtout dans les zones tropicales. 

Cette disparition a des conséquences désastreuses, pas seulement pour l’environnement, mais aussi pour les populations qui vivent dans les forêts et en tirent leurs moyens de subsistance. Nous devons par conséquent nous efforcer d’atteindre un niveau zéro de déforestation nette à l’échelle mondiale : pour chaque hectare de forêt disparu, il doit y avoir une forme de compensation ailleurs. 
";Johannes Kirchgatter;;DLG-Verlag;Rural21;2011/06;Français;"forest land; forestry; climate change; environment; forest conservation; deforestation; environment; sustainable land management";Land Use, Management & Investment;"Forest Tenure; Land, Climate change & Environment";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-exploitation-responsable-des-forets/notre-precieuse-ressource/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_22-24_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
5;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:5;Pourquoi il est si difficile d’appliquer une politique de gestion durable des forêts;"Pour de nombreux pays, la mise en place d’une politique rationnelle de gestion des forêts est une tâche difficile. Une des raisons à cela est que différents secteurs stratégiques (politique énergétique, politique du commerce extérieur, par exemple) sont étroitement liés à la politique de gestion des forêts et qu’il faut tenir compte des intérêts d’une multitude d’acteurs. 

De plus, l’exploitation non réglementée des forêts assure de gros profits. Trois conditions sont indispensables à une politique de gestion durable des forêts : garantie des droits de propriétés, clarté des règles qui doivent être acceptées par tous et qualification du personnel. ";Dr. Erich Mies;GIZ;DLG-Verlag;Rural21;2011/06;Français;"forest land; forestry; forestry policies; forest management plans; property rights; land rights; security of tenure (land); land governance; land policies; capacity building";"Land Policy & Legislation; Access to Land & Tenure Security";"Forest Tenure; Land, Climate change & Environment";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-exploitation-responsable-des-forets/pourquoi-il-est-si-difficile-dappliquer-une-politique-de-gestion-durable-des-forets/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_25-29_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
6;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:6;Un réseau pour la protection des forêts: le Partenariat pour les Forêts du Bassin du Congo;Le Partenariat pour les Forêts du Bassin du Congo vise à concilier la protection des écosystèmes forestiers et leur utilisation pour le développement des pays d’Afrique centrale. Cet article présente ce qu’un «réseau stratégique» de ce type peut donner comme résultats, ainsi que ses limites.;Dr Hans Schipulle;;DLG-Verlag;Rural21;2011/06;Français;"forest land; forest conservation; sustainable land use; forest management plans";Land Use, Management & Investment;Forest Tenure;Journal Articles & Books;Central Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-exploitation-responsable-des-forets/un-reseau-pour-la-protection-des-forets-le-partenariat-pour-les-forets-du-bassin-du-congo/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_30-32_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
7;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:7;Les combustibles bois au Kenya et au Rwanda: un moteur de l’économie des zones rurales;"Dans les pays en développement, le secteur des combustibles bois constitue une importante source d’énergie, qu’il s’agisse du bois de chauffage ou du charbon de bois, et de moyens d’existence pour les pauvres vivant en milieu rural, aussi bien en termes de création d’emplois que de génération de revenus tirés de la vente de ces produits.
 
Au Rwanda, en 2007, le chiffre d’affaires lié aux combustibles bois a été de 122 millions de dollars US, soit environ 5 pour cent du PIB du pays. Au Kenya, la consommation annuelle de charbon de bois atteint 1,6 million de tonnes pour un chiffre d’affaires d’environ 419 millions de dollars US. Près de 20 pour cent des recettes tirées du bois de chauffage et plus de 40 pour cent de celles qui le sont du charbon de bois reviennent aux exploitants et aux ouvriers des zones rurales des deux pays, ce qui stimule les économies locales. ";"Geoffrey Ndegwa; Dr Thomas Breuer; Prof. Dr Johannes Hamhaber";;DLG-Verlag;Rural21;2011/06;Français;"forest land; forest conservation; forest management plans; sustainable land management; land governance";Land Use, Management & Investment;Forest Tenure;Journal Articles & Books;"Kenya; Rwanda";http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-exploitation-responsable-des-forets/les-combustibles-bois-au-kenya-et-au-rwanda-un-moteur-de-leconomie-des-zones-rurales/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_33-36_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
8;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:8;Flux migratoires internationaux: principales données et tendances;La migration est un phénomène d’une ampleur considérable. La proportion de migrants dans la population des pays industrialisés a doublé au cours des trois dernières décennies et la somme des envois de fonds dans les pays en développement est supérieure à celle des investissements étrangers ou de l’aide internationale. Dans de nombreux pays en développement, le pourcentage de la population travaillant à l’étranger et le pourcentage du produit intérieur brut (PIB) représenté par les envois de fonds sont à deux chiffres. ;"Isolina Boto
";Technical Centre for Agricultural and Rural Co-operation ACP-EU;DLG-Verlag;Rural21;2011/06;Français;"displacement; landlessness; rural population; sustainable development";Access to Land & Tenure Security;Land Conflicts;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-populations-migrantes/flux-migratoires-internationaux-principales-donnees-et-tendances/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_38-41_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
9;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:9;Le développement rural dans un monde en pleine urbanisation;"L’urbanisation est souvent considérée comme ayant des effets néfastes sur le développement rural. En fait, c’est tout le contraire. Les espaces ruraux et urbains, les populations et les entreprises sont étroitement liés et on peut dire avec certitude qu’il n’y a pas de développement rural sans développement urbain et inversement. 
Les petites villes sont le plus souvent négligées aussi bien dans les stratégies de développement rural que dans les stratégies de développement urbain alors qu’elles exercent une fonction essentielle en tant que centres de mobilité et de marché. Cependant, elles ne jouent pas seulement un rôle dans le développement socio-économique, mais offrent également une gamme de services à la population rurale environnante et accueillent les autorités et institutions locales qui exercent une fonction décisive dans tout développement durable.";Cecilia Tacoli;International Institute for Environment and Development;DLG-Verlag;Rural21;2011/06;Français;"urbanization; rural development; rural areas; urban areas; urban population; rural population; local community; sustainable development; land policies; ";Access to Land & Tenure Security;Urban Tenure;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-populations-migrantes/le-developpement-rural-dans-un-monde-en-pleine-urbanisation/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_42-44_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
10;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:10;Le rôle de la migration locale dans le développement de l’Afrique: La mobilité, ça paie;"Les enquêtes menées sur plusieurs années dans la région de Kagera, en Tanzanie, ont montré que la migration a un impact positif sur le niveau de vie des gens, même pour ceux qui restent dans l’agriculture.
 
Par contre, on sait que des migrants se retrouvent dans des environnements sociaux défavorables et on pense que les communautés d’origine traditionnelles protègent leurs moyens de subsistance et leur survie en mettant en place de subtils obstacles à la sortie, sous forme de normes, qui doivent empêcher la migration de leurs membres les plus productifs. Faut-il encourager la migration à tout prix?  ";Joachim De Weerdt;;DLG-Verlag;Rural21;2011/06;Français;"displacement; landlessness; agriculture";Access to Land & Tenure Security;;Journal Articles & Books;"Africa; Tanzania";http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-populations-migrantes/le-role-de-la-migration-locale-dans-le-developpement-de-lafrique-la-mobilite-ca-paie/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_45-47_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
11;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:11;Dynamique démographique et développement rural au Burkina Faso: Des progrès grâce à la crise?;"Peu de pays sont plus caractérisés par la migration et ses répercussions que le Burkina Faso. Au cours des 40 années qui ont suivi l’indépendance, la moitié de la population a fait l’expérience de la migration, qu’il s’agisse de migration transfrontalière de main-d’œuvre (essentiellement vers la Côte d’Ivoire) ou d’une réinstallation permanente dans le pays même (d’une zone rurale à une autre).
 
L’importance de l’émigration a fait que la croissance démographique a semblé relativement faible, malgré le taux élevé de croissance démographique naturelle : La production agricole était également en mesure de suivre la croissance démographique. La crise politique en Côte d’Ivoire a entraîné le retour au pays d’environ 400 000 migrants et a stoppé le flux d’émigrants, ce qui a mis fin à ce scénario positif. Si la production agricole a plus que contrebalancé la croissance démographique au cours de la dernière décennie, c’est grâce à une extension de la superficie cultivée de 48 pour cent. Or, cette expansion ne sera bientôt plus possible compte tenu des ressources naturelles limitées.";"Florent Dirk Thies; Werner Heuler-Neuhaus

 



";;DLG-Verlag;Rural21;2011/06;Français;"rural population; displacement; agricultural land management; agriculture; land conflicts; landlessness; natural resources management";Access to Land & Tenure Security;Land Conflicts;Journal Articles & Books;Burkina Faso;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/theme-phare-populations-migrantes/dynamique-demographique-et-developpement-rural-au-burkina-faso-des-progres-grace-a-la-crise/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_48-50_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
12;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:12;Comment passer de l’aide alimentaire à l’assistance alimentaire;Lancé récemment, le processus de renégociation de la Convention relative à l’aide alimentaire (CAA) est passé pratiquement inaperçu du grand public. Élaborée il y a plus de 40 ans entre 23 pays donateurs, la Convention avait pour objectif d’utiliser les surplus céréaliers pour lutter contre la faim dans les pays en développement. Dans le cadre de cette Convention, l’Allemagne a accepté de fournir chaque année 56,24 millions d’euros d’aide alimentaire. Les engagements signés par les pays donateurs ne sont qu’une des composantes de l’assistance alimentaire mondiale, qui comprend également des instruments bilatéraux et multilatéraux. Mais la CAA est le seul traité international juridiquement contraignant à s’être engagé en faveur de l’assistance aux pays en développement.;Constanze von Oppeln-Bronikowski;Welthungerhilfe;DLG-Verlag;Rural21;2011/06;Français;"sustainable development; development agencies; food security";;Land & Food Security;Journal Articles & Books;"Global; Germany";http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/opinions/comment-passer-de-laide-alimentaire-a-lassistance-alimentaire/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_19_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
13;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:13;Évaluation des crises alimentaires mondiales 2008–2011 : Le monde manque clairement de mesures de grande ampleur;"La crise des prix alimentaires qui sévit actuellement est la
conséquence d’années de négligences en matière d’investissement public et d’absence de soutien à l’innovation agricole dans de nombreux pays en développement, du peu d’attentionportée à l’agriculture dans la coopération au développement, et de politiques de subvention inappropriées en faveur de l’énergie d’origine agricole dans les pays industrialisés (qui préfèrent le carburant aux denrées alimentaires). Cette crise a ensuite été déclenchée par des événements météorologiques défavorables, puis exacerbée par les restrictions à l’exportation, l’absence de régulation appropriée du commerce des marchandises et la spéculation. Le changement climatique accroîtra encore les risques auxquels le système alimentaire mondial se verra confronté à l’avenir.";Professor Dr Joachim von Braun;;DLG-Verlag;Rural21;2011/06;Français;"food security; sustainable development; agricultural land management; farming systems; land policies; climate change; environment";Land Use, Management & Investment;"Land & Food Security; Land, Climate change & Environment";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/opinions/evaluation-des-crises-alimentaires-mondiales-2008-2011-le-monde-manque-clairement-de-mesures-de-grande-ampleur/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_20-21_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
14;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:14;Feu vert pour REDD+;"Chaque année, 13 millions d’hectares de forêts sont perdus
dans le monde, ce qui représente la superficie globale de
l’Autriche et de la Suisse réunies. Cette déforestation touche
à raison de 90 pour cent des forêts tropicales. La perte de
forêts a des effets dévastateurs sur le climat et est la source
de 15 % à 20 pour cent des émissions mondiales de gaz à
effet de serre. Si l’on veut maintenir le réchauffement de la
planète en-dessous du seuil critique de 2 °C, les pertes de
forêts et la dégradation doivent être enrayées sans délai. En
2005, la Convention-cadre des Nations unies sur le changement climatique (CCNUCC) a reconnu l’importance des
forêts pour le climat mondial. Depuis lors, des États parties
de la CCNUCC s’efforcent de développer un mécanisme
qui, en procurant des incitations financières aux pays en
développement, les engage à conserver leurs forêts en tant
que puits de carbone et à éviter ainsi les émissions dues à la
déforestation et à la dégradation des forêts. Ce mécanisme
est appelé REDD+ (Reducing Emissions from Deforestation
and Degradation – réduction des émissions de CO2 dues à
la déforestation et à la dégradation).";Hermine Kleymann;World Wildlife Fund;DLG-Verlag;Rural21;2011/06;Français;"forest land; forestry; deforestation; environment; climate change; sustainable land management; sustainable land use; development agencies";Land Use, Management & Investment;"Forest Tenure; Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/opinions/feu-vert-pour-redd/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_37_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
15;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:15;Le Cobaye, gage de sécurité alimentaire et source de revenus;"Le Sud-Kivu est l’une de 11 provinces de la République démocratique du Congo qui a connu une série de guerres à répétition. Le cheptel animal (bovin, ovin, caprin, etc.) a été pillé et, dans certaines circonstances, des récoltes ont été ravagées et/ou emportées au détriment des petits producteurs. La pauvreté et l’insécurité alimentaire n’ont fait que gagner vertigineusement du terrain.
 
Face à cette situation, le cobaye s’est frayé un chemin. Il a balayé tous les dédais et tabous dont il était, jadis, victime. Il était considéré appartenir à famille des rats et souris et, par conséquent, sa viande ne devait pas être consommée. ";Thierry Metre;;DLG-Verlag;Rural21;2011/06;Français;"food security; rural development; rural population; farming systems; sustainable land management;";Land Use, Management & Investment;Land & Food Security;Journal Articles & Books;Democratic Republic of Congo;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/plate-forme-internationale/le-cobaye-gage-de-securite-alimentaire-et-source-de-revenus/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_51-53_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
16;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:16;Adapter l’agriculture africaine au changement climatique;"Le changement climatique exacerbe la situation de pauvreté dans les pays en développement. L’Afrique rurale est particulièrement touchée par ce phénomène. Bien que des mesures d’adaptation efficaces soient connues et aient été intégrées dans les plans d’action nationaux pour l’adaptation au changement climatique, les financements internationaux ne suivent pas et ne suffisent pas à répondre aux besoins.
 
D’une part, les engagements souscrits par les pays à l’origine du changement climatique sont insuffisants, de l’autre, ils privilégient les projets d’atténuation au lieu de se concentrer sur des mesures d’adaptation en milieu rural. En outre, seule une faible proportion des fonds promis bénéficie au continent africain. ";"Christine Chemnitz; Heike Höffler
";"
";DLG-Verlag;Rural21;2011/06;Français;"climate change; environment; development; rural areas; sustainable land management; development agencies";Land Use, Management & Investment;"Land, Climate change & Environment; Land Stakeholders & Institutions";Journal Articles & Books;Africa;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/plate-forme-internationale/adapter-lagriculture-africaine-au-changement-climatique/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_54-57_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
17;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:17;Des cordons pierreux contre la désertification;"Au Burkina Faso, le potentiel en terres arables à vocation agricole est épuisé. À l’avenir, la population en rapide expansion ne pourra être nourrie que s’il est possible d’accroître les rendements sur les terres cultivées existantes. Grâce à la construction de cordons pierreux le long des courbes de niveau, il est possible de mieux exploiter l’eau de pluie et de stopper l’érosion. 

En combinaison avec l’épandage de fumier organique, les agriculteurs parviennent ainsi à doubler les rendements de céréales. Les agriculteurs investissent beaucoup de travail non rémunéré, mais ont besoin d’un soutien pour le transport des pierres. Les activités des projets couronnés de succès ne devraient donc pas être interrompues, mais au contraire être poursuivies et étendues.
";Melchior Landolt;;DLG-Verlag;Rural21;2011/06;Français;"farmland; agriculture; rural population; sustainable land use; desertification; environment";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Burkina Faso;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/plate-forme-internationale/des-cordons-pierreux-contre-la-desertification/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_58-59_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
18;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:18;Trouver un juste équilibre entre la satisfaction des besoins de subsistance et la protection de l’environnement;"Les populations vivant aux alentours d’aires protégées doivent développer de nouveaux moyens de subsistance pour assurer leur survie. Les populations riveraines des forêts dépendent souvent de l’utilisation des produits et services que leur offrent les ressources naturelles. L’exploitation de ces produits jadis «gratuits» est aujourd’hui réglementée et limitée, notamment pour des raisons environnementales. 

Comment trouver un juste équilibre entre les besoins des riverains pauvres et les impératifs de conservation de la riche diversité ? L’article traite des capacités d’adaptation des ménages, des nouvelles sources de moyens d’existence et des facteurs d’amélioration";"Dr Karin Gaesing
";;DLG-Verlag;Rural21;2011/06;Français;"rural population; forest land; forestry; land use; sustainable land use; natural resources management; environment; farming systems";Land Use, Management & Investment;Land, Climate change & Environment;Journal Articles & Books;Global;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/plate-forme-internationale/trouver-un-juste-equilibre-entre-la-satisfaction-des-besoins-de-subsistance-et-la-protection-de-lenvironnement/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_60-63_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
19;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:19;À l’écoute des consommateurs: Adapter les chaînes de valeur du riz africain aux marchés urbains;"En réponse à la crise alimentaire de 2008, le Sénégal a préparé un ambitieux programme d’autosuffisance alimentaire visant à assurer l’intégralité de la consommation nationale de riz avec du riz local d’ici à 2015, essentiellement grâce à des investissements massifs dans les périmètres existants et nouveaux de production de riz dans la Vallée du fleuve Sénégal. 

Reste à voir comment la fulgurante croissance de la production prévue atteindra les marchés urbains où le produit est souvent méconnu ou peu apprécié. Dans le présent article, les auteurs soulignent par conséquent le rôle des programmes de promotion générique dans l’adaptation des nouvelles chaînes de valeur du riz local de qualité aux exigences des consommateurs urbains.
";"Amy C. Rizzotto; Matty Demont";"
";DLG-Verlag;Rural21;2011/06;Français;"food security; land management; farming systems; urban population";Land Use, Management & Investment;Land & Food Security;Journal Articles & Books;Senegal;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/plate-forme-internationale/a-lecoute-des-consommateurs-adapter-les-chaines-de-valeur-du-riz-africain-aux-marches-urbains/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_64-65_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
20;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:20;Un pas de plus dans la lutte contre la trypanosomiase;"Une équipe internationale de chercheurs a identifié deux gènes qui ont un rapport avec les résistances contre la trypanosomiase. La maladie est provoquée par des parasites unicellulaires du groupe des trypanosomes, qui sont transmis par la mouche tsé-tsé, et elle occasionne des dommages estimés à 4–5 milliards de dollars US par an. Ce sont particulièrement les éleveurs de bovins vivant dans ce qui est appelé la «ceinture tsé-tsé» de l’Afrique, qui va du Sénégal à la Tanzanie et du Tchad au Zimbabwe, qui sont particulièrement touchés. Les animaux atteints sont affaiblis, ne peuvent plus être utilisés pour les travaux des champs, cessent de produire du lait et meurent la plupart du temps. 
";;International Livestock Research Institute;DLG-Verlag;Rural21;2011/06;Français;"development agencies; sustainable development";;;Journal Articles & Books;"Senegal; Tanzania; Chad; Zimbabwe";http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/monde-scientifique/un-pas-de-plus-dans-la-lutte-contre-la-trypanosomiase/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_66-67_2-2011.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
21;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:21;Un gène «étanchéifiant» pourrait protéger le riz de la sécheresse;"Les chercheurs de l’université de Californie font état d’une surprenante découverte: un gène qui «étanchéifie» les plants de riz les protège également de la sécheresse. Le gène Sub1a, naturellement présent dans certaines variétés à faible rendement, en Inde, a été découvert dans les années 1990 à l’Institut international de recherche sur le riz, aux Philippines. 

Des recherches menées ultérieurement ont montré que lorsque ce gène est inoculé à des variétés à haut rendement, il peut protéger le riz immergé dans des rizières inondées. Les chercheurs californiens ont réussi à élucider le mécanisme en question: le gène Sub1A coordonne la façon dont les cellules végétales réagissent à la déshydratation qui se produit pendant les périodes de sécheresse, mais également à la suite d’une période de submersion aquatique. Le gène aide le riz à récupérer après une inondation, lorsqu’il se déshydrate après une soudaine exposition à des conditions de sécheresse. ";"Amy C. Rizzotto; Matty Demont";;DLG-Verlag;Rural21;2011/06;Français;"research; farming systems; land management; farmers";Land Use, Management & Investment;;Journal Articles & Books;Philippines;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/monde-scientifique/un-gene-etancheifiant-pourrait-proteger-le-riz-de-la-secheresse/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_64-65_2-2011_01.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
22;Initiatives en faveur de la sécurité alimentaire, Exploitation responsable des forêts, Populations migrantes;Rural21-Vol:18-Nr:2/2011-Article:22;Une algue pour lutter contre le paludisme?;"Une algue rouge vivant dans la mer qui baigne les îles Fidji pourrait contribuer à lutter contre le paludisme. Une équipe de chercheurs américains a découvert que l’algue Callophycus serratus contient des composés chimiques capables de détruire le parasite responsable du paludisme, le Plasmodium falciparum. Cette algue produit diverses substances antimicrobiennes qui semblent agir essentiellement contre les champignons microscopiques.

 Toutefois, comme l’ont montré des essais en laboratoire, elles sont également efficaces contre plusieurs bactéries, par exemple le SARM des hôpitaux et mêmes des cellules cancéreuses. Les chercheurs déclarent que même de faibles concentrations de ces substances pourraient également détruire les parasites responsables du paludisme, mais que des travaux approfondis sont encore nécessaires avant de pouvoir les utiliser dans des médicaments. Ainsi, des tests doivent être réalisés pour s’assurer que les composés sont inoffensifs pour l’homme et l’animal. ";"Amy C. Rizzotto; Matty Demont";;DLG-Verlag;Rural21;2011/06;Français;"research; farming systems; land management; farmers";Land Use, Management & Investment;;Journal Articles & Books;Fiji;http://www.rural21.com/francais/archive-2005-2011/archive2011-02fr/monde-scientifique/une-algue-pour-lutter-contre-le-paludisme/;http://www.rural21.com/fileadmin/_migrated/content_uploads/rural_fr_64-65_2-2011_02.pdf;private://feeds/Rural21_2011-02_fr.jpg;All rights reserved;1866-0002
