Link to the original website;ID;Title;Publicaton date (YYYY/MM);Thumbnail;Authors;Abstract/Description;Link to the publication;Publishers;Geographical focus;Language;Resource types;Open Access;Related Concepts;Themes;Overarching Categories
http://salandobservatory.org/2015/10/extension-of-security-tenure-amendment-bill-b24-2015-briefing-by-department-of-rural-development-and-land-reform/;salo:1634;Extension of Security Tenure Amendment Bill [B24-2015]: briefing by Department of Rural Development and Land Reform;21/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Deputy Minister of the Department of Rural Development and Land Reform (DRDLR), addressed the Committee on the motivation for the amendments to the Extension of security of tenure (land) Amendment Bill, saying the fundamental resolve was to overcome decades of hardship in South Africa. Its redress was not about obsolete political stories, but about the creation of just opportunities.;https://pmg.org.za/committee-meeting/21679/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;rural development;security of tenure (land);eviction;property;farmers;farming systems;compensation;rural population;local community;property law";Land Stakeholders & Institutions;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/10/ingonyama-trust-board-on-its-201415-annual-report/;salo:1636;Ingonyama Trust Board on its 2014/15 Annual Report;15/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Ingonyama Trust Board (the Trust) presented its Annual Report for the 2014/2015 financial year. The Trust had committed R6 000 000 for the purchase of tractors to support production on communal land and noted that substantial sums of money were paid out for the benefit of 120 Learners. Employment, HR and vacancy figures were given. The Trust highlighted some performance statistics. In this year, the Board had approved 1 100 tenure rights, falling short of the target of 1 200. Thirty one traditional council workshops were held, but the Trust did not manage to target or review HR or legal policies as it had hoped.;https://pmg.org.za/committee-meeting/21624/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"communal ownership;land tenure systems;land policies;legal empowerment;land acquisitions;rural development;land reform";Indigenous & Community Land Rights;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/10/department-of-rural-development-and-land-reform-ingonyama-trust-commission-on-restitution-of-land-rights-on-their-201415-annual-reports-audit-outcomes-by-auditor-general/;salo:1639;"Department of Rural Development and Land Reform; Ingonyama Trust; Commission on Restitution of Land Rights on their 2014/15 Annual Reports; Audit outcomes by Auditor-General";14/10/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;A representative of the Auditor-General South Africa (AGSA) briefed the Committee on the audit outcomes and expenditure patters in the rural development portfolio for the 2014/2015 financial year. The quality of submitted financial statements for the Agricultural Land Holding Account (ALHA) was good but needed improvement. The quality of submitted performance reports for Ingonyama Trust Board (ITB) was good but required intervention from the Department of Rural Development and Land Reform (DRDLR or the Department). The supply chain management for the Deeds Registration Trading Account (Deeds)was good, but, like ITB, it required intervention. Financial health for Deeds was good but showed stagnant or limited progress as human resource management  was a concern. Information Technology for DRDLR and Deeds required intervention. Root causes of stagnant or limited progress included the slow response by management in the case of DRDLR, ALHA and ITB in 2014/15 and DRD, and ALHA and Deeds in 2013/14. The  2014-15 DRDLR and ITB reports were considered reliable and useful. There were instances of non compliance with legislation and with irregular, or fruitless or wasteful expenditure.;https://pmg.org.za/committee-meeting/21612/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;farmland;land reform;land rights;land acquisitions;cadastral administration;title deed;land use;land cover";;"Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/09/ingonyama-trust-board-committee-oversight-reports/;salo:1641;"Ingonyama Trust Board & Commission on Restitution of Land Rights 1st Quarter 2015/16 performance; Committee Oversight Reports";02/09/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Commission on Restitution of Land Rights (the Commission) presented its expenditure trends and financial and performance report for the 1st quarter of the 2015/16 financial year. The performance was fully described by noting the achievements and the targets. In the first quarter, there was a target to settle 92 land claims but the Commission settled 38. 57 land claims were finalised against a quarterly target of 74. Eight projects were approved, against a quarterly target of 12. From the 1998 land claims, 195 land claims were researched compared to the quarterly target of 532.;https://pmg.org.za/committee-meeting/21456/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;rural development;private ownership;land ownership;land policies;research;land rights";;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/08/department-of-rural-development-on-its-4-quarter-201415-1st-quarter-201516-performance-financial-and-fiscal-commission-analysis/;salo:1645;Department of Rural Development on its 4 Quarter 2014/15 & 1st quarter 2015/16 performance & Financial and Fiscal Commission analysis;19/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The Committee was briefed by the Financial and Fiscal Commission (FFC) on the expenditure trends and performance of the Department of Rural Development and Land Reform (DRDLR) and its entities for 2014/15 and the first quarter of the 2015/16 financial year.

The FFC said the rural share of poverty fell from 70% in 1993 to 57% in 2008 as a result of an improvement in household welfare due to social grant expenditure and migration to urban areas. Access to basic services had increased, but at slower pace than in urban areas. Rural areas were still characterized by significant poverty and inequality, however. As many as one in five children experienced stunted growth, and rural households paid more for a basket of food than urban households. There was extreme differentiation in rural towns in terms of settlement types and economic activity.";https://pmg.org.za/committee-meeting/21355/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural areas;food security;poverty;land reform;farming systems;rural development;land acquisitions;urban areas;land use planning";Land & Food Security;Land Use, Management & Investment
http://salandobservatory.org/2015/08/rama-and-riemvasmaak-challenges-department-progress-report-spatial-planning-land-use-management-act-implementation-committee-oversight-visit-report/;salo:1648;"Rama and Riemvasmaak challenges: Department progress report; Spatial Planning Land Use Management Act implementation; Committee Oversight Visit Report";12/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Department of Rural Development and Land Reform (DLDLR) provided a progress report on its interventions to address the challenges arising from the actions of the Rama Communal Property Association (CPA). The CPA had initiated some income generating activities on its land, which included a quarry business, and had started a museum and an entertainment centre that featured a cinema. In partnership with the Tshwane Metropolitan Municipality and private investors the CPA was in the process of developing houses on its land. The Rural Land Claims Commissioner (RLCC) had tried unsuccessfully to intervene, but due to the failure of mediation, the RLCC had instituted proceedings to place the CPA under administration.The application had been unsuccessful on the grounds of locus standi, and it was noted that new proceedings by the Department aiming at placing the CPA under administration had been instituted in the Northern Gauteng high court. A rule nisi order had been granted, requiring the CPA to hand its books over to the Department.;https://pmg.org.za/committee-meeting/21306/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land;land rights;land reform;property rights;property law;communal ownership";Indigenous & Community Land Rights;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/08/commission-on-restitution-of-land-rights-on-its-201415-annual-report/;salo:1651;Commission on Restitution of Land Rights on its 2014/15 Annual Report;05/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The Committee on Rural Development and Land Reform was briefed by the Commission on Restitution of Land Rights (CRLR) on its 2014/15 annual report. The Commission had exceeded its targets by settling 428 new claims against a target of 379; finalising 372 claims against a target of 239; approving 119 projects against a target of 53; researching 1 525 claims against a target of 1 445; establishing 14 operational claims lodgement offices; and acquiring four mobile lodgement offices.";https://pmg.org.za/committee-meeting/21244/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;land reform;land rights;land acquisitions";;Access to Land & Tenure Security
http://salandobservatory.org/2015/06/one-district-one-agri-park-implementation-in-context-of-rural-economic-transformation-model/;salo:1653;One District-One Agri-Park implementation in context of Rural Economic Transformation Model;24/06/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Department of Agriculture Forestry and Fisheries (DAFF) and the Department of Rural Development and Land Reform (DRDLR) jointly presented on the implementation of the One District, One Agri-Park programme in the context of the framework of the rural economic transformation model.;https://pmg.org.za/committee-meeting/21141/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;land reform;agriculture;land;capacity building;research;tenants;commons;common rights";;
http://salandobservatory.org/2015/06/communal-property-associations-201415-report-briefing-with-minister-of-rural-development-and-land-reform/;salo:1655;Communal Property Associations 2014/15 Report: briefing with Minister of Rural Development and Land Reform;17/06/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;Members expressed concern that the Communal Property Associations Annual Report 2014/5 had not been signed by the Minister nor tabled in Parliament yet. The Committee agreed that it could not consider the Department’s presentation because the corresponding report had not been submitted to them in advance. The Deputy Director-General of the Department explained the delay and the Minister apologised to the Committee. The meeting was then adjourned.;https://pmg.org.za/committee-meeting/21104/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"communal ownership;property rights";Indigenous & Community Land Rights;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/05/department-of-rural-development-and-land-reform-response-to-south-african-human-rights-commission-recommendations-with-deputy-minister-in-attendance/;salo:1657;Department of Rural Development and Land Reform response to South African Human Rights Commission recommendations, with Deputy Minister in attendance;27/05/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The Deputy Minister tendered apologies on behalf of the Minister and the Director General for their absence due to other ministerial commitments.

The Commission on Restitution of Land Reform (Commission) briefed the Committee on responses to the South African Human Rights Commission (SAHRC) findings on systematic challenges affecting land restitution in South Africa. The brief focussed on the background of the SAHRC investigative hearing, summary of the findings of the SAHRC, strategic plan of the commission, and response on each finding and recommendations of the SAHRC.";https://pmg.org.za/committee-meeting/20970/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land;land reform;mining;security of tenure (land);willing seller;research";;Access to Land & Tenure Security
http://salandobservatory.org/2015/05/land-rights-management-facility-fourth-quarter-2014-report-department-of-rural-development-land-reform-briefing-with-input-from-minister/;salo:1659;Land Rights Management Facility Fourth Quarter 2014 report: Department of Rural Development & Land Reform briefing, with input from Minister;20/05/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Department of Rural Development and Land Reform (DRDLR) and the Minister briefed the Committee on the performance, outcomes and challenges of the Land Rights Management Facility, presenting the Fourth Quarter 2014 report, and also touching on the Extension of security of tenure (land) Amendment Bill. It was noted that the Land Rights Management Facility (LRMF) tried to facilitate provision of specialised legal and mediation services to indigent communities and individuals faced with violations of their rights pertaining to land and livelihood. It would also regularise and support dysfunctional Community Property Associations, and administer legal and mediation assistance. The majority of cases dealt with through the LRMF pertained to evictions, but it was pointed out that the LRMF had no ability to influence whether cases did proceed to court, and it was thus very difficult for it to budget accurately for these matters, nor could it influence the outcomes or the time taken. At the moment, the LRMF had resolved 147 disputes through mediation, and evictions made up around 31% of cases overall.;https://pmg.org.za/committee-meeting/20908/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land rights;security of tenure (land);legal empowerment;land;community land rights;communal ownership;eviction";Indigenous & Community Land Rights;Access to Land & Tenure Security
http://salandobservatory.org/2015/05/department-of-rural-development-land-reform-its-entities-on-4th-quarter-expenditure-trends-outcomes-against-201415-strategic-plans-app/;salo:1661;Department of Rural Development & Land Reform & its entities on 4th quarter expenditure trends & outcomes against 2014/15 Strategic Plans & APP;13/05/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The Department of Rural Development and Land Reform (DRDLR) and the Ingonyama Trust Board presented their fourth quarter performance and financial reports for 2014-15. The Committee also received at status report on the Riemvasmaak community claim.

The Department reported that it had achieved 55% of its targets during the fourth quarter, bringing its cumulative achievement for the full year to 59%. Expenditure amounted to R9.4 billion for the year which represented 99.4% of the amount allocated, leaving unspent funds of R59.5 million. The biggest contributor to the unspent funds was the programme on goods and services, as well as projects that could not be finalised. Issues of efficiencies around transportation and accommodation contributed to some of the money that had been unspent.";https://pmg.org.za/committee-meeting/20858/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;rural population;local community;sustainable development;communal ownership;community land rights;landlessness;legal empowerment";"Land Stakeholders & Institutions;Indigenous & Community Land Rights;Socio-Economic & Institutional Context";Access to Land & Tenure Security
http://salandobservatory.org/2015/04/committee-report-on-department-of-rural-development-land-reform-budget-riemvasmak-rama-communal-property-association-progress-reports/;salo:1663;Committee Report on Department of Rural Development & Land Reform Budget, Riemvasmak & Rama Communal Property Association progress reports;29/04/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The meeting began with the adoption of the draft report on the budget vote 39, where a number of small issues were raised, including typos and minor amendments. The main thrust of the changes was that the Land Claims Court should be given greater priority, and a policy needed to be put in place to help with alleviating the bottlenecks in these courts. The adoption of the report became heated when the DA abstained from approving it, even though they had been a part of the process from the beginning. The ANC Members called this an abuse of power, and demanded that the DA Members explain themselves. Finally, the DA confirmed that they needed time to speak with their constituents and other portfolio committee members about the budgeted amount.;https://pmg.org.za/committee-meeting/20757/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land policies;land reform;rural development;communal ownership;community land rights;land ownership";Indigenous & Community Land Rights;"Land Policy & Legislation;Access to Land & Tenure Security"
http://salandobservatory.org/2015/04/commission-on-restitution-of-land-rights-on-strategic-annual-performance-plan-201516/;salo:1666;Commission on Restitution of Land Rights on Strategic & Annual Performance Plan 2015/16;16/04/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Chief Land Claims Commissioner from the Commission of Restitution of Land Rights presented the strategic plan for 2015-2020 as well as the Annual Performance Plan 2015/2016 to the Committee. She emphasised that there was still a need for the Commission to be clearly delineated in function and fact from the Department of Rural Development and Land Reform (DRDLR) particularly since the Commission reported directly to the Minister. It was later noted that it was already part way on the process, with the electronic record shift being completed, and part of the restitution function, but that it was still administratively dependent on that Department. The issue of inadequate communication and awareness-raising on the part of the Commission was acknowledged, and there were efforts already directed to resolving that, including the unveiling for use, in the current year, of mobile lodgment offices.;https://pmg.org.za/committee-meeting/20682/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land rights;agriculture;forestry;fisheries";Forest Tenure;"Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/03/httpspmg-org-zacommittee-meeting20111/;salo:1671;Department of Rural Development & Land Reform: 3rd quarter 2014/15 performance & progress report on its DPME MPAT evaluation;04/03/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The Department of Rural Development and Land Reform (DRDLR) briefed the Committee on its third quarter 2014/15 performance and progress on the recommendations made by the Department of Performance Monitoring and Evaluation (DPME) and the Management Performance Assessment Tool (MPAT) evaluation.

The organisational programme performance for the third quarter of the 2014/15 financial year was covered, in line with the five programmes of the Department — Administration, Geospatial and Cadastral Services, Rural Development, Restitution and Land Reform. The performance recorded over the period under review was compared against the targets that had been set in the 2014/15 Annual Performance Plan (APP). The performance of the Department had declined in the period under review to 24%, compared to 44% achieved in 2013/14 and 30% in 2012/2013. The Department had achieved 24% of its quarter 3 planned APP targets, and 37% cumulatively. Extensive details were provided of challenges affecting the achievement of objectives, most of which were related to budget and capacity constraints.";https://pmg.org.za/committee-meeting/20111/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"cadastral administration;rural development;land reform;communal ownership;community land rights";Indigenous & Community Land Rights;Access to Land & Tenure Security
http://salandobservatory.org/2015/02/recapitalisation-and-development-programme-public-hearings-committees-draft-report/;salo:1674;Recapitalisation and Development Programme public hearings: Committee’s draft report;25/02/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;"The draft report on  the public hearings on the Implementation of the Recapitalization and Development Programme (RDP) of the Department of Rural Development and Land Reform (the Department) was presented before the Committee for approval and comments. The main issues that arose in the approval of the draft report were the oversight role of the Committee, sustainability and implementation.

The Committee had some discussion whether to include the findings and policy, summary and outline of implementation drawn by the Business Enterprise, University of Pretoria. The study report, covering the period from 2010,  was a joint effort between the University of Pretoria (UP) and the Department of Performance Monitoring and Evaluation (DPME). There were concerns that by simply adopting and incorporating the findings and recommendations of the study report, the Committee would be delegating its oversight role over the Department of Rural Development and Land Reform (DRDLR) to the DPME. The study report, though conclusive, was viewed as a submission to the Committee, and though many of the findings of the draft report were aligned to the study report, it was decided that it should retain that status.";https://pmg.org.za/committee-meeting/20057/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"development;land reform;rural development;sustainable development;land policies";Socio-Economic & Institutional Context;Land Policy & Legislation
http://salandobservatory.org/2015/02/recapitalisation-and-development-programme-implementation-public-hearings-day-2/;salo:1676;Recapitalisation and Development Programme implementation: Public hearings day 2;05/02/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Committee received submissions from the Langa Livestock Farmers Association, The Congress of South African Trade Unions and its affiliate, the National Education, Health and Allied Workers Union, the Legal Resources Centre and the Institute for Poverty, Land and Agrarian Studies on the second day of public hearings on the Recapitalisation and Development Programme (RADP).;https://pmg.org.za/committee-meeting/19980/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"development;land reform;rural development;sustainable development;land policies";Socio-Economic & Institutional Context;Land Policy & Legislation
http://salandobservatory.org/2015/02/recapitalisation-and-development-programme-implementation-public-hearings/;salo:1679;Recapitalisation and Development Programme implementation: Public hearings;04/02/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Chairperson introduced the first day of public hearings on the Recapitalisation and Development Programme (RADP) in the agricultural sector by noting that the Committee had done oversight in the Northern Cape of the farms that were beneficiaries of the programme, and now wanted to hear the outcomes of the independent evaluation of the programme, and also hear from beneficiaries.;https://pmg.org.za/committee-meeting/19977/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"development;land reform;rural development;sustainable development;land policies";Socio-Economic & Institutional Context;Land Policy & Legislation
http://salandobservatory.org/2015/03/ingonyama-trust-board-3rd-quarter-201415-performance-report/;salo:1685;Ingonyama Trust Board 3rd Quarter 2014/15 Performance Report;11/03/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Committee was briefed by the Ingonyama Trust Board (ITB) on its third quarter 2014/15 performance and financial report. Apologies were received from the Minister and Deputy Minister. At the outset, Members expressed their dismay that the ITB was reporting from a document that contained different figures to the one sent through to Members earlier, and it was difficult to follow the presentation. Secondly, several commented that the reporting format was problematic, as it did not conform to standard practices nor terminology as used in the Public Finance Management Act. This was something that the Committee had previously pointed out and it again asked it to seek assistance in the reporting format from the Department of Rural Development and Land Reform (DRDLR). The Board was left in no doubt that its professionalism was in doubt when the documents were not checked before being sent to Members and when queries on figures could not be answered up front.;https://pmg.org.za/committee-meeting/20491/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;compensation;land policies";;Land Policy & Legislation
http://salandobservatory.org/2015/06/comprehensive-rural-development-programme-evaluation-report-by-department-of-performance-monitoring-and-evaluation-dpme-with-minister-present/;salo:1688;Comprehensive Rural Development Programme: Evaluation report by Department of Performance, Monitoring and Evaluation (DPME), with Minister present;03/06/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Committee received a presentation of the evaluation report on the implementation of the Comprehensive Rural Development Programme (CRDP) by the Department of Perfomance, Monitoring and Evaluation (DPME). The National Evaluation Plan (NEP) containing 52 evaluations that cut across government had been approved by Cabinet in 2012/13. There were eight evaluations in the rural development sector and the CRDP was one of the key programmes implemented since 2009. 2009 marked the first time that government would begin to put forward a comprehensive response to deal with the complexities of rural development. Evaluations had been jointly shared by the DPME and Department of Rural Development and Land Reform (DRDLR) and after all deliberations had been concluded on the findings, an improvement plan had then been developed to correct the areas of disputes.;https://pmg.org.za/committee-meeting/21020/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;food security;rural population;local community;land access;communal territory;rural areas;land reform";"Land Stakeholders & Institutions;Indigenous & Community Land Rights;Land & Food Security";"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2015/08/spatial-planning-land-use-management-act-implementation-rama-and-riemvasmaak-challenges-department-progress-report-committee-oversight-visit-report/;salo:1691;"Spatial Planning Land Use Management Act implementation; Rama and Riemvasmaak challenges: Department progress report; Committee Oversight Visit Report";12/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Ms P Ngwenya-Mabila;The Department of Rural Development and Land Reform (DLDLR) provided a progress report on its interventions to address the challenges arising from the actions of the Rama Communal Property Association (CPA). The CPA had initiated some income generating activities on its land, which included a quarry business, and had started a museum and an entertainment centre that featured a cinema. In partnership with the Tshwane Metropolitan Municipality and private investors the CPA was in the process of developing houses on its land. The Rural Land Claims Commissioner (RLCC) had tried unsuccessfully to intervene, but due to the failure of mediation, the RLCC had instituted proceedings to place the CPA under administration.The application had been unsuccessful on the grounds of locus standi, and it was noted that new proceedings by the Department aiming at placing the CPA under administration had been instituted in the Northern Gauteng high court. A rule nisi order had been granted, requiring the CPA to hand its books over to the Department.;https://pmg.org.za/committee-meeting/21306/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land use planning;land use;land reform;communal ownership;land;land administration;poverty;compensation;rural development";Indigenous & Community Land Rights;Land Use, Management & Investment
http://salandobservatory.org/2015/08/operation-phakisas-offshore-oil-and-gas-exploration-department-of-mineral-resources-briefing/;salo:1694;Operation Phakisa’s Offshore Oil and Gas Exploration: Department of Mineral Resources briefing;04/08/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr O Sefako;The Department of Mineral Resources is attempting to develop oil and gas drilling in South Africa through Operation Phakisa. The project is still in the early stages of research and exploration, but the Department aims to have 30 wells built in 10 years. DME estimates very roughly, that as many as 9 billion barrels of oil and 9 billion barrels of gas could be within South African borders, and many national and international companies have expressed interest in investing in South African drilling. The Department is emphatic that amendments to the Mineral and Petroleum Resources Development Act (MPRDA) must be passed by the National Assembly, and they point out that progress on the Offshore Oil and Gas Exploration project is on or ahead of schedule.;https://pmg.org.za/committee-meeting/21235/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"research;investment funds;development;land investments;natural resources management;mining";Land & Investments;Land Use, Management & Investment
http://salandobservatory.org/2015/03/department-of-rural-development-and-land-reform-department-of-environmental-affairs-on-their-201314-annual-reports/;salo:1696;Department of Rural Development and Land Reform & Department of Environmental Affairs on their 2013/14 Annual Reports;17/03/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;;While the Committee was waiting for delegates from the Departments of Rural Development and Land Reform (DRDLR) and Environmental Affairs (DEA) to arrive, it had time to engage on other matters which were not on the agenda. Members were told the Committee had received a late invitation from the DRDLR to attend an indaba in Johannesburg on March 20. They agreed to seek more details on the event before deciding whether Members should attend. Minutes of the February 24 meeting were adopted without any corrections. A Member complained that departments were undermining the Committee by not supplying documents on time. Another was concerned that booking more than one Department for a one-session meeting meant that Members did not have time for questions. They also said presentations to the National Council of Provinces (NCOP) should focus on the provinces.;https://pmg.org.za/committee-meeting/20511/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land reform;environment;rural development";Land, Climate change & Environment;
http://salandobservatory.org/2015/07/linking-food-security-projects-fetsa-tlala-with-agri-parks-briefing-by-department-of-agriculture-forestry-fisheries/;salo:1698;Linking food security projects (Fetsa Tlala) with Agri-parks: briefing by Department of Agriculture, Forestry & Fisheries;28/07/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr O Sefako;The Department of Agriculture, Forestry, and Fisheries is currently developing a project in conjunction with the Department of Rural Development and Land Reform (DRDLR) to create Agri-parks in locations throughout South Africa. These Agri-parks aim to involve smallholders and local producers in the entire process of agriculture to address both food security and poverty. The Department hopes to fight issues such as the 14 million hungry South Africans, unused potential farmland, and the inequality between private agricultural business and the people. The Department recognised that similar programmes exist, such as the Fetsa Tlala programme, but assured the committee that Agri-parks would take a much more holistic approach to addressing and developing entire communities and exposing the people to economic value chains.;https://pmg.org.za/committee-meeting/21193/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"rural development;forestry;agriculture;fisheries;land reform;food security;poverty;farmland";"Forest Tenure;Land & Food Security";Land Use, Management & Investment
http://salandobservatory.org/2015/06/application-and-consultation-process-for-mining-rights-department-of-mineral-resources-performance-and-challenges/;salo:1700;Application and Consultation process for mining rights: Department of Mineral Resources performance and challenges;02/06/2015;https://i2.wp.com/salandobservatory.org/wp-content/uploads/2015/11/PMG.png;Mr O Sefako;The Department of Mineral Resources (DMR) has nine regional offices and three satellite offices. It explained that there were business processes in place to guide the application and consultation process. It emphasised that the primary duty to consult rested with an applicant for a mining permit and a prospecting, exploration, production or mining right. Applications for rights and permits were lodged online using the South African Mineral Resources Administration System (SAMRAD). To assist applicants with the consultation process guidelines and templates were published on the DMR website and on SAMRAD which were reviewed periodically.;https://pmg.org.za/committee-meeting/20987/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"mining;natural resources management;rural population;local community;land use;land law";Land Stakeholders & Institutions;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
http://salandobservatory.org/2016/02/commission-on-restitution-of-land-rights-2nd-3rd-quarter-201516-performance-with-deputy-minister/;salo:3764;Commission on Restitution of Land Rights 2nd & 3rd Quarter 2015/16 performance, with Deputy Minister;24/02/2016;private://feeds/SALO-thumbnail.png;Ms P Ngwenya-Mabila;"The Committee welcomed the Quarterly Reports as they showed the progress that had been made in dealing with claims. However discomfort was expressed at the pace of restitution. The Committee was very interested in the research aspect of the Commission’s brief. They asked whether, after involving research institutions, the 1 036 claims that were supposed to be researched as part of the target, would be fully dealt with; how this research was done; which service organisations assisted with the research; if the staff who dealt with research were properly trained; and if the Commission was capacitated to reach the targets especially given the outstanding claims. Members asked for the timeline for the outstanding claims; the number of claims per province; what had happened to the R4,2 million; the progress on the move to autonomy; the Constitutional Court case and whether the target for the finalisation of claims would be met.";https://pmg.org.za/committee-meeting/22079/;Parliamentary Monitoring Group;ZAF;en;Legislation & Policies;Yes ;"land tenure;land transfers;research;land administration;compensation;security of tenure (land)";;"Land Policy & Legislation;Land Use, Management & Investment;Access to Land & Tenure Security"
